id,name,sort_name,district,mandate_start,mandate_end,party,term,source,image,phone,email,end_date,start_date
sbergman,SERGIO ALEJANDRO BERGMAN,"BERGMAN, SERGIO ALEJANDRO",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/sbergman/,http://www4.hcdn.gob.ar/fotos/sbergman.jpg,4127-7100,sbergman@diputados.gob.ar,,
mbianchi,MARIA DEL CARMEN BIANCHI,"BIANCHI, MARIA DEL CARMEN",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mbianchi/,http://www4.hcdn.gob.ar/fotos/mbianchi.jpg,4127-7100,mbianchi@diputados.gob.ar,2015-12-09,
gbidegain,GLORIA MERCEDES BIDEGAIN,"BIDEGAIN, GLORIA MERCEDES",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/gbidegain/,http://www4.hcdn.gob.ar/fotos/gbidegain.jpg,4127-7100,gbidegain@diputados.gob.ar,2015-12-09,
bbiellac,BERNARDO JOSE BIELLA CALVET,"BIELLA CALVET, BERNARDO JOSE",SALTA,2011-12-10,2015-12-09,UDESO SALTA,133,http://www.hcdn.gob.ar/diputados/bbiellac/,http://www4.hcdn.gob.ar/fotos/bbiellac.jpg,4127-7100,bbiellac@diputados.gob.ar,2015-12-09,
gboyadjian,GRACIELA EUNICE BOYADJIAN,"BOYADJIAN, GRACIELA EUNICE",TIERRA DEL FUEGO,2011-12-10,2015-12-09,MOV POP FUEGUINO,133,http://www.hcdn.gob.ar/diputados/gboyadjian/,http://www4.hcdn.gob.ar/fotos/gboyadjian.jpg,4127-7100,gboyadjian@diputados.gob.ar,2015-12-09,
mbrawer,MARA BRAWER,"BRAWER, MARA",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mbrawer/,http://www4.hcdn.gob.ar/fotos/mbrawer.jpg,4127-7100,mbrawer@diputados.gob.ar,2015-12-09,
ibromberg,ISAAC BENJAMIN BROMBERG,"BROMBERG, ISAAC BENJAMIN",TUCUMAN,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/ibromberg/,http://www4.hcdn.gob.ar/fotos/ibromberg.jpg,4127-7100,ibromberg@diputados.gob.ar,2015-12-09,
cbrown,CARLOS RAMON BROWN,"BROWN, CARLOS RAMON",BUENOS AIRES,2011-12-10,2015-12-09,FE,133,http://www.hcdn.gob.ar/diputados/cbrown/,http://www4.hcdn.gob.ar/fotos/cbrown.jpg,4127-7100,cbrown@diputados.gob.ar,2015-12-09,
pbullrich,PATRICIA BULLRICH,"BULLRICH, PATRICIA",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/pbullrich/,http://www4.hcdn.gob.ar/fotos/pbullrich.jpg,4127-7100,pbullrich@diputados.gob.ar,2015-12-09,
rburyaile,RICARDO BURYAILE,"BURYAILE, RICARDO",FORMOSA,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/rburyaile/,http://www4.hcdn.gob.ar/fotos/rburyaile.jpg,4127-7100,rburyaile@diputados.gob.ar,,
ecalcagno,ERIC CALCAGNO Y MAILLMANN,"CALCAGNO Y MAILLMANN, ERIC",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/ecalcagno/,http://www4.hcdn.gob.ar/fotos/ecalcagno.jpg,4952-1357,ecalcagno@diputados.gob.ar,2015-12-09,
scanela,SUSANA MERCEDES CANELA,"CANELA, SUSANA MERCEDES",SALTA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/scanela/,http://www4.hcdn.gob.ar/fotos/scanela.jpg,4127-7100,scanela@diputados.gob.ar,2015-12-09,
jcano,JOSE MANUEL CANO,"CANO, JOSE MANUEL",TUCUMAN,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/jcano/,http://www4.hcdn.gob.ar/fotos/jcano.jpg,4127-7100,jcano@diputados.gob.ar,,
mcarrillo,MARIA DEL CARMEN CARRILLO,"CARRILLO, MARIA DEL CARMEN",TUCUMAN,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mcarrillo/,http://www4.hcdn.gob.ar/fotos/mcarrillo.jpg,4127-7100,mcarrillo@diputados.gob.ar,2015-12-09,
ccaserio,CARLOS ALBERTO CASERIO,"CASERIO, CARLOS ALBERTO",CORDOBA,2013-12-10,2017-12-09,UNION POR CORDOBA,133,http://www.hcdn.gob.ar/diputados/ccaserio/,http://www4.hcdn.gob.ar/fotos/ccaserio.jpg,4127-7100,ccaserio@diputados.gob.ar,,
jcejas,JORGE ALBERTO CEJAS,"CEJAS, JORGE ALBERTO",RIO NEGRO,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jcejas/,http://www4.hcdn.gob.ar/fotos/jcejas.jpg,4127-7100,jcejas@diputados.gob.ar,2015-12-09,
jcobos,JULIO CESAR CLETO COBOS,"COBOS, JULIO CESAR CLETO",MENDOZA,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/jcobos/,http://www4.hcdn.gob.ar/fotos/jcobos.jpg,4127-7100,jcobos@diputados.gob.ar,,
acomelli,ALICIA MARCELA COMELLI,"COMELLI, ALICIA MARCELA",NEUQUEN,2011-12-10,2015-12-09,MOV POP NEUQUINO,133,http://www.hcdn.gob.ar/diputados/acomelli/,http://www4.hcdn.gob.ar/fotos/acomelli.jpg,4127-7100,acomelli@diputados.gob.ar,2015-12-09,
mcontrera,MONICA GRACIELA CONTRERA,"CONTRERA, MONICA GRACIELA",CHUBUT,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mcontrera/,http://www4.hcdn.gob.ar/fotos/mcontrera.jpg,4127-7100,mcontrera@diputados.gob.ar,2015-12-09,
rcortina,ROY CORTINA,"CORTINA, ROY",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,PARTIDO SOCIALISTA,133,http://www.hcdn.gob.ar/diputados/rcortina/,http://www4.hcdn.gob.ar/fotos/rcortina.jpg,4127-7100,rcortina@diputados.gob.ar,2015-12-09,
rcuccovillo,RICARDO OSCAR CUCCOVILLO,"CUCCOVILLO, RICARDO OSCAR",BUENOS AIRES,2011-12-10,2015-12-09,PARTIDO SOCIALISTA,133,http://www.hcdn.gob.ar/diputados/rcuccovillo/,http://www4.hcdn.gob.ar/fotos/rcuccovillo.jpg,4127-7100,rcuccovillo@diputados.gob.ar,2015-12-09,
mdasneves,MARIO DAS NEVES,"DAS NEVES, MARIO",CHUBUT,2013-12-10,2017-12-09,TRABAJO Y DIGNIDAD,133,http://www.hcdn.gob.ar/diputados/mdasneves/,http://www4.hcdn.gob.ar/fotos/mdasneves.jpg,4127-7100,mdasneves@diputados.gob.ar,,
adato,ALFREDO CARLOS DATO,"DATO, ALFREDO CARLOS",TUCUMAN,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/adato/,http://www4.hcdn.gob.ar/fotos/adato.jpg,4127-7100,adato@diputados.gob.ar,2015-12-09,
pdeferrarir,PATRICIA DE FERRARI RUEDA,"DE FERRARI RUEDA, PATRICIA",CORDOBA,2011-12-10,2015-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/pdeferrarir/,http://www4.hcdn.gob.ar/fotos/pdeferrarir.jpg,4127-7100,pdeferrarir@diputados.gob.ar,2015-12-09,
vdegennaro,VICTOR NORBERTO DE GENNARO,"DE GENNARO, VICTOR NORBERTO",BUENOS AIRES,2011-12-10,2015-12-09,UNIDAD POPULAR,133,http://www.hcdn.gob.ar/diputados/vdegennaro/,http://www4.hcdn.gob.ar/fotos/vdegennaro.jpg,4127-7100,vdegennaro@diputados.gob.ar,2015-12-09,
fdenarvaez,FRANCISCO DE NARVAEZ,"DE NARVAEZ, FRANCISCO",BUENOS AIRES,2013-12-10,2017-12-09,UNION CELESTE Y BLANCO,133,http://www.hcdn.gob.ar/diputados/fdenarvaez/,http://www4.hcdn.gob.ar/fotos/fdenarvaez.jpg,4127-7100,fdenarvaez@diputados.gob.ar,,
ndelcano,NICOLAS DEL CAÑO,"DEL CAÑO, NICOLAS",MENDOZA,2013-12-10,2017-12-09,PTS - FRENTE DE IZQUIERDA,133,http://www.hcdn.gob.ar/diputados/ndelcano/,http://www4.hcdn.gob.ar/fotos/ndelcano.jpg,4127-7100,ndelcano@diputados.gob.ar,,
jdiaz,JOSE MARIA DIAZ BANCALARI,"DIAZ BANCALARI, JOSE MARIA",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jdiaz/,http://www4.hcdn.gob.ar/fotos/jdiaz.jpg,4127-7100,jdiaz@diputados.gob.ar,2015-12-09,
jdominguez,JULIAN ANDRES DOMINGUEZ,"DOMINGUEZ, JULIAN ANDRES",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jdominguez/,http://www4.hcdn.gob.ar/fotos/jdominguez.jpg,4127-7100,jdominguez@diputados.gob.ar,2015-12-09,
cdonkin,CARLOS GUILLERMO DONKIN,"DONKIN, CARLOS GUILLERMO",FORMOSA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/cdonkin/,http://www4.hcdn.gob.ar/fotos/cdonkin.jpg,4127-7100,cdonkin@diputados.gob.ar,2015-12-09,
oduclos,OMAR ARNALDO DUCLOS,"DUCLOS, OMAR ARNALDO",BUENOS AIRES,2011-12-10,2015-12-09,GEN,133,http://www.hcdn.gob.ar/diputados/oduclos/,http://www4.hcdn.gob.ar/fotos/oduclos.jpg,4127-7100,oduclos@diputados.gob.ar,2015-12-09,
oelorriaga,OSVALDO ENRIQUE ELORRIAGA,"ELORRIAGA, OSVALDO ENRIQUE",ENTRE RIOS,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/oelorriaga/,http://www4.hcdn.gob.ar/fotos/oelorriaga.jpg,4127-7100,oelorriaga@diputados.gob.ar,2015-12-09,
lesper,LAURA ESPER,"ESPER, LAURA",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE RENOVADOR,133,http://www.hcdn.gob.ar/diputados/lesper/,http://www4.hcdn.gob.ar/fotos/lesper.jpg,4127-7100,lesper@diputados.gob.ar,2015-12-09,
rfeletti,ROBERTO JOSE FELETTI,"FELETTI, ROBERTO JOSE",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/rfeletti/,http://www4.hcdn.gob.ar/fotos/rfeletti.jpg,4127-7100,rfeletti@diputados.gob.ar,2015-12-09,
mfernandezb,MARIA CRISTINA FERNANDEZ BLANCO,"FERNANDEZ BLANCO, MARIA CRISTINA",JUJUY,2011-12-10,2015-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/mfernandezb/,http://www4.hcdn.gob.ar/fotos/mfernandezb.jpg,4127-7100,mfernandezb@diputados.gob.ar,2015-12-09,
afernandezs,ANABEL FERNANDEZ SAGASTI,"FERNANDEZ SAGASTI, ANABEL",MENDOZA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/afernandezs/,http://www4.hcdn.gob.ar/fotos/afernandezs.jpg,4127-7100,afernandezs@diputados.gob.ar,2015-12-09,
mfiad,MARIO RAYMUNDO FIAD,"FIAD, MARIO RAYMUNDO",JUJUY,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/mfiad/,http://www4.hcdn.gob.ar/fotos/mfiad.jpg,4127-7100,mfiad@diputados.gob.ar,,
ffrancioni,FABIAN MARCELO FRANCIONI,"FRANCIONI, FABIAN MARCELO",CORDOBA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/ffrancioni/,http://www4.hcdn.gob.ar/fotos/ffrancioni.jpg,4127-7100,ffrancioni@diputados.gob.ar,2015-12-09,
jgagliardi,JOSUE GAGLIARDI,"GAGLIARDI, JOSUE",RIO NEGRO,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jgagliardi/,http://www4.hcdn.gob.ar/fotos/jgagliardi.jpg,4127-7100,jgagliardi@diputados.gob.ar,2015-12-09,
agarcia,ANDREA FABIANA GARCIA,"GARCIA, ANDREA FABIANA",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/agarcia/,http://www4.hcdn.gob.ar/fotos/agarcia.jpg,4127-7100,agarcia@diputados.gob.ar,2015-12-09,
mgarrido,MANUEL GARRIDO,"GARRIDO, MANUEL",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/mgarrido/,http://www4.hcdn.gob.ar/fotos/mgarrido.jpg,4127-7100,mgarrido@diputados.gob.ar,2015-12-09,
cgdansky,CARLOS ENRIQUE GDANSKY,"GDANSKY, CARLOS ENRIQUE",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/cgdansky/,http://www4.hcdn.gob.ar/fotos/cgdansky.jpg,4127-7100,cgdansky@diputados.gob.ar,2015-12-09,
cgiaccone,CLAUDIA ALEJANDRA GIACCONE,"GIACCONE, CLAUDIA ALEJANDRA",SANTA FE,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/cgiaccone/,http://www4.hcdn.gob.ar/fotos/cgiaccone.jpg,4127-7100,cgiaccone@diputados.gob.ar,2015-12-09,
dgiacomino,DANIEL OSCAR GIACOMINO,"GIACOMINO, DANIEL OSCAR",CORDOBA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/dgiacomino/,http://www4.hcdn.gob.ar/fotos/dgiacomino.jpg,4127-7100,dgiacomino@diputados.gob.ar,2015-12-09,
ggiannettasio,GRACIELA MARIA GIANNETTASIO,"GIANNETTASIO, GRACIELA MARIA",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/ggiannettasio/,http://www4.hcdn.gob.ar/fotos/ggiannettasio.jpg,4127-7100,ggiannettasio@diputados.gob.ar,2015-12-09,
mgill,MARTIN RODRIGO GILL,"GILL, MARTIN RODRIGO",CORDOBA,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mgill/,http://www4.hcdn.gob.ar/fotos/mgill.jpg,4127-7100,mgill@diputados.gob.ar,,
rgiustozzi,RUBEN DARIO GIUSTOZZI,"GIUSTOZZI, RUBEN DARIO",BUENOS AIRES,2013-12-10,2017-12-09,BLOQUE SOCIAL CRISTIANO,133,http://www.hcdn.gob.ar/diputados/rgiustozzi/,http://www4.hcdn.gob.ar/fotos/rgiustozzi.jpg,4127-7100,rgiustozzi@diputados.gob.ar,,
jgonzalez,JUAN DANTE GONZALEZ,"GONZALEZ, JUAN DANTE",MENDOZA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jgonzalez/,http://www4.hcdn.gob.ar/fotos/jgonzalez.jpg,4127-7100,jgonzalez@diputados.gob.ar,2015-12-09,
vgonzalez,VERONICA GONZALEZ,"GONZALEZ, VERONICA",TIERRA DEL FUEGO,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/vgonzalez/,http://www4.hcdn.gob.ar/fotos/vgonzalez.jpg,4127-7100,vgonzalez@diputados.gob.ar,2015-12-09,
cgribaudo,CHRISTIAN ALEJANDRO GRIBAUDO,"GRIBAUDO, CHRISTIAN ALEJANDRO",BUENOS AIRES,2013-12-10,2017-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/cgribaudo/,http://www4.hcdn.gob.ar/fotos/cgribaudo.jpg,4127-7100,cgribaudo@diputados.gob.ar,,
jguccione,JOSE DANIEL GUCCIONE,"GUCCIONE, JOSE DANIEL",MISIONES,2011-12-10,2015-12-09,FRENTE RENOVADOR DE LA CONCORDIA MISIONES - FPV-PJ,133,http://www.hcdn.gob.ar/diputados/jguccione/,http://www4.hcdn.gob.ar/fotos/jguccione.jpg,4127-7100,jguccione@diputados.gob.ar,2015-12-09,
mgutierrez,MONICA EDITH GUTIERREZ,"GUTIERREZ, MONICA EDITH",CORDOBA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mgutierrez/,http://www4.hcdn.gob.ar/fotos/mgutierrez.jpg,4127-7100,mgutierrez@diputados.gob.ar,2015-12-09,
gharispe,GASTON HARISPE,"HARISPE, GASTON",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/gharispe/,http://www4.hcdn.gob.ar/fotos/gharispe.jpg,4127-7100,gharispe@diputados.gob.ar,2015-12-09,
gherrera,GRISELDA NOEMI HERRERA,"HERRERA, GRISELDA NOEMI",LA RIOJA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/gherrera/,http://www4.hcdn.gob.ar/fotos/gherrera.jpg,4127-7100,gherrera@diputados.gob.ar,2015-12-09,
aianni,ANA MARIA IANNI,"IANNI, ANA MARIA",SANTA CRUZ,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/aianni/,http://www4.hcdn.gob.ar/fotos/aianni.jpg,4127-7100,aianni@diputados.gob.ar,2015-12-09,
pjavkin,PABLO LAUTARO JAVKIN,"JAVKIN, PABLO LAUTARO",SANTA FE,2013-12-10,2017-12-09,COALICION CIVICA ARI - UNEN,133,http://www.hcdn.gob.ar/diputados/pjavkin/,http://www4.hcdn.gob.ar/fotos/pjavkin.jpg,4127-7100,pjavkin@diputados.gob.ar,,
jcjunio,JUAN CARLOS ISAAC JUNIO,"JUNIO, JUAN CARLOS ISAAC",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,SOLIDARIO SI,133,http://www.hcdn.gob.ar/diputados/jcjunio/,http://www4.hcdn.gob.ar/fotos/jcjunio.jpg,4127-7100,jcjunio@diputados.gob.ar,2015-12-09,
jlandau,JORGE ALBERTO LANDAU,"LANDAU, JORGE ALBERTO",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jlandau/,http://www4.hcdn.gob.ar/fotos/jlandau.jpg,4127-7100,jlandau@diputados.gob.ar,2015-12-09,
sleverberg,STELLA MARIS LEVERBERG,"LEVERBERG, STELLA MARIS",MISIONES,2011-12-10,2015-12-09,FRENTE RENOVADOR DE LA CONCORDIA MISIONES - FPV-PJ,133,http://www.hcdn.gob.ar/diputados/sleverberg/,http://www4.hcdn.gob.ar/fotos/sleverberg.jpg,4127-7100,sleverberg@diputados.gob.ar,2015-12-09,
vlinares,MARIA VIRGINIA LINARES,"LINARES, MARIA VIRGINIA",BUENOS AIRES,2011-12-10,2015-12-09,GEN,133,http://www.hcdn.gob.ar/diputados/vlinares/,http://www4.hcdn.gob.ar/fotos/vlinares.jpg,4127-7100,vlinares@diputados.gob.ar,2015-12-09,
mlousteau,MARTIN LOUSTEAU,"LOUSTEAU, MARTIN",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,SUMA + UNEN,133,http://www.hcdn.gob.ar/diputados/mlousteau/,http://www4.hcdn.gob.ar/fotos/mlousteau.jpg,4127-7100,mlousteau@diputados.gob.ar,,
clozano,CLAUDIO RAUL LOZANO,"LOZANO, CLAUDIO RAUL",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,UNIDAD POPULAR,133,http://www.hcdn.gob.ar/diputados/clozano/,http://www4.hcdn.gob.ar/fotos/clozano.jpg,4127-7100,clozano@diputados.gob.ar,2015-12-09,
cmacallister,CARLOS JAVIER MAC ALLISTER,"MAC ALLISTER, CARLOS JAVIER",LA PAMPA,2013-12-10,2017-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/cmacallister/,http://www4.hcdn.gob.ar/fotos/cmacallister.jpg,4127-7100,cmacallister@diputados.gob.ar,,
vmagario,VERONICA MARIA MAGARIO,"MAGARIO, VERONICA MARIA",BUENOS AIRES,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/vmagario/,http://www4.hcdn.gob.ar/fotos/vmagario.jpg,4127-7100,vmagario@diputados.gob.ar,,
smajdalani,SILVIA CRISTINA MAJDALANI,"MAJDALANI, SILVIA CRISTINA",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/smajdalani/,http://www4.hcdn.gob.ar/fotos/smajdalani.jpg,4127-7100,smajdalani@diputados.gob.ar,,
vmaldonado,VICTOR HUGO MALDONADO,"MALDONADO, VICTOR HUGO",CHACO,2011-12-10,2015-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/vmaldonado/,http://www4.hcdn.gob.ar/fotos/vmaldonado.jpg,4127-7100,vmaldonado@diputados.gob.ar,2015-12-09,
jmarcopulos,JUAN FERNANDO MARCOPULOS,"MARCOPULOS, JUAN FERNANDO",CORRIENTES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jmarcopulos/,http://www4.hcdn.gob.ar/fotos/jmarcopulos.jpg,4127-7100,jmarcopulos@diputados.gob.ar,2015-12-09,
jmartinez,JULIO CESAR MARTINEZ,"MARTINEZ, JULIO CESAR",LA RIOJA,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/jmartinez/,http://www4.hcdn.gob.ar/fotos/jmartinez.jpg,4127-7100,jmartinez@diputados.gob.ar,,
omartinez,OSCAR ARIEL MARTINEZ,"MARTINEZ, OSCAR ARIEL",SANTA FE,2011-12-10,2015-12-09,FRENTE RENOVADOR,133,http://www.hcdn.gob.ar/diputados/omartinez/,http://www4.hcdn.gob.ar/fotos/omartinez.jpg,4127-7100,omartinez@diputados.gob.ar,2015-12-09,
mmetaza,MARIO ALFREDO METAZA,"METAZA, MARIO ALFREDO",SANTA CRUZ,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mmetaza/,http://www4.hcdn.gob.ar/fotos/mmetaza.jpg,4127-7100,mmetaza@diputados.gob.ar,2015-12-09,
mmolina,MANUEL ISAURO MOLINA,"MOLINA, MANUEL ISAURO",CATAMARCA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mmolina/,http://www4.hcdn.gob.ar/fotos/mmolina.jpg,4127-7100,mmolina@diputados.gob.ar,2015-12-09,
jmongelo,JOSE RICARDO MONGELO,"MONGELO, JOSE RICARDO",CHACO,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jmongelo/,http://www4.hcdn.gob.ar/fotos/jmongelo.jpg,4127-7100,jmongelo@diputados.gob.ar,2015-12-09,
emuller,EDGAR RAUL MÜLLER,"MÜLLER, EDGAR RAUL",CORDOBA,2011-12-10,2015-12-09,COMPROMISO FEDERAL,133,http://www.hcdn.gob.ar/diputados/emuller/,http://www4.hcdn.gob.ar/fotos/emuller.jpg,4127-7100,emuller@diputados.gob.ar,2015-12-09,
