id,name__fa,name__en,name__ja,name__es,name__fr,name__nl,name__hu,name,wikipedia__en,wikipedia__enwikiquote,wikipedia__fa,wikipedia__fawikiquote,wikipedia__ja,image,gender,birth_date,identifier__freebase,given_name,original_wikiname,name__zh,name__eu,name__pl,name__ms,name__ceb,name__et,name__el,name__sv,name__ar,name__pt,name__eo,name__ru,name__sr,name__tr,name__mk,name__fi,name__uk,name__be_tarask,name__io,name__mzn,name__hr,name__az,name__tl,name__da,name__ko,name__he,name__be,name__yo,name__it,name__ps,name__id,name__de,name__ml,name__vi,name__hi,name__sk,name__ca,name__la,name__fo,name__cs,name__mr,name__ur,name__ka,name__lt,name__nb,name__oc,name__sh,name__bar,name__ckb,name__tt,name__ha,name__bn,name__lv,name__hy,name__bs,name__tg,name__uz,name__arz,name__ce,name__sco,name__en_ca,name__en_gb,name__pt_br,name__sd,wikipedia__ar,wikipedia__arz,wikipedia__az,wikipedia__azwikiquote,wikipedia__bar,wikipedia__be_x_old,wikipedia__be,wikipedia__bn,wikipedia__bs,wikipedia__ca,wikipedia__ceb,wikipedia__ce,wikipedia__ckb,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__frwikiquote,wikipedia__ha,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mk,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__mzn,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__ps,wikipedia__pt,wikipedia__ru,wikipedia__sco,wikipedia__sd,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__sv,wikipedia__tg,wikipedia__tl,wikipedia__tr,wikipedia__tt,wikipedia__uk,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NKC,website,identifier__NTA,identifier__NUKAT,identifier__FAST,name__nan,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ro,name__nn,name__pa,name__rm,wikipedia__commons,wikipedia__nn,wikipedia__pa,wikipedia__ro,wikipedia__zh_min_nan,death_date,identifier__OLID,identifier__GNC,name__ug,name__gl,name__is,name__mn,name__bg,name__af,name__tk,wikipedia__af,wikipedia__arwikiquote,wikipedia__bg,wikipedia__gl,wikipedia__is,wikipedia__kowikiquote,wikipedia__mn,wikipedia__ptwikiquote,wikipedia__tk,wikipedia__ug,identifier__NNDB,name__cy,name__os,name__be_x_old,wikipedia__os,name__bcl,name__scn,name__ta,name__br,name__cv,name__fy,name__pam,name__lb,name__ga,name__gsw,name__sq,name__kk,name__azb,wikipedia__als,wikipedia__azb,wikipedia__bcl,wikipedia__br,wikipedia__cv,wikipedia__cy,wikipedia__fawikisource,wikipedia__fy,wikipedia__ga,wikipedia__kk,wikipedia__lb,wikipedia__pam,wikipedia__ruwikinews,wikipedia__scn,wikipedia__sq,wikipedia__ta,wikipedia__trwikiquote,identifier__Munzinger,twitter,name__mg,wikipedia__mg,wikipedia__cswikiquote,identifier__Britannica,name__lrc,name__de_ch,identifier__CSPAN,last_seen,instagram,wikipedia__sl,identifier__NLI,name__sl,wikipedia__zh_yue,name__yue,wikipedia__eowikiquote,identifier__NDL,wikipedia__glk,name__glk,wikipedia__azwikisource,identifier__bigenc_ru,wikipedia__ukwikiquote,identifier__guardian_topic,occupation,identifier__nyt_topic,name__qu,wikipedia__qu,identifier__snac,wikipedia__fawikinews,wikipedia__enwikinews,wikipedia__trwikinews,wikipedia__arwikinews,wikipedia__itwikiquote,wikipedia__th,identifier__quora,name__th,identifier__ne_se,wikipedia__mai,wikipedia__bewikiquote,name__mai,wikipedia__eswikiquote,wikipedia__hiwikiquote,wikipedia__kawikiquote,wikipedia__zhwikiquote,wikipedia__afwikiquote,wikipedia__dawikiquote,wikipedia__dewikiquote,wikipedia__etwikiquote,wikipedia__euwikiquote,wikipedia__fiwikiquote,wikipedia__glwikiquote,wikipedia__hewikiquote,wikipedia__hrwikiquote,wikipedia__idwikiquote,wikipedia__iswikiquote,wikipedia__jawikiquote,wikipedia__ltwikiquote,wikipedia__mlwikiquote,wikipedia__mrwikiquote,wikipedia__nowikiquote,wikipedia__ruwikiquote,wikipedia__srwikiquote,wikipedia__svwikiquote,wikipedia__urwikiquote,wikipedia__viwikiquote,noble_title,name__diq,wikipedia__diq,identifier__GTAA,identifier__BNE,identifier__EGAXA,identifier__BIBSYS,identifier__BAV,identifier__SELIBR,identifier__LNB,name__ne,wikipedia__ne,family_name,identifier__CSFD,identifier__kinopoisk,identifier__moviemeter,identifier__allmovie,name__aeb_arab,wikipedia__lrc,wikipedia__ky,wikipedia__ast,name__ast,name__ky,wikipedia__kn,name__kn,wikipedia__pnb,name__pnb
Q16370143,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,Mirzə Həsən xan Əhsənüddövlə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirzə Həsən xan Əhsənüddövlə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16370266,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,Mirzə Rza xan Avşar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirzə Rza xan Avşar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16372563,دکتر قاسم خان اهری,,,,,,,,,,قاسم اهری,,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Dr-gasem-khan-ahari_02.jpg,male,1882,,,,,,,,,,,,,,,,,,,,,,,,,Qasım xan Əhəri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qasım xan Əhəri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16379343,,,,,,,,,,,,,,,,1942,,,,,,,,,,,,,,,,,,,,,,,,,Əsədullah Bayat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,আসাদুল্লাহ বায়াত,,,,,,,,,,,,,,,Əsədullah Bayat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1639051,حسینقلی صدرالسلطنه,Haji Washington,,Haji Washington,,Haji Washington,Haji Washington,Haji Washington,,,حسینقلی نواب,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Awalin_safir_dar_amerika.jpg,male,1864,/m/04glymd,Hussein,,,,,,,,,,,,,,,,,,,,,,,Hüseynqulu xan Nəvvab,,,,,,,,,,Hussein Kuli Khan Nawab,,,,,,,,,,,,,,,,,حوسێن خان سەدرولسەلتەنە,,,,,,,,,,,,,,,,,,Hüseynqulu xan Nəvvab,,,,,,,,,,,,,Hussein Kuli Khan Nawab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,Haji Washington,,,,,
Q16885630,حسین شیخ‌الاسلام,Hussein Sheikholeslam,,,,Hussein Sheikholeslam,,Hussein Sheikholeslam,Hossein Sheikholeslam,,حسین شیخ‌الاسلام,,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Hossein_Sheikholeslam.jpg,male,1952,,Hussein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hussein Sheikh al-Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17174129,عزت‌الله دامادی,,,,,,,,,,عزت‌الله دامادی,عزت‌الله دامادی,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17465579,محمد علیپور رحمتی,Mohammad Alipour Rahmati,,,Mohammad Alipour Rahmati,Mohammad Alipour Rahmati,,Mohammad Alipour Rahmati,Mohammad Alipour Rahmati,,محمد علیپور رحمتی,,,,male,1962,,Mohammad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad Alipour Rahmati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17515904,غلامحسین شیری علی‌آباد,Gholam Hosein Shiri Aliabad,,,Gholam Hosein Shiri Aliabad,Gholam Hosein Shiri Aliabad,,Gholam Hosein Shiri Aliabad,Gholam Hosein Shiri Aliabad,,غلامحسین شیری علی‌آباد,,,https://upload.wikimedia.org/wikipedia/commons/7/72/حاج_غلامحسین_شیری.jpg,male,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gholam Hosein Shiri Aliabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17517067,عباس فلاحی باباجان,Abbas Fallahi Babajan,,,,Abbas Fallahi Babajan,,Abbas Fallahi Babajan,Abbas Fallahi Babajan,,عباس فلاحی باباجان,,,,male,1966,,Abbas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbas Fallahi Babajan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q180795,سید محمد خاتمی,Mohammad Khatami,モハンマド・ハータミー,Muhammad Jatami,Mohammad Khatami,Mohammad Khatami,Mohammed Hatemi,Mohammad Khatami,Mohammad Khatami,Mohammad Khatami,سید محمد خاتمی,سید محمد خاتمی,モハンマド・ハータミー,https://upload.wikimedia.org/wikipedia/commons/c/c6/Mohammad_Khatami.jpg,male,1943-09-29,/m/01bfgv,Muhammed,,穆罕默德·哈塔米,Muhammad Khatami,Mohammad Chatami,Mohammad Khatami,Mohammad Khātami,Moḩammad Khātamī,,Mohammad Khatami,محمد خاتمي,Mohammad Khatami,Mohammad Ĥatami,Мохаммад Хатами,Мохамед Хатами,Muhammed Hatemi,Мохамад Катами,Mohammad Khatami,Мохаммад Хатамі,Махамад Хатамі,Mohammad Khatami,محمد خاتمی,Muhamed Hatami,Məhəmməd Hatəmi,Mohammad Khātami,Mohammad Khatami,모하마드 하타미,מוחמד ח'אתמי,Махамед Хатамі,,Mohammad Khatami,,Muhammad Khatami,Mohammad Chātami,മുഹമ്മദ്‌ ഖാതമി,Mohammad Khatami,मोहम्मद ख़ातमी,,Muhammad Khatami,,,Muhammad Chátamí,मोहम्मद खातामी,محمد خاتمی,მოჰამედ ხათამი,Mohamadas Chatami,Muhammed Khatami,Mohammad Khatami,Muhamed Hatami,,محەممەد خاتەمی,,,,,,,,,محمد خاتمى,,Mohammad Khatami,,,,,محمد خاتمي,محمد خاتمى,Məhəmməd Hatəmi,,,Махамад Хатамі,Махамед Хатамі,,,Muhammad Khatami,Mohammad Xātami,,محەممەد خاتەمی,Muhammad Chátamí,Mohammad Khatami,Mohammad Chātami,,,Mohammad Ĥatami,Mohammad Jatamí,Moḩammad Khātamī,Muhammad Khatami,Mohammad Khatami,,Mohammad Khatami,,,מוחמד ח'אתמי,मोहम्मद ख़ातमी,Muhamed Hatami,,,Muhammad Khatami,Mohammad Khatami,Mohammad Khatami,მოჰამედ ხათამი,모하마드 하타미,,Mohamadas Chatami,,Мохамад Катами,മുഹമ്മദ്‌ ഖാതമി,मोहम्मद खातामी,Mohammad Khatami,محمد خاتمی,Mohammad Khatami,Muhammed Khatami,Mohammad Khatami,Mohammad Chatami,Mohammed Chatami,,Mohammad Khatami,"Хатами, Мохаммад",Mohammad Khatami,,Muhamed Hatami,Mohammad Khatami,,Мохамед Хатами,Mohammad Khatami,,Mohammad Khātami,Muhammed Hatemi,,Мохаммад Хатамі,,,Mohammad Khatami,,穆罕默德·哈塔米,0000 0001 1838 7627,46663859,122326067,nr96038207,,,,,http://www.khatami.ir/,202819272,n2003062286,382746,,穆罕默德·哈塔米,穆罕默德·哈塔米,穆罕默德·哈塔米,穆罕默德·哈塔米,穆罕默德·哈塔米,穆罕默德·哈塔米,,,,,Mohammad Khatami,,,,,,,,مۇھەممەد خاتەمى,Mohammad Khatami,Mohammad Khatami,Мохаммад Хатами,Мохамад Хатами,Mohammad Khatami,Muhammet Hatemi,Mohammad Khatami,محمد خاتمي,Мохамад Хатами,Mohammad Khatami,Mohammad Khatami,모하마드 하타미,Мохаммад Хатами,Mohammad Khatami,Muhammet Hatemi,مۇھەممەد خاتەمى,430/000025355,,,,,,,,,,,,,,,,,محمد خاتمی,,محمد خاتمی,,,,,پدیدآورنده:محمد خاتمی,,,,,,,,,,,,,,,,biography/Mohammad-Khatami,,,,,,,,,,,Mohammad Ĥatami,,,,,,Мохаммад Хатамі,,erudite,,,,,رده:سید محمد خاتمی,Category:Mohammad Khatami,,,Mohammad Khatami,,Mohammad-Khatami,,mohammad-khatami,,,,Mohammad Jatamí,मोहम्मद ख़ातमी,მოჰამედ ხათამი,穆罕默德·哈塔米,Mohammad Khatami,Mohammad Khatami,Mohammad Chātami,,Muhammad Khatami,Mohammad Khatami,Mohammad Khatami,מוחמד ח'אתמי,Muhamed Hatami,Muhammad Khatami,Mohammad Khatami,モハンマド・ハータミー,Mohamadas Chatami,മുഹമ്മദ്‌ ഖാതമി,मोहम्मद खातामी,Muhammed Khatami,"Хатами, Мохаммад",Мохамед Хатами,Mohammad Khatami,محمد خاتمی,Mohammad Khatami,,,,118576,,,2102372,ADV12058042,,,,,,,,,,,,,Mohammad Jatamí,Mohammad Jatamí,,,,,
Q181451,محمدعلی فروغی,Mohammad Ali Foroughi,モハンマド・アリー・フォルーギー,Mohammad Ali Foroughi,Mohammad Ali Foroughi,Mohammad Ali Foroughi,Mohammad Ali Foroughi,Mohammad Ali Foroughi,Mohammad Ali Foroughi,Mohammad Ali Foroughi,محمدعلی فروغی,محمدعلی فروغی,,https://upload.wikimedia.org/wikipedia/commons/2/28/Mohammad_Ali_Foroughi.jpg,male,1877-08-01,/m/080prr,Mohammad,,穆罕默德-阿里·福魯吉,,,,,,,,,Mohammad Ali Foroughi,,Мохаммед Али Форуги,,,,,Мухаммед-Алі Фарукі,,,,,Məhəmmədəli Füruği,,,모하마드 알리 포루기,,,,,,,Mohammad Ali Foroughi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Məhəmmədəli Füruği,,,,,,,,,,,,,Mohammad Ali Foroughi,,,,Mohammad Ali Foroughi,,,,,Mohammad Ali Foroughi,,,,,,,,,,,,모하마드 알리 포루기,,,,,,,,,,,,,,,Mohammad Ali Foroughi,"Форуги, Мохаммед Али",,,,,,,,,,,,Мухаммед-Алі Фарукі,,,,,穆罕默德-阿里·福魯吉,0000 0001 1007 6226,118421600,119246996,,,,,,,069546428,,,,,,,,,,,,ਮਹੰਮਦ ਅਲੀ ਫ਼ਰੂਗ਼ੀ,,Category:Mohammad Ali Foroughi,,ਮਹੰਮਦ ਅਲੀ ਫ਼ਰੂਗ਼ੀ,,,1942-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,پدیدآورنده:محمدعلی فروغی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foroughi,,,,,,,,,Mohammad Ali Foroughi,,,,,
Q18360098,امین بیانک,,,,,,,,,,امین بیانک,امین بیانک,,,male,1956-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18428055,,,,,,,,,,,,,,,male,1884,,,,,,,,,,,,,,,,,,,,,,,,,Əlirza xan Qaragözlü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Əlirza xan Qaragözlü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q186111,اکبر هاشمی رفسنجانی,Hashemi Rafsanjani,ハーシェミー・ラフサンジャーニー,Akbar Hashemí Rafsanyaní,Hachemi Rafsandjani,Ali Akbar Hashemi Rafsanjani,Akbar Hásemi Rafszandzsáni,Hashemi Rafsanjani,Akbar Hashemi Rafsanjani,Akbar Hashemi Rafsanjani,اکبر هاشمی رفسنجانی,اکبر هاشمی رفسنجانی,ハーシェミー・ラフサンジャーニー,https://upload.wikimedia.org/wikipedia/commons/7/7b/Hashemi_Rafsanjani_at_Beit_Rahbari.jpg,male,1934-08-25,/m/023phr,Ali,,阿克巴尔·哈什米·拉夫桑贾尼,Hashemi Rafsanjani,Ali Akbar Haszemi Rafsandżani,Akbar Hashemi Rafsanjani,,Akbar Hāshemī Rafsanjānī,,Ali Akbar Hashemi Rafsanjani,أكبر هاشمي رفسنجاني,Ali Akbar Hashemi Rafsanjani,Ali Akbar Haŝemi Rafsanĝani,"Хашеми Рафсанджани, Али Акбар",Акбар Хашеми Рафсанжани,Haşimi Rafsancani,Акбар Хашеми Рафсанџани,Akbar Hašemi Rafsandžani,Алі Акбар Хашемі Рафсанджані,Алі Акбар Хашэмі Рафсанджані,Akbar Hashemi Rafsanjani,علی‌اکبر هاشمی رفسنجانی,,Əkbər Haşemi Rəfsəncani,,Akbar Hashemi Rafsanjani,악바르 하셰미 라프산자니,אכבר האשמי רפסנג'אני,Алі Акбар Хашэмі Рафсанджані,,Ali Akbar Hashemi Rafsanjani,علي اکبر هاشمي رفسنجاني,Akbar Hashemi Rafsanjani,Alī Akbar Hāschemī Rafsandschānī,,Akbar Hashemi Rafsanjani,हाशमी रफ़संजानी,,Akbar Haixemi Rafsanjani,Hascemi Rafsanzani,,Akbar Hášemí Rafsandžání,अकबर हशेमी रफसंजानी,ہاشمی رفسنجانی,აქბარ ჰაშემი რაფსანჯანი,,Ali Akbar Hashemi Rafsanjani,Akbar Hashemi Rafsanjani,Akbar Hašemi Rafsandžani,,ئەکبەر ھاشمی ڕەفسەنجانی,,,,,,,Ҳошимии Рафсанҷонӣ,Ali Akbar Rafsanjoniy,اكبر هاشمى رفسنجانى,,Akbar Hashemi Rafsanjani,,,,,أكبر هاشمي رفسنجاني,اكبر هاشمى رفسنجانى,Əli Əkbər Haşimi Rəfsəncani,,,Алі Акбар Хашэмі Рафсанджані,Алі Акбар Хашэмі Рафсанджані,,,Akbar Haixemi Rafsanjani,,,ئەکبەر ھاشمی ڕەفسەنجانی,Akbar Hášemí Rafsandžání,Akbar Hashemi Rafsanjani,Ali Akbar Hāschemi Rafsandschāni,,,Ali Akbar Haŝemi Rafsanĝani,Akbar Hashemí Rafsanyaní,Akbar Hāshemī Rafsanjānī,Haxemi Rafsanjani,Akbar Hašemi Rafsandžani,,Hachemi Rafsandjani,,,אכבר האשמי רפסנג'אני,हाशमी रफ़संजानी,,Akbar Hásemi Rafszandzsáni,,Akbar Hashemi Rafsanjani,Akbar Hashemi Rafsanjani,Ali Akbar Hashemi Rafsanjani,აქბარ ჰაშემი რაფსანჯანი,악바르 하셰미 라프산자니,Hāšimī Rafsanǧanī,,,Акбар Хашеми Рафсанџани,,अकबर हशेमी रफसंजानी,Akbar Hashemi Rafsanjani,علی‌اکبر هاشمی رفسنجانی,Ali Akbar Hashemi Rafsanjani,Ali Akbar Hashemi Rafsanjani,Akbar Hashemi Rafsanjani,Ali Akbar Haszemi Rafsandżani,Ali Akbar Haszemi Rafsandżani,علي اکبر هاشمي رفسنجاني,Akbar Hashemi Rafsanjani,"Хашеми Рафсанджани, Али Акбар",Akbar Hashemi Rafsanjani,,Akbar Hašemi Rafsandžani,Hashemi Rafsanjani,,Акбар Хашеми Рафсанжани,Ali Akbar Hashemi Rafsanjani,Ҳошимии Рафсанҷонӣ,,Haşimi Rafsancani,,Алі Акбар Хашемі Рафсанджані,ہاشمی رفسنجانی,Ali Akbar Rafsanjoniy,Akbar Hashemi Rafsanjani,,阿克巴尔·哈什米·拉夫桑贾尼,0000 0000 7881 0389,70131516,133871118,n84041639,,,,,,102572593,,135202,,阿克巴尔·哈什米·拉夫桑贾尼,阿克巴爾·哈什米·拉夫桑賈尼,阿克巴爾·哈什米·拉夫桑賈尼,阿克巴尔·哈什米·拉夫桑贾尼,阿克巴尔·哈什米·拉夫桑贾尼,阿克巴爾·哈什米·拉夫桑賈尼,,Akbar Hashemi Rafsanjani,ਹਾਸ਼ਮੀ ਰਫਸੰਜਾਨੀ,,Akbar Hashemi Rafsanjani,Akbar Hashemi Rafsanjani,ਹਾਸ਼ਮੀ ਰਫਸੰਜਾਨੀ,,,2017-01-08,,,,Akbar Hashemi Rafsanjani,,,Али Акбар Хашеми Рафсанджани,,Ali Akbar Haşemi Rafsanjany,,,Али Акбар Хашеми Рафсанджани,Akbar Hashemi Rafsanjani,,,,,Ali Akbar Haşemi Rafsanjany,,705/000061522,,,,,,,,,,,,Akbar Haschemi Rafsandschani,,,,,اکبر هاشمی رفسنجانی,,اکبر هاشمی رفسنجانی,,,,,,,,,Akbar Haschemi Rafsandschani,,,,,,Haşimi Rafsancani,,,,,,biography/Hashemi-Rafsanjani,,,,,,,,,,,,,,,,4731296,Алі Акбар Хашемі Рафсанджані,,politician,,,,,رده:اکبر هاشمی رفسنجانی,Category:Hashemi Rafsanjani,,,Ali Akbar Hashemi Rafsanjani,,Akbar-Hashemi-Rafsanjani-politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144423,,,,,,,,,,,,,,,,,Akbar Hashemí Rafsanyaní,Akbar Hashemí Rafsanyaní,,,,ہاشمی رفسنجانی,ہاشمی رفسنجانی
