id,name__en,name__mt,name__nl,name__pl,name__de,name__it,name,wikipedia__en,wikipedia__it,wikipedia__mt,wikipedia__pl,gender,birth_date,given_name,name__fr,name__es,wikipedia__de,wikipedia__fr,identifier__freebase,name__pt,name__sv,wikipedia__nl,wikipedia__pt,wikipedia__sv,identifier__VIAF,identifier__GND,identifier__IMDB,name__da,wikipedia__da,identifier__LCAuth,website,identifier__EuroparlMEP,name__la,wikipedia__la,name__az,wikipedia__az,name__ga,name__ro,name__ru,name__hu,name__pt_br,name__tr,name__eo,name__lb,name__cs,name__et,name__de_ch,name__el,name__en_ca,name__en_gb,name__nb,name__lmo,name__uk,name__zh,name__io,name__fi,name__lt,name__fa,name__nn,name__id,name__ja,name__be,name__ko,wikipedia__be,wikipedia__cs,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__ga,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__no,wikipedia__ro,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__zh,image,identifier__parlement,name__ka,wikipedia__ka,wikipedia__commons,identifier__BNF,wikipedia__ar,name__ar,wikipedia__plwikiquote,death_date,name__he,name__oc,name__yo,name__gl,name__sr,name__ca,wikipedia__ca,wikipedia__gl,wikipedia__he,wikipedia__oc,wikipedia__sr,wikipedia__yo,twitter,facebook,identifier__SUDOC,original_wikiname,last_seen,wikipedia__be_x_old,name__be_tarask,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cy,name__de_at,name__eu,name__frc,name__frp,name__fur,name__gd,name__gsw,name__hr,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__italian_cod,wikipedia__scn,identifier__ISNI,identifier__FAST,name__bg,name__zh_hk,name__zh_cn,name__is,wikipedia__bg,wikipedia__is,wikipedia__lv,name__zh_hans,name__zh_hant,name__zh_sg,name__zh_tw,name__ilo,wikipedia__ilo,family_name,identifier__britishmuseum,identifier__NTA,identifier__NLAtrove,identifier__Oxforddnb,identifier__NPG,identifier__AuDB,identifier__hansard,wikipedia__nn,identifier__Munzinger,name__sl,name__uz,wikipedia__sl,wikipedia__uz,identifier__Britannica,name__mr,wikipedia__an,wikipedia__ast,wikipedia__cy,wikipedia__mr,name__hi,wikipedia__hi,identifier__GNC,identifier__GTAA,identifier__PACE,wikipedia__hsb,name__hsb,occupation,name__dsb,name__jv,name__pdc,name__sh,name__stq,name__tl,name__war,name__qu,wikipedia__qu,name__tt,identifier__snac,identifier__youtube,identifier__wikitree,wikipedia__simple
Q1573895,Manwel Dimech,Manwel Dimech,Manwel Dimech,Manwel Dimech,Manwel Dimech,Manwell Dimech,Manwel Dimech,Manwel Dimech,Manwell Dimech,Manwel Dimech,Manwel Dimech,male,1860-12-25,,Manwel Dimech,Manwell Dimech,,,/m/071s98,,Manwel Dimech,,,,96914201,,,Manwel Dimech,,,,,,,,,,,"Димех, Мануэль",Manwell Dimech,,,,,,,,,,,Manwel Dimech,,Мануель Дімех,,,,,,Manwel Dimech,,,,,,,,,Manwell Dimech,,,,,,,,,,,,,,,"Димех, Мануэль",,Мануель Дімех,,https://upload.wikimedia.org/wikipedia/commons/9/92/Manwel-dimech.jpg,,,,,,,,,1921-04-17,,,,Manwel Dimech,,,,Manwel Dimech,,,,,,,,Manwel Dimech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 7056 7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,,,,,,,,,,,,,,
Q16213896,Christian Cardona,,Christian Cardona,,Christian Cardona,Christian Cardona,Christian Cardona,Christian Cardona,,,,male,1972,Christian,Christian Cardona,,,Chris Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Hon._Minister_Dr._Christian_Cardona.jpg,,,,,,,,,,,,,,,,,,,,,,,,,Christian Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1647394,Myriam Spiteri Debono,Miriam Spiteri Debono,Myriam Spiteri Debono,,Myriam Spiteri Debono,,Myriam Spiteri Debono,Myriam Spiteri Debono,,Miriam Spiteri Debono,,female,"",Myriam,Myriam Spiteri Debono,,Myriam Spiteri Debono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miriam Spiteri Debono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notary,,,,,,,,,,,,,,
Q16592064,,Marċell Mizzi,,,,,Marċell Mizzi,,,Marċell Mizzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marċell Mizzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q167307,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,male,1916-08-06,Dominik,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,/m/021s85,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,Dom Mintoff,50311107,129585289,,Dom Mintoff,Dom Mintoff,n83063244,,,,,,,,,"Минтофф, Доминик",Dom Mintoff,,,,,Dom Mintoff,,,Ντομ Μιντόφ,,,Dom Mintoff,,,多姆·明托夫,Dom Mintoff,Dom Mintoff,,دام مینتوف,Dom Mintoff,,,Дамінік Мінтоф,,Дамінік Мінтоф,Dom Mintoff,,,Dom Mintoff,,دام مینتوف,Dom Mintoff,,Dom Mintoff,,Dom Mintoff,,,,,,Dom Mintoff,,"Минтофф, Доминик",,,多姆·明托夫,https://upload.wikimedia.org/wikipedia/commons/9/9a/Dom_Mintoff_(1974).jpg,,,,Category:Dom Mintoff,,دوم منتوف,دوم منتوف,,2012-08-20,דום מינטוף,,,Dom Mintoff,,Dom Mintoff,Dom Mintoff,,דום מינטוף,,,,,,116313838,Dom Mintoff,,,,,Dom Mintoff,Dom Mintoff,,,,,Dom Mintoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112430,,多姆·明托夫,多姆·明托夫,,,,,多姆·明托夫,多姆·明托夫,多姆·明托夫,多姆·明托夫,,,,,,,101106660,,,,,00000006998,,,,,,दॉम मिंटॉफ,Dom Mintoff,Dom Mintoff,Dom Mintoff,दॉम मिंटॉफ,,,,,1125,,,politician,,,,,,,,Dom Mintoff,Dom Mintoff,,,,,
Q1683865,Jason Azzopardi,,Jason Azzopardi,Jason Azzopardi,Jason Azzopardi,,Jason Azzopardi,Jason Azzopardi,,,Jason Azzopardi,male,1971-03-16,Jason,Jason Azzopardi,,Jason Azzopardi,Jason Azzopardi,/m/0130fx8v,,,,,,,,,,,,,26818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Jason_Azzopardi.gif,,,,,,,,,,,,,,,,,,,,,,,,,Jason Azzopardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q168387,Agatha Barbara,Agatha Barbara,Agatha Barbara,Agatha Barbara,Agatha Barbara,Agatha Barbara,Agatha Barbara,Agatha Barbara,Agatha Barbara,Agatha Barbara,Agatha Barbara,female,1923-03-11,Agatha,Agatha Barbara,Agatha Barbara,Agatha Barbara,Agatha Barbara,/m/02zg08,Agatha Barbara,Agatha Barbara,,Agatha Barbara,Agatha Barbara,,,,Agatha Barbara,,,,,Agatha Barbara,Agatha Barbara,,,,,Агата Барбара,Agatha Barbara,,,,,,,,,,,Agatha Barbara,,Агата Барбара,阿加莎·芭芭拉,Agatha Barbara,Agatha Barbara,,آگاتا باربارا,Agatha Barbara,Agatha Barbara,アガサ・バーバラ,,아가사 바르바라,,,,,Agatha Barbara,,آگاتا باربارا,Agatha Barbara,,Agatha Barbara,Agatha Barbara,Agatha Barbara,,아가사 바르바라,,,,,,"Барбара, Агата",,Агата Барбара,阿加莎·芭芭拉,https://upload.wikimedia.org/wikipedia/commons/5/56/Ms_Agatha_Barbara.jpg,,აგათა ბარბარა,აგათა ბარბარა,Category:Agatha Barbara,,أغاثا بربارا,أغاثا بربارا,,2002-02-04,אגתה ברברה,Agatha Barbara,,Agatha Barbara,,,,,,Agatha Barbara,,,,,,Agatha Barbara,,,,,,,,,,,Agatha Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Агата Барбара,阿加莎·芭芭拉,阿加莎·芭芭拉,,Агата Барбара,,,阿加莎·芭芭拉,阿加莎·芭芭拉,阿加莎·芭芭拉,阿加莎·芭芭拉,Agatha Barbara,Agatha Barbara,Barbara,192791,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q17016298,Ryan Callus,,Ryan Callus,,Ryan Callus,,Ryan Callus,Ryan Callus,,,,male,1983-06-22,Ryan,Ryan Callus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Callus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q173958,Edward Scicluna,Edward Scicluna,Edward Scicluna,Edward Scicluna,Edward Scicluna,Edward Scicluna,Edward Scicluna,Edward Scicluna,,Edward Scicluna,Edward Scicluna,male,1946-10-12,Edward,Edward Scicluna,Edward Scicluna,Edward Scicluna,Edward Scicluna,/m/064l9f7,,,,,,8790023,170808289,,Edward Scicluna,Edward Scicluna,n84130732,http://www.edwardscicluna.com,96671,,,,,,,,Edward Scicluna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edward Scicluna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 7383 5456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q18206002,Chris Fearne,,Chris Fearne,,Chris Fearne,Chris Fearne,Chris Fearne,Chris Fearne,,,,male,,Chris,Chris Fearne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Fearne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q18536879,,Kalċidon Agius,,,,,Kalċidon Agius,,,Kalċidon Agius,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalċidon Agius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18536881,Alexander Cachia Zammit,Alexander Cachia Zammit,,,Alexander Cachia Zammit,,Alexander Cachia Zammit,,,Alexander Cachia Zammit,,male,1924-08-11,Alexander,,,Alexander Cachia Zammit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-30,,,,,,,,,,,,,,,,Alexander Cachia Zammit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
