id,name__fr,name__nb,name__da,name__nn,name__sv,name__en,name__nl,name,wikipedia__fr,image,gender,identifier__VIAF,identifier__BNF,birth_date,family_name,given_name,identifier__sycomore,twitter,original_wikiname,name__en_ca,name__en_gb,name__es,name__de,name__ca,name__oc,name__it,name__hu,wikipedia__en,wikipedia__oc,facebook,name__tr,wikipedia__de,wikipedia__tr,identifier__SUDOC,identifier__freebase,name__pl,name__ro,wikipedia__pl,wikipedia__ro,website,identifier__EuroparlMEP,name__la,wikipedia__ca,wikipedia__it,wikipedia__la,name__ru,name__el,identifier__ISNI,name__pt,name__mk,name__eo,name__uk,name__zh,wikipedia__commons,wikipedia__el,wikipedia__eo,wikipedia__frwikiquote,wikipedia__pt,wikipedia__uk,wikipedia__zh,identifier__GND,identifier__LCAuth,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ja,name__vi,name__hr,name__ar,wikipedia__ar,wikipedia__da,wikipedia__es,wikipedia__hr,wikipedia__ja,wikipedia__lb,wikipedia__vi,identifier__IMDB,name__mg,wikipedia__mg,name__de_ch,name__br,wikipedia__br,wikipedia__ru,name__eu,name__he,name__yo,name__ms,name__et,name__id,name__ckb,name__fi,name__mr,name__fa,name__bg,name__io,name__lt,name__be,name__cs,name__sco,name__cy,name__hy,name__ie,name__ko,wikipedia__bg,wikipedia__ckb,wikipedia__cs,wikipedia__cy,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__frwikinews,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__itwikiquote,wikipedia__ko,wikipedia__lt,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sv,wikipedia__yo,identifier__AlloCine,identifier__Munzinger,identifier__GNC,identifier__FAST,death_date,name__mwl,wikipedia__mwl,identifier__MusicBrainz,identifier__NTA,name__af,name__an,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__ia,name__is,name__kg,name__li,name__lij,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt_br,name__rm,name__sc,name__scn,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,instagram,wikipedia__simple,name__ta,wikipedia__ta,wikipedia__nrm,identifier__senatDOTfr,wikipedia__cswikiquote,linkedin,identifier__PACE,name__mn,wikipedia__mn,identifier__CANTIC,name__kw,name__sr_ec,name__sh,name__hi,name__th,name__km,name__ka,name__sr,name__sq,name__lv,wikipedia__af,wikipedia__als,wikipedia__ast,wikipedia__be,wikipedia__enwikinews,wikipedia__frp,wikipedia__frwikisource,wikipedia__ga,wikipedia__gl,wikipedia__hi,wikipedia__ka,wikipedia__km,wikipedia__kw,wikipedia__lv,wikipedia__mk,wikipedia__nds,wikipedia__nn,wikipedia__sh,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__th,name__gv,wikipedia__gv,name__be_tarask,wikipedia__be_x_old,identifier__PTBNP,wikipedia__sl,identifier__parlement,name__bs,name__ceb,name__lmo,name__bo,name__mzn,name__nov,name__pih,wikipedia__bo,wikipedia__ia,wikipedia__mzn,wikipedia__ruwikiquote,name__szl,wikipedia__szl,name__az,wikipedia__az,wikipedia__trwikiquote,wikipedia__is,identifier__Britannica,identifier__GTAA,name__ty,wikipedia__ty,identifier__SBN_it,identifier__kinopoisk,identifier__NLA,wikipedia__bs,name__arz,name__bcl,name__bn,name__dsb,name__ext,name__fy,name__hsb,name__jv,name__kk,name__kn,name__lad,name__my,name__pam,name__qu,name__se,name__so,name__tl,name__tt,name__uz,name__vep,name__war,name__xmf,name__yi,name__ku,name__mt,name__pa,name__ln,name__hak,name__eml,name__yue,name__ne,name__kab,name__fo,name__ml,name__ur,name__ce,name__av,wikipedia__an,wikipedia__arz,wikipedia__av,wikipedia__bcl,wikipedia__bn,wikipedia__cawikinews,wikipedia__ce,wikipedia__co,wikipedia__dsb,wikipedia__elwikiquote,wikipedia__eml,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eowikinews,wikipedia__ext,wikipedia__fo,wikipedia__fy,wikipedia__gd,wikipedia__hak,wikipedia__hewikiquote,wikipedia__hsb,wikipedia__jv,wikipedia__kab,wikipedia__kg,wikipedia__kk,wikipedia__kn,wikipedia__ku,wikipedia__lad,wikipedia__lmo,wikipedia__ln,wikipedia__ml,wikipedia__mt,wikipedia__my,wikipedia__nlwikiquote,wikipedia__pam,wikipedia__pa,wikipedia__ptwikinews,wikipedia__qu,wikipedia__scn,wikipedia__se,wikipedia__so,wikipedia__tl,wikipedia__tt,wikipedia__ur,wikipedia__uz,wikipedia__vec,wikipedia__vep,wikipedia__war,wikipedia__xmf,wikipedia__yi,wikipedia__zh_yue,identifier__CiNii,identifier__BNE,identifier__BIBSYS,name__rw,wikipedia__rw,name__xh,name__tw,wikipedia__ceb,wikipedia__pcd,wikipedia__tw,wikipedia__xh,wikipedia__pms,identifier__ULAN,identifier__NDL,wikipedia__eswikiquote,name__bm,name__frc,name__jam,name__pap,name__prg,name__rgn,name__vmf,wikipedia__zh_min_nan,name__nan,name__kl,wikipedia__ptwikiquote,wikipedia__dewikinews,identifier__NNDB,identifier__CSPAN,name__ug,name__wuu,wikipedia__arwikiquote,wikipedia__ug,wikipedia__wuu,identifier__NKC,identifier__IIAF,wikipedia__fawikiquote,identifier__CSFD,identifier__bigenc_ru,identifier__OLID,wikipedia__azb,identifier__google_knowledge,identifier__guardian_topic,name__azb
Q2254052,Michèle Tabarot,Michèle Tabarot,Michèle Tabarot,Michèle Tabarot,Michèle Tabarot,Michèle Tabarot,Michèle Tabarot,Michèle Tabarot,Michèle Tabarot,https://upload.wikimedia.org/wikipedia/commons/5/5b/Michèle_Tabarot.jpg,female,76605889,15074149w,1962-10-13,,Michèle,10776,MTabarot,Michèle Tabarot,,,Michèle Tabarot,Michèle Tabarot,Michèle Tabarot,,,Michèle Tabarot,Michèle Tabarot,,,Michèle Tabarot,Michèle Tabarot,Michèle Tabarot,069864357,/m/04zy31n,Michèle Tabarot,,Michèle Tabarot,,,,,,,,,,0000 0001 0815 0984,,,,,,Category:Michèle Tabarot,,,,,,,,nb2010033922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22683833,Philippe Naillet,,,,,Philippe Naillet,Philippe Naillet,Philippe Naillet,Philippe Naillet,,male,,,1960-08-14,,Philippe,,,Philippe Naillet,,,,,,,,,,,philippe.naillet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2271318,Laurence Dumont,Laurence Dumont,Laurence Dumont,Laurence Dumont,Laurence Dumont,Laurence Dumont,Laurence Dumont,Laurence Dumont,Laurence Dumont,https://upload.wikimedia.org/wikipedia/commons/5/5e/DeputeXIVeLegVeRep-Laurence_Dumont2.jpg,female,316748337,,1958-06-02,Dumont,Laurence,2704,,Laurence Dumont,,,Laurence Dumont,Laurence Dumont,,,,Laurence Dumont,Laurence Dumont,,,Laurence Dumont,Laurence Dumont,Laurence Dumont,060113839,/m/04zvlwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2271848,Yves Censi,Yves Censi,Yves Censi,Yves Censi,Yves Censi,Yves Censi,Yves Censi,Yves Censi,Yves Censi,https://upload.wikimedia.org/wikipedia/commons/f/f6/Yves_Censi_-_Sarkozy's_meeting_in_Toulouse_for_the_2007_French_presidential_election_0082_2007-04-12.jpg,male,71677117,15038699z,1964-02-08,,Yves,10643,YvesCensi,Yves Censi,,,Yves Censi,Yves Censi,,,,Yves Censi,Yves Censi,,,,Yves Censi,,068891652,/m/04zzm88,,,,,http://www.yvescensi.com,,,,,,,,0000 0000 3682 2082,,,,,,Yves Censi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2271863,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,https://upload.wikimedia.org/wikipedia/commons/6/68/Jean-Paul_Dupré.jpg,male,,,1944-02-05,Dupré,Jean-Paul,2731,,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,,,Jean-Paul Dupré,Jean-Paul Dupré,,,,Jean-Paul Dupré,Jean-Paul Dupré,,,,,,,,,,,,Jean-Paul Dupré,,Jean-Paul Dupré,,,,,,,,,,,,Jean-Paul Dupré,,,,,,,,Jean-Paul Dupré,Jean-Paul Dupré,,,,,,,,,,Jean-Paul Dupré,,Jean-Paul Dupré,Jean-Paul Dupré,,,Jean-Paul Dupré,,,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,,Jean-Paul Dupré,,,,Jean-Paul Dupré,Jean-Paul Dupré,,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,,Jean-Paul Dupré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,,,,,,,,,,,,,,,,,,,,,,Jean-Paul Dupré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Paul Dupré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,Jean-Paul Dupré,,,,,,,,,,,,,,,,,,,,,,
Q2277941,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,,female,,,1954-07-17,Reynaud,,6709,MLReynaud16,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,,mlreynaud,Marie-Line Reynaud,Marie-Line Reynaud,,,/m/0551ws,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,http://www.marie-line-reynaud.com/,28168,,,,,,,,Marie-Line Reynaud,,Marie-Line Reynaud,,,,,,,,,,,,Marie-Line Reynaud,,,,,,,,Marie-Line Reynaud,Marie-Line Reynaud,,,,,,,,,,Marie-Line Reynaud,,Marie-Line Reynaud,Marie-Line Reynaud,,,Marie-Line Reynaud,,,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,,Marie-Line Reynaud,,,,Marie-Line Reynaud,Marie-Line Reynaud,,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,,Marie-Line Reynaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,,,,,,,,,,,,,,,,,,,,,,Marie-Line Reynaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marie-Line Reynaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,Marie-Line Reynaud,,,,,,,,,,,,,,,,,,,,,,
Q23001641,Alain Ballay,,,,,Alain Ballay,Alain Ballay,Alain Ballay,Alain Ballay,,male,,,1954-02-19,Ballay,Alain,,alainballay,Alain Ballay,,,,,,,,,,,,,,,,,,,,,http://www.alainballay.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2310095,Marie-Hélène Amiable,Marie-Hélène Amiable,Marie-Hélène Amiable,Marie-Hélène Amiable,Marie-Hélène Amiable,Marie-Hélène Amiable,Marie-Hélène Amiable,Marie-Hélène Amiable,Marie-Hélène Amiable,https://upload.wikimedia.org/wikipedia/commons/c/c8/Marie-Hélène_Amiable.jpg,female,,,1960-03-14,Amiable,Marie-Hélène,17216,,Marie-Hélène Amiable,,,Marie-Hélène Amiable,,,,,Marie-Hélène Amiable,Marie-Hélène Amiable,,,,,,,,,,,,http://mhamiable.fr/site/index.php,,,,,,Мари-Элен Амиабль,Μαρί-Ελέν Αμιάμπλ,,,,,,,Marie-Hélène Amiable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23374860,Julien Dive,,,,,Julien Dive,Julien Dive,Julien Dive,Julien Dive,https://upload.wikimedia.org/wikipedia/commons/b/b1/Julien_Dive.jpg,male,,,1985-05-21,,Julien,,JulienDive,Julien Dive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2362877,Germinal Peiro,Germinal Peiro,Germinal Peiro,Germinal Peiro,Germinal Peiro,Germinal Peiro,Germinal Peiro,Germinal Peiro,Germinal Peiro,,male,160305716,16246952b,1953-09-15,,Germinal,5751,germinalpeiro,Germinal Peiro,,,Germinal Peiro,Germinal Peiro,,,,Germinal Peiro,Germinal Peiro,,,,,,059892706,/m/04zymg1,,,,,,,,,,,Жерминаль Пейро,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2370745,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,https://upload.wikimedia.org/wikipedia/commons/a/a3/Claudine_Schmid.jpg,female,308706753,16764268k,1955-09-13,Schmid,Claudine,18527,Claudine_Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,,,,Claudine Schmid,,,,,Claudine Schmid,Claudine Schmid,,,,,,,,,,Κλωντίν Σμιντ,,Claudine Schmid,,Claudine Schmid,,,,,,,,,,,,Claudine Schmid,,,,,,,,Claudine Schmid,Claudine Schmid,,,,,,,,,,Claudine Schmid,,Claudine Schmid,Claudine Schmid,,,Claudine Schmid,,,Claudine Schmid,Claudine Schmid,Claudine Schmid,,Claudine Schmid,,,,Claudine Schmid,Claudine Schmid,,Claudine Schmid,Claudine Schmid,Claudine Schmid,,Claudine Schmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,,,,,,,,,,,,,,,,,,,,,,Claudine Schmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudine Schmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,Claudine Schmid,,,,,,,,,,,,,,,,,,,,,,
Q2374322,Christophe Masse,Christophe Masse,Christophe Masse,Christophe Masse,Christophe Masse,Christophe Masse,Christophe Masse,Christophe Masse,Christophe Masse,,male,,,1963-11-16,,Christophe,10733,,Christophe Masse,,,,,,,Christophe Masse,Christophe Masse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2382914,Claude Leteurtre,Claude Leteurtre,Claude Leteurtre,Claude Leteurtre,Claude Leteurtre,Claude Leteurtre,Claude Leteurtre,Claude Leteurtre,Claude Leteurtre,,male,,,1940-12-30,,Claude,10721,,Claude Leteurtre,,,Claude Leteurtre,Claude Leteurtre,,,,Claude Leteurtre,Claude Leteurtre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2386047,Didier Quentin,Didier Quentin,Didier Quentin,Didier Quentin,Didier Quentin,Didier Quentin,Didier Quentin,Didier Quentin,Didier Quentin,,male,42060668,14443900f,1946-12-23,Quentin,Didier,6550,didierquentin,Didier Quentin,,,Didier Quentin,Didier Quentin,,,,Didier Quentin,Didier Quentin,,,,Didier Quentin,,06927357X,/m/0405lzg,,,,,http://www.didierquentin.com,,,,,,Дидье Квентин,,0000 0000 0094 9057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
