id,name,area,party,email,term,source,party_id,area_id,executive,image
Jeanne_Atherden,"Jeanne Atherden","Pembroke West",OBA,jatherden@parliament.bm,2012,http://www.parliament.bm/Jeanne_Atherden.aspx,OBA,19,"Minister of Health & Seniors",http://www.parliament.bm/uploadedImages/Content/About_Parliament/House_of_Assembly/Members_of_Parliament/Jeanne%20Atherden%202.jpg
Jeff_Sousa,"Jeff Sousa","Warwick West",OBA,jsousa@parliament.bm,2012,http://www.parliament.bm/Jeff_Sousa.aspx,OBA,28,"",http://www.parliament.bm/uploadedImages/Image_Gallery/SOUSA%20JEFFERSON.jpg
Kenneth_Bascome,"Kenneth Bascome","St. George's North",OBA,kbascome@parliament.bm,2012,http://www.parliament.bm/Kenneth_Bascome.aspx,OBA,01,"Junior Minister of Tourism",http://www.parliament.bm/uploadedImages/Image_Gallery/BASCOME%20KENNETH.jpg
Lavita_Foggo,"Lovitta Foggo","St. David's",PLP,lfoggo@parliament.bm,2012,http://www.parliament.bm/Lavita_Foggo.aspx,PLP,03,"Shadow Minister of Education & Party Whip","http://www.parliament.bm/uploadedImages/Image_Gallery/FOGGO,%20LOVITTA(2).jpg"
Lawrence_Scott,"Lawrence Scott","Warwick South East",PLP,lwscott@parliament.bm,2012,http://www.parliament.bm/Lawrence_Scott.aspx,PLP,24,"Shadow Minister of Transportation",http://www.parliament.bm/uploadedImages/Image_Gallery/LAWRENCE%20SCOTT.jpg
Leah_Scott,"Leah Scott","Southampton East Central",OBA,lkscott@gov.bm,2012,http://www.parliament.bm/Leah_Scott.aspx,OBA,30,"",http://www.parliament.bm/uploadedImages/Image_Gallery/SCOTT%20LEAH.jpg
Mark_Pettingill,"Mark Pettingill","Warwick North East",OBA,mpettingill@parliament.bm,2012,http://www.parliament.bm/Mark_Pettingill.aspx,OBA,25,"","http://www.parliament.bm/uploadedImages/Image_Gallery/PETTINGILL,%20MARK(1).jpg"
Michael_Scott,"Michael Scott","Sandys North",PLP,mscott@parliament.bm,2012,http://www.parliament.bm/Michael_Scott.aspx,PLP,36,"Shadow Attorney General","http://www.parliament.bm/uploadedImages/Image_Gallery/SCOTT,%20MICHAEL(1).jpg"
Michael_Weeks,"Michael Weeks","Pembroke East Central",PLP,mweeks@parliament.bm,2012,http://www.parliament.bm/Michael_Weeks.aspx,PLP,16,"Shadow Minster of Community, Youth & Sports",http://www.parliament.bm/uploadedImages/Image_Gallery/WEEKS%20MICHAEL.jpg
Mr._Jamahl_S._Simmons,"Jamahl Simmons","Sandys South",PLP,jsimmons@parliament.bm,2012,http://www.parliament.bm/Mr._Jamahl_S._Simmons.aspx,PLP,33,"Shadow Minister of Tourism",http://www.parliament.bm/uploadedImages/Content/About_Parliament/House_of_Assembly/Members_of_Parliament/Jamahl%20Simmons%20Pic.JPG
Mr._Michael_Dunkle,"Michael Dunkley","Smiths North",OBA,mdunkley@parliament.bm,2012,http://www.parliament.bm/Mr._Michael_Dunkle.aspx,OBA,10,Premier,http://www.parliament.bm/uploadedImages/Image_Gallery/DUNKELY%20MICHAEL.jpg
Mrs._Kim_Wilson,"Kim Wilson","Sandys South Central",PLP,kwilson@parliament.bm,2012,http://www.parliament.bm/Mrs._Kim_Wilson.aspx,PLP,34,"Shadow Minister of Health",http://www.parliament.bm/uploadedImages/Image_Gallery/2114_CAB_MINISTERS_FORMAL_PORTRAITS_VSR_KIM_WILSON_155.jpg
Nandi_Davis,"Nandi Outerbridge","St. George's West",OBA,nouterbridge@parliament.bm,2012,http://www.parliament.bm/Nandi_Davis.aspx,OBA,02,"Party Whip & Government Leader",http://www.parliament.bm/uploadedImages/Image_Gallery/DAVIS%20NANDI.jpg
Patricia_Gordon_Pamplin,"Patricia Gordon Pamplin","Paget West",OBA,ppamplin@parliament.bm,2012,http://www.parliament.bm/Patricia_Gordon_Pamplin.aspx,OBA,23,"Minister of Home Affairs",http://www.parliament.bm/uploadedImages/Image_Gallery/GORDON%20PAMPLIN.jpg
Randy_Horton,"Randolph Horton","Southampton West",Independent,rhorton@parliament.bm,2012,http://www.parliament.bm/Randy_Horton.aspx,Independent,32,"Speaker of the House of Assembly",http://www.parliament.bm/uploadedImages/Image_Gallery/Horton.2006.jpg
Rolfe_Commissiong,"Rolfe Commissiong","Pembroke South East",PLP,rcommissiong@parliament.bm,2012,http://www.parliament.bm/Rolfe_Commissiong.aspx,PLP,21,"",http://www.parliament.bm/uploadedImages/Image_Gallery/COMMISSIONG%20ROLFE.jpg
Shawn_Crockwell,"Shawn Crockwell","Southampton West Central",IND,scrockwell@parliament.bm,2012,http://www.parliament.bm/Shawn_Crockwell.aspx,IND,31,"","http://www.parliament.bm/uploadedImages/Image_Gallery/CROCKWELL,%20SHAWN%5B1%5D.jpeg"
Susan_Jackson,"Susan Jackson","Pembroke South West",OBA,sjackson@parliament.bm,2012,http://www.parliament.bm/Susan_Jackson.aspx,OBA,20,"",http://www.parliament.bm/uploadedImages/Image_Gallery/4267_CAB_MP_JACKSON_SUSAN_VSR_003%20copy.jpg
Suzann_Roberts-Holshouser,"Suzann Roberts-Holshouser","St. George's South",OBA,sholshouser@parliament.bm,2012,http://www.parliament.bm/Suzann_Roberts-Holshouser.aspx,OBA,04,"Deputy Speaker",http://www.parliament.bm/uploadedImages/Image_Gallery/HOLSHOUSER%20SUZANN.jpg
Sylvan_Richards_,"Sylvan Richards Jr.","Hamilton South",OBA,srichards@parliament.bm,2012,http://www.parliament.bm/Sylvan_Richards_.aspx,OBA,07,"Minister of Social Development & Sport",http://www.parliament.bm/uploadedImages/Image_Gallery/RICHARDS%20SYLVAN.jpg
Trevor_Moniz,"Trevor Moniz","Smiths West",OBA,tmoniz@parliament.bm,2012,http://www.parliament.bm/Trevor_Moniz.aspx,OBA,09,"Attorney General & Minister of Legal Affairs",http://www.parliament.bm/uploadedImages/Image_Gallery/MONIZ%20TREVOR.jpg
Walter_Roban,"Walter Roban","Pembroke East",PLP,wroban@parliament.bm,2012,http://www.parliament.bm/Walter_Roban.aspx,PLP,15,"Shadow Minister of National Security",http://www.parliament.bm/uploadedImages/Image_Gallery/ROBAN_WALTER_066_5x7.jpg
Walton_Brown,"Walton Brown","Pembroke Central",PLP,wbrown@parliament.bm,2012,http://www.parliament.bm/Walton_Brown.aspx,PLP,17,"Shadow Minister of Home Affairs",http://www.parliament.bm/uploadedImages/Content/About_Parliament/House_of_Assembly/Members_of_Parliament/WB%20High%20Res%20(Edited%20Version).jpg
Wayne_Furbert,"Wayne Furbert","Hamilton West",PLP,wfurbert@parliament.bm,2012,http://www.parliament.bm/Wayne_Furbert.aspx,PLP,06,"",http://www.parliament.bm/uploadedImages/Image_Gallery/WAYNE%20FURBERT%2006.jpg
Wayne_Scott,"Wayne Scott","Warwick North Central",OBA,rwscott@parliament.bm,2012,http://www.parliament.bm/Wayne_Scott.aspx,OBA,27,"Minister of Education",http://www.parliament.bm/uploadedImages/Image_Gallery/SCOTT%20WAYNE.jpg
Zane_Desilva,"Zane DeSilva","Southampton East",PLP,zdesilva@parliament.bm,2012,http://www.parliament.bm/Zane_Desilva.aspx,PLP,29,"","http://www.parliament.bm/uploadedImages/Image_Gallery/DESILVA,%20ZANE%5B1%5D.jpeg"
