id,name,position,start_date,end_date,type
e79293b5-97d8-41b6-bffe-07a985cd3796,Jakob Axel Nielsen,Minister for Health,2007-11-23,2010-02-23,cabinet
e4036532-3459-40c1-b386-53151f278aac,Poul Schlüter,Justice Minister of Denmark,1989-10-03,1989-10-05,cabinet
e4036532-3459-40c1-b386-53151f278aac,Poul Schlüter,Prime Minister of Denmark,1982-09-10,1993-01-25,cabinet
36e7c717-b90b-42be-9ed2-5370b93e86bf,Lone Dybkjær,Minister for the Environment,1988-06-03,1990-12-18,cabinet
7834533b-05c9-40c0-b1bc-cacbdb2cf826,Carl Holst,Minister for Nordic Co-operation,2015-06-28,,cabinet
7834533b-05c9-40c0-b1bc-cacbdb2cf826,Carl Holst,Defence Minister of Denmark,2015-06-28,2015-09-30,cabinet
702e5547-be65-479a-ab2e-0a674ed64591,Sonja Mikkelsen,Minister for Health,2000-02-23,2000-12-20,cabinet
cb3e631d-634b-4552-a4d1-feb02365edd3,Morten Bødskov,Justice Minister of Denmark,2011-10-03,2013-12-12,cabinet
d78ed767-26ba-4ba2-a4b8-b5f23561e4b2,Niels Helveg Petersen,Minister of Economic and Business Affairs,1988-06-03,1990-12-18,cabinet
d78ed767-26ba-4ba2-a4b8-b5f23561e4b2,Niels Helveg Petersen,Minister of Foreign Affairs,1993-01-25,2000-12-21,cabinet
e027dfba-68c8-4a8f-a549-9f247e571e4f,Ida Auken,Minister for the Environment,2011-10-03,2014-02-03,cabinet
c48d0dad-0e05-4b42-aa28-0768e6959994,Ester Larsen,Minister for Health,1989-12-07,1993-01-25,cabinet
76b68c0f-5e11-49ba-8fc4-92f64f50e4fe,Agnete Laustsen,Minister for Health,1987-09-10,1988-06-03,cabinet
85c01000-ece2-4430-b7b1-13583c9f435f,Hans Engell,Defence Minister of Denmark,1982-09-10,1987-09-10,cabinet
85c01000-ece2-4430-b7b1-13583c9f435f,Hans Engell,Justice Minister of Denmark,1989-10-05,1993-01-25,cabinet
c7c196e6-8ffa-4514-becd-87656f6b58ff,Nicolai Wammen,Defence Minister of Denmark,2013-08-09,2015-06-28,cabinet
e06ef10a-a26f-46d5-80e7-3cc3f20a5ec7,Helle Thorning-Schmidt,Prime Minister of Denmark,2011-10-03,2015-06-27,cabinet
d810f838-1cba-4548-adcf-9b92544423a3,Villy Søvndal,Minister of Foreign Affairs,2011-10-03,2013-12-12,cabinet
dccfa719-d980-4433-9109-a1b9e57aecee,Henning Rasmussen,Justice Minister of Denmark,1979-10-26,1981-01-20,cabinet
6f01f6f3-29fb-48a5-8658-665602b6943c,Uffe Ellemann-Jensen,Minister of Foreign Affairs,1982-09-10,1993-01-25,cabinet
64417b26-9ea8-453d-a19e-121136fc0d26,Svend Aage Jensby,Defence Minister of Denmark,2001-11-27,2004-04-24,cabinet
989088a7-c077-42f0-a849-833583b37157,Bendt Bendtsen,Minister of Economic and Business Affairs,,,cabinet
e482d853-f396-4983-bc4f-a0b1d8a972d2,Bjarne Corydon,Finance Minister of Denmark,2011-10-03,2015-06-28,cabinet
59b38046-2fb1-4c9d-b60a-fe99d2971c9e,Brian Mikkelsen,Minister of Economic and Business Affairs,2010-02-23,2011-10-03,cabinet
59b38046-2fb1-4c9d-b60a-fe99d2971c9e,Brian Mikkelsen,Culture Minister of Denmark,2001-11-27,2008-09-10,cabinet
59b38046-2fb1-4c9d-b60a-fe99d2971c9e,Brian Mikkelsen,Justice Minister of Denmark,2008-09-10,2010-02-23,cabinet
f4b5542a-cafc-4e44-a274-997b4325a9df,Lars Barfoed,Minister of Economic and Business Affairs,,,cabinet
f4b5542a-cafc-4e44-a274-997b4325a9df,Lars Barfoed,Justice Minister of Denmark,2010-02-23,2011-10-03,cabinet
be4290a8-27f2-4cdf-a8d2-d39bc4f7da10,Manu Sareen,Minister for Ecclesiastical Affairs of Denmark,2011-10-03,2014-02-03,cabinet
