twitter,image,birth_date,id,linkedin,facebook,name,wikipedia,wikiname
meaglemp,https://candidates.democracyclub.org.uk/media/images/5534f3f5b247335574a42e28.png,1961-02-17,10183,https://www.linkedin.com/profile/view?id=54432640&authType=NAME_SEARCH&authToken=mEBr&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2Cidx%3A1-1-1%2CtarId%3A1428604686052%2Ctas%3Amaria+eagl,https://www.facebook.com/pages/Maria-Eagle/103693786335432?fref=ts,Maria Eagle,https://en.wikipedia.org/wiki/Maria_Eagle,Maria Eagle
CliveEfford,https://candidates.democracyclub.org.uk/media/images/553b9d51a8c0192f732ca8c3.png,1958-07-10,10185,"","",Clive Efford,https://en.wikipedia.org/wiki/Clive_Efford,Clive Efford
LouiseEllman,https://candidates.democracyclub.org.uk/media/images/5518386d249b917507bee56a.png,1945-11-14,10186,"","",Louise Ellman,https://en.wikipedia.org/wiki/Louise_Ellman,Louise Ellman
ElectNigel,https://candidates.democracyclub.org.uk/media/images/55158e5b4fb3d15c51926db9.png,1957-11-10,10190,"","",Nigel Evans,https://en.wikipedia.org/wiki/Nigel_Evans,Nigel Evans
Mike_Fabricant,https://candidates.democracyclub.org.uk/media/images/55350639b247335574a42e5e.png,1950-06-12,10193,"","",Michael Fabricant,https://en.wikipedia.org/wiki/Michael_Fabricant,Michael Fabricant
"",https://candidates.democracyclub.org.uk/media/images/553500c3b247335574a42e4d.png,1952-05-14,10194,"","",Michael Fallon,https://en.wikipedia.org/wiki/Michael_Fallon,Michael Fallon
frankfieldteam,https://candidates.democracyclub.org.uk/media/images/55356f1d367dc5383f552cb7.png,1942-07-16,10197,"","",Frank Field,https://en.wikipedia.org/wiki/Frank_Field_%28politician%29,Frank Field %28politician%29
FitzMP,https://candidates.democracyclub.org.uk/media/images/images/2884.png,1952-04-04,10199,"","",Jim Fitzpatrick,https://en.wikipedia.org/wiki/Jim_Fitzpatrick_(politician),Jim Fitzpatrick (politician)
CarolineFlintMP,https://candidates.democracyclub.org.uk/media/images/55357539367dc5383f552ce0.png,1961-09-20,10202,"","",Caroline Flint,https://en.wikipedia.org/wiki/Caroline_Flint,Caroline Flint
PaulFlynnMP,https://candidates.democracyclub.org.uk/media/images/553a4d537940863c767fde30.png,1935-02-09,10203,"","",Paul Flynn,https://en.wikipedia.org/wiki/Paul_Flynn_(politician),Paul Flynn (politician)
LiamFoxMP,https://candidates.democracyclub.org.uk/media/images/5535060fb247335574a42e5d.png,1961-09-22,10213,"","",Liam Fox,https://en.wikipedia.org/wiki/Liam_Fox,Liam Fox
"",https://candidates.democracyclub.org.uk/media/images/5548f6ed84e9778b52be3984.png,1943-08-20,10217,"",https://www.facebook.com/north.thanet.roger.gale,Roger Gale,https://en.wikipedia.org/wiki/Roger_Gale,Roger Gale
MikeGapes,https://candidates.democracyclub.org.uk/media/images/560c82e3fef9b316124025a4.png,1952-09-04,10219,"",https://www.facebook.com/mikegapesmp,Mike Gapes,http://en.wikipedia.org/wiki/Mike_Gapes,Mike Gapes
BarryGardiner,https://candidates.democracyclub.org.uk/media/images/55323cfc29c5d53959d9e455.png,1957-03-10,10220,"","",Barry Gardiner,https://en.wikipedia.org/wiki/Barry_Gardiner,Barry Gardiner
EHGarnier,https://candidates.democracyclub.org.uk/media/images/551b372713eb34c82843cb4e.png,1952-10-26,10221,"","",Edward Garnier,https://en.wikipedia.org/wiki/Edward_Garnier,Edward Garnier
NickGibbMP,https://candidates.democracyclub.org.uk/media/images/55225b7b328bff5d39338a6e.png,1960-09-03,10225,"","",Nick Gibb,https://en.wikipedia.org/wiki/Nick_Gibb,Nick Gibb
CherylGillanMP,https://candidates.democracyclub.org.uk/media/images/5524a00cf0e9e2c82406eba9.png,1952-04-21,10228,"",https://m.facebook.com/cherylgillanmp,Cheryl Gillan,https://en.wikipedia.org/wiki/Cheryl_Gillan,Cheryl Gillan
RogerGodsiff,https://candidates.democracyclub.org.uk/media/images/553c9bf242c427035c8db3ec.png,1946-06-28,10231,"","",Roger Godsiff,https://en.wikipedia.org/wiki/Roger_Godsiff,Roger Godsiff
JamesGrayMP,https://candidates.democracyclub.org.uk/media/images/55043c451b7be75c206f17da.png,1954-11-07,10240,"",https://www.facebook.com/jamesgraymp,James Gray,https://en.wikipedia.org/wiki/James_Gray_(British_politician),James Gray (British politician)
damiangreenmp,https://candidates.democracyclub.org.uk/media/images/551b3b5d13eb34c82843cb63.png,1956-01-17,10241,"","",Damian Green,http://en.wikipedia.org/wiki/Damian_Green,Damian Green
"",https://candidates.democracyclub.org.uk/media/images/55225696328bff5d39338a54.png,1956-05-24,10243,"","",Dominic Grieve,https://en.wikipedia.org/wiki/Dominic_Grieve,Dominic Grieve
"",https://candidates.democracyclub.org.uk/media/images/55350db5b247335574a42e6d.png,1955-04-12,10256,"",https://www.facebook.com/groups/fabiancampaign/,Fabian Hamilton,https://en.wikipedia.org/wiki/Fabian_Hamilton,Fabian Hamilton
PHammondMP,https://candidates.democracyclub.org.uk/media/images/552a7de25b858ee163ed6362.png,1955-12-04,10257,"","",Philip Hammond,https://en.wikipedia.org/wiki/Philip_Hammond,Philip Hammond
DavidHansonMP,https://candidates.democracyclub.org.uk/media/images/55356ec9367dc5383f552cb4.png,1957-07-05,10259,"","",David Hanson,https://en.wikipedia.org/wiki/David_Hanson_(politician),David Hanson (politician)
HarrietHarman,https://candidates.democracyclub.org.uk/media/images/552cf2553d3371cf3592d9d6.png,1950-07-30,10260,"","",Harriet Harman,http://en.wikipedia.org/wiki/Harriet_Harman,Harriet Harman
"",https://candidates.democracyclub.org.uk/media/images/5548f81084e9778b52be3987.png,1937-06-23,10263,"","",Alan Haselhurst,https://en.wikipedia.org/wiki/Alan_Haselhurst,Alan Haselhurst
"",https://candidates.democracyclub.org.uk/media/images/55357097367dc5383f552cc1.png,1958-06-23,10265,"","",John Hayes,https://en.wikipedia.org/wiki/John_Hayes_(British_politician),John Hayes (British politician)
"",https://candidates.democracyclub.org.uk/media/images/553ba67db9c95afe74c5d32c.png,1954-12-15,10267,"","",Oliver Heald,https://en.wikipedia.org/wiki/Oliver_Heald,Oliver Heald
JohnHealey_MP,https://candidates.democracyclub.org.uk/media/images/55350cafb247335574a42e6a.png,1960-02-13,10268,"","",John Healey,https://en.wikipedia.org/wiki/John_Healey_(politician),John Healey (politician)
jarrowstevemp,https://candidates.democracyclub.org.uk/media/images/5534f901b247335574a42e3f.png,1959-12-06,10274,"","",Stephen Hepburn,https://en.wikipedia.org/wiki/Stephen_Hepburn,Stephen Hepburn
margarethodge,https://candidates.democracyclub.org.uk/media/images/551b38d613eb34c82843cb54.png,1944-09-08,10281,"","",Margaret Hodge,https://en.wikipedia.org/wiki/Margaret_Hodge,Margaret Hodge
KateHoeyMP,https://candidates.democracyclub.org.uk/media/images/55321d5029c5d53959d9e442.png,1946-06-21,10282,"","",Kate Hoey,http://en.wikipedia.org/wiki/Kate_Hoey,Kate Hoey
"","",1941-08-22,10288,"","",Kelvin Hopkins,https://en.wikipedia.org/wiki/Kelvin_Hopkins,Kelvin Hopkins
"","",1949-06-29,10292,"","",George Howarth,https://en.wikipedia.org/wiki/George_Howarth,George Howarth
geraldhowarth,https://candidates.democracyclub.org.uk/media/images/551b3ad213eb34c82843cb5e.png,1947-09-12,10293,"","",Gerald Howarth,https://en.wikipedia.org/wiki/Gerald_Howarth,Gerald Howarth
LindsayHoyle_MP,https://candidates.democracyclub.org.uk/media/images/553ab62c78c2688c57905d10.png,1957-06-10,10295,"","",Lindsay Hoyle,https://en.wikipedia.org/wiki/Lindsay_Hoyle,Lindsay Hoyle
bernardjenkin,https://candidates.democracyclub.org.uk/media/images/551d73ac570782f7747687df.png,1959-04-09,10312,"","",Bernard Jenkin,https://en.wikipedia.org/wiki/Bernard_Jenkin,Bernard Jenkin
"",https://candidates.democracyclub.org.uk/media/images/54e751beb58df48b5c609f6e.png,1950-05-17,10314,"","",Alan Johnson,http://en.wikipedia.org/wiki/Alan_Johnson,Alan Johnson
HelenJonesMP,https://candidates.democracyclub.org.uk/media/images/553c965942c427035c8db3e2.png,1954-12-24,10319,"","",Helen Jones,https://en.wikipedia.org/wiki/Helen_Jones,Helen Jones
"","",1930-06-21,10327,"","",Gerald Kaufman,https://en.wikipedia.org/wiki/Gerald_Kaufman,Gerald Kaufman
eleanor4epping,https://candidates.democracyclub.org.uk/media/images/550822ee7a8b511079bc5bce.png,1958-02-01,10348,"","",Eleanor Laing,http://en.wikipedia.org/wiki/Eleanor_Laing,Eleanor Laing
EdwardLeighMP,https://candidates.democracyclub.org.uk/media/images/553a4df37940863c767fde32.png,1950-07-20,10352,"","",Edward Leigh,https://en.wikipedia.org/wiki/Edward_Leigh,Edward Leigh
ChrisLeslieMP,https://candidates.democracyclub.org.uk/media/images/5535ce33367dc5383f552ceb.png,1972-06-28,10354,"","",Chris Leslie,https://en.wikipedia.org/wiki/Chris_Leslie_(politician),Chris Leslie (politician)
OliverLetwinMP,https://candidates.democracyclub.org.uk/media/images/55322f0029c5d53959d9e44d.png,1956-05-19,10355,"","",Oliver Letwin,https://en.wikipedia.org/wiki/Oliver_Letwin,Oliver Letwin
IvanLewis_MP,https://candidates.democracyclub.org.uk/media/images/55356f8e367dc5383f552cbb.png,1967-03-04,10357,"","",Ivan Lewis,https://en.wikipedia.org/wiki/Ivan_Lewis,Ivan Lewis
"",https://candidates.democracyclub.org.uk/media/images/55474e766e3a2a7d5402b56b.png,1951-09-26,10358,"","",Julian Lewis,https://en.wikipedia.org/wiki/Julian_Lewis_%28politician%29,Julian Lewis %28politician%29
DLidington,https://candidates.democracyclub.org.uk/media/images/images/4099.png,1956-06-30,10361,"",https://www.facebook.com/david.lidington.aylesbury,David Lidington,http://en.wikipedia.org/wiki/David_Lidington,David Lidington
LilleyPeter,https://candidates.democracyclub.org.uk/media/images/553501dfb247335574a42e55.png,1943-08-23,10362,"","",Peter Lilley,https://en.wikipedia.org/wiki/Peter_Lilley,Peter Lilley
timloughton,https://candidates.democracyclub.org.uk/media/images/5524a576f0e9e2c82406ebc0.png,1962-05-30,10371,"",https://www.facebook.com/TimLoughtonEWAS?fref=ts,Tim Loughton,https://en.wikipedia.org/wiki/Tim_Loughton,Tim Loughton
steve_mccabe,https://candidates.democracyclub.org.uk/media/images/5534da1f8a61d1a7175e0c4b.png,1955-08-04,10377,http://uk.linkedin.com/pub/steve-mccabe/1b/8ba/75a/en,"",Steve McCabe,https://en.wikipedia.org/wiki/Steve_McCabe_(politician),Steve McCabe (politician)
Siobhain_MP,https://candidates.democracyclub.org.uk/media/images/553c30790aa751ab25174175.png,1960-02-20,10381,"",https://www.facebook.com/pages/Siobhain-McDonagh-MP/1485922148331912,Siobhain McDonagh,https://en.wikipedia.org/wiki/Siobhain_McDonagh,Siobhain McDonagh
johnmcdonnellMP,https://candidates.democracyclub.org.uk/media/images/55356e59367dc5383f552cb1.png,1951-09-08,10383,"","",John McDonnell,https://en.wikipedia.org/wiki/John_McDonnell_%28politician%29,John McDonnell %28politician%29
Patrick4Dales,https://candidates.democracyclub.org.uk/media/images/5524a6e7f0e9e2c82406ebcf.png,1957-11-30,10397,"","",Patrick McLoughlin,https://en.wikipedia.org/wiki/Patrick_McLoughlin,Patrick McLoughlin
fionamacmp,https://candidates.democracyclub.org.uk/media/images/553502e5b247335574a42e56.png,1953-09-12,10402,"","",Fiona Mactaggart,https://en.wikipedia.org/wiki/Fiona_Mactaggart,Fiona Mactaggart
GordonMarsden,https://candidates.democracyclub.org.uk/media/images/553b88a4788906ef2517bd68.png,1953-11-28,10415,"","",Gordon Marsden,https://en.wikipedia.org/wiki/Gordon_Marsden,Gordon Marsden
theresa_may,https://candidates.democracyclub.org.uk/media/images/553243d729c5d53959d9e46d.png,1956-10-01,10426,"","",Theresa May,https://en.wikipedia.org/wiki/Theresa_May,Theresa May
"",https://candidates.democracyclub.org.uk/media/images/55350989b247335574a42e64.png,1939-11-04,10427,"","",Michael Meacher,https://en.wikipedia.org/wiki/Michael_Meacher,Michael Meacher
"","",1949-07-31,10428,"","",Alan Meale,https://en.wikipedia.org/wiki/Alan_Meale,Alan Meale
Owen_PatersonMP,https://candidates.democracyclub.org.uk/media/images/55350c2ab247335574a42e69.png,1956-06-24,10473,"","",Owen Paterson,https://en.wikipedia.org/wiki/Owen_Paterson,Owen Paterson
EricPickles,https://candidates.democracyclub.org.uk/media/images/552258d4328bff5d39338a60.png,1952-04-20,10477,"",https://www.facebook.com/eric.pickles?fref=ts,Eric Pickles,https://en.wikipedia.org/wiki/Eric_Pickles,Eric Pickles
"",https://candidates.democracyclub.org.uk/media/images/55322ed829c5d53959d9e44c.png,1948-07-03,10484,"","",Steve Pound,https://en.wikipedia.org/wiki/Stephen_Pound,Stephen Pound
johnredwood,https://candidates.democracyclub.org.uk/media/images/553baaa0a8c0192f732ca8d0.png,1951-06-15,10499,"",https://www.facebook.com/john.redwood.official,John Redwood,https://en.wikipedia.org/wiki/John_Redwood,John Redwood
"",https://candidates.democracyclub.org.uk/media/images/553ad03c2a71a35a6e8a5d2d.png,1958-03-29,10505,"","",Laurence Robertson,https://en.wikipedia.org/wiki/Laurence_Robertson,Laurence Robertson
"","",1938-05-25,10506,"","",Geoffrey Robinson,https://en.wikipedia.org/wiki/Geoffrey_Robinson,Geoffrey Robinson
joanryanEnfield,https://candidates.democracyclub.org.uk/media/images/images/2104.png,1955-09-08,10523,"",https://www.facebook.com/joanryanEnfieldNorth,Joan Ryan,https://en.wikipedia.org/wiki/Joan_Ryan,Joan Ryan
AlexSalmond,https://candidates.democracyclub.org.uk/media/images/54c2f0fd9a36f9347c5ea77f.png,1954-12-31,10525,"","",Alex Salmond,http://en.wikipedia.org/wiki/Alex_Salmond,Alex Salmond
BarrySheerman,https://candidates.democracyclub.org.uk/media/images/551a0641b989d5e837ae99d6.png,1940-08-17,10534,"",https://www.facebook.com/workingforhuddersfield,Barry Sheerman,https://en.wikipedia.org/wiki/Barry_Sheerman,Barry Sheerman
KeithSimpsonMP,https://candidates.democracyclub.org.uk/media/images/5522588d328bff5d39338a5d.png,1949-03-29,10542,"","",Keith Simpson,http://en.wikipedia.org/wiki/Keith_Simpson_%28politician%29,Keith Simpson %28politician%29
"",https://candidates.democracyclub.org.uk/media/images/55322a4729c5d53959d9e446.png,1932-02-11,10544,"","",Dennis Skinner,https://en.wikipedia.org/wiki/Dennis_Skinner,Dennis Skinner
VoteAndrewSmith,https://candidates.democracyclub.org.uk/media/images/552ed9cb42862f047e51ccad.png,1952-02-01,10545,"",https://www.facebook.com/AndrewSmithForOxford,Andrew Smith,https://en.wikipedia.org/wiki/Andrew_Smith_%28politician%29,Andrew Smith %28politician%29
nsoamesmp,https://candidates.democracyclub.org.uk/media/images/553570ff367dc5383f552cc3.png,1948-02-12,10555,"","",Nicholas Soames,https://en.wikipedia.org/wiki/Nicholas_Soames,Nicholas Soames
spellar,https://candidates.democracyclub.org.uk/media/images/5534f421b247335574a42e29.png,1947-08-05,10558,"","",John Spellar,https://en.wikipedia.org/wiki/John_Spellar,John Spellar
spelmanc,https://candidates.democracyclub.org.uk/media/images/55321dbc29c5d53959d9e443.png,1958-05-04,10559,"","",Caroline Spelman,https://en.wikipedia.org/wiki/Caroline_Spelman,Caroline Spelman
"",https://candidates.democracyclub.org.uk/media/images/553baf2ab9c95afe74c5d332.png,1955-10-02,10575,"","",Gary Streeter,https://en.wikipedia.org/wiki/Gary_Streeter,Gary Streeter
"","",1950-02-17,10576,"","",Graham Stringer,https://en.wikipedia.org/wiki/Graham_Stringer,Graham Stringer
GiselaStuart,https://candidates.democracyclub.org.uk/media/images/54c7ae91808848fe5d74a786.jpg,1955-11-26,10577,"","",Gisela Stuart,http://en.wikipedia.org/wiki/Gisela_Stuart,Gisela Stuart
DesmondSwayne,https://candidates.democracyclub.org.uk/media/images/5534f473b247335574a42e2b.png,1956-08-20,10580,"","",Desmond Swayne,https://en.wikipedia.org/wiki/Desmond_Swayne,Desmond Swayne
robertsymsmp,https://candidates.democracyclub.org.uk/media/images/55356e81367dc5383f552cb2.png,1956-08-15,10582,"","",Robert Syms,https://en.wikipedia.org/wiki/Robert_Syms,Robert Syms
GarethThomasMP,https://candidates.democracyclub.org.uk/media/images/5534f8e8b247335574a42e3e.png,1967-07-15,10594,"","",Gareth Thomas,https://en.wikipedia.org/wiki/Gareth_Thomas_(English_politician),Gareth Thomas (English politician)
stephenctimms,https://candidates.democracyclub.org.uk/media/images/55351f08b247335574a42e7c.png,1955-07-29,10596,"",https://www.facebook.com/stephenctimms/,Stephen Timms,https://en.wikipedia.org/wiki/Stephen_Timms,Stephen Timms
"","",1950-01-19,10602,"","",David Tredinnick,https://en.wikipedia.org/wiki/David_Tredinnick_%28politician%29,David Tredinnick %28politician%29
jon_trickett,https://candidates.democracyclub.org.uk/media/images/553bd1b8b9c95afe74c5d33e.png,1950-07-02,10604,"","",Jon Trickett,https://en.wikipedia.org/wiki/Jon_Trickett,Jon Trickett
DerekTwiggMP,https://candidates.democracyclub.org.uk/media/images/553aadb378c2688c57905d0d.png,1959-07-09,10610,"","",Derek Twigg,https://en.wikipedia.org/wiki/Derek_Twigg,Derek Twigg
StephenTwigg,https://candidates.democracyclub.org.uk/media/images/553575d8367dc5383f552ce5.png,1966-12-25,10611,"","",Stephen Twigg,https://en.wikipedia.org/wiki/Stephen_Twigg,Stephen Twigg
ChichesterCA,https://candidates.democracyclub.org.uk/media/images/55249fa3f0e9e2c82406eba8.png,1957-01-15,10613,"","",Andrew Tyrie,https://en.wikipedia.org/wiki/Andrew_Tyrie,Andrew Tyrie
"",https://candidates.democracyclub.org.uk/media/images/553c9bd7e22f98bc5d30fa61.png,1956-11-26,10614,"",http://facebook.com/keithvazmp?ref=hl,Keith Vaz,https://en.wikipedia.org/wiki/Keith_Vaz,Keith Vaz
alanwhiteheadmp,https://candidates.democracyclub.org.uk/media/images/550bdf3736b6dcb123cb431f.png,1950-09-15,10630,"",https://www.facebook.com/alanwhiteheadmp,Alan Whitehead,https://en.wikipedia.org/wiki/Alan_Whitehead,Alan Whitehead
JWhittingdale,https://candidates.democracyclub.org.uk/media/images/5548f70184e9778b52be3985.png,1959-10-16,10632,"",https://www.facebook.com/johnwhittingdale4maldon,John Whittingdale,https://en.wikipedia.org/wiki/John_Whittingdale,John Whittingdale
"","",1933-06-26,10645,"","",David Winnick,https://en.wikipedia.org/wiki/David_Winnick,David Winnick
"",https://candidates.democracyclub.org.uk/media/images/55350670b247335574a42e60.png,1958-08-10,10648,"","",Rosie Winterton,https://en.wikipedia.org/wiki/Rosie_Winterton,Rosie Winterton
hilarybennmp,https://candidates.democracyclub.org.uk/media/images/55351f21b247335574a42e7d.png,1953-11-26,10669,"","",Hilary Benn,https://en.wikipedia.org/wiki/Hilary_Benn,Hilary Benn
DavidLammy,https://candidates.democracyclub.org.uk/media/images/55323e9829c5d53959d9e45e.png,1972-07-19,10678,"","",David Lammy,https://en.wikipedia.org/wiki/David_Lammy,David Lammy
MpHendrick,https://candidates.democracyclub.org.uk/media/images/55351c97b247335574a42e78.png,1958-11-02,10682,"","",Mark Hendrick,https://en.wikipedia.org/wiki/Mark_Hendrick,Mark Hendrick
Adrian_Bailey,https://candidates.democracyclub.org.uk/media/images/5532412529c5d53959d9e466.png,1945-12-11,10683,"","",Adrian Bailey,https://en.wikipedia.org/wiki/Adrian_Bailey,Adrian Bailey
