id,name__bg,name__mk,name__fr,name__en,name__de,name__nb,name__nn,name,wikipedia__bg,wikipedia__mk,gender,birth_date,original_wikiname,name__sq,name__es,name__nl,name__uk,name__ru,wikipedia__bgwikiquote,wikipedia__de,wikipedia__en,wikipedia__ru,wikipedia__sq,wikipedia__uk,identifier__VIAF,identifier__GND,identifier__LCAuth,death_date,given_name,name__ie,wikipedia__ie,name__sr,wikipedia__sr,name__sr_el,name__sr_ec,name__el,wikipedia__el,wikipedia__fr,image,identifier__freebase,name__et,wikipedia__et,name__id,name__pl,name__bs,name__fi,name__hsb,name__it,wikipedia__bs,wikipedia__fi,wikipedia__id,wikipedia__it,wikipedia__pl,name__cs,wikipedia__cs,name__ja,wikipedia__ja,name__hu,last_seen,wikipedia__hr,name__hr,wikipedia__mg,name__mg,name__zh_hant,name__zh_cn,identifier__PACE,wikipedia__fa,name__fa,occupation,wikipedia__tr,name__tr,wikipedia__commons,wikipedia__sh,name__sh,identifier__BNF,name__ka,wikipedia__ka,name__zh_hans,name__zh_hk,name__zh,wikipedia__zh,identifier__IMDB,identifier__NSK,identifier__ISNI,name__da,wikipedia__da,wikipedia__es,identifier__Munzinger,name__la,name__fo,name__kl,wikipedia__la,wikipedia__nl,name__hy,name__pt,wikipedia__hy,wikipedia__pt,name__he,name__oc,name__yo,name__ms,name__gl,name__vi,name__sv,name__ar,name__sk,name__ro,name__ca,name__io,name__be,name__lmo,wikipedia__ar,wikipedia__ca,wikipedia__gl,wikipedia__he,wikipedia__hsb,wikipedia__io,wikipedia__lmo,wikipedia__ms,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__ro,wikipedia__sk,wikipedia__sv,wikipedia__vi,wikipedia__yo,name__nds,wikipedia__enwikiquote,name__cy,identifier__SUDOC,identifier__OLID,identifier__FAST,identifier__google_knowledge,identifier__nlg
Q12271448,Александър Гещаковски,,,,,,,,Александър Гещаковски,,male,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12271584,Александър Флоровски,,,,,,,,Александър Флоровски,,male,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12273688,Борис Змейковски,Борис Змејковски,,,,Boris Zmejkovski,Boris Zmejkovski,Борис Змејковски,Борис Змейковски,Борис Змејковски,male,1956,,,,,,,,,,,,,,,,,Boris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12276151,Гарип Каба,,,,,,,,Гарип Каба,,male,1964-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12276704,Георги Спасов,Ѓорѓи Спасов,,,,Gjorgji Spasov,Gjorgji Spasov,Ѓорѓи Спасов,Георги Спасов (министър),Ѓорѓи Спасов,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12277980,Джезаир Шакири,Џезаир Шаќири,,,,Dzjezair Sjakjiri,Dzjezair Sjakjiri,Џезаир Шаќири,Джезаир Шакири,Џезаир Шаќири,male,1965-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12277989,Джеладин Мурати,Џеладин Мурати,,,,Dzjeladin Murati,Dzjeladin Murati,Џеладин Мурати,Джеладин Мурати,Џеладин Мурати,male,1942-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12278244,Димитър Бузлевски,Димитар Бузлевски,,,,,,Димитар Бузлевски,Димитър Бузлевски,Димитар Бузлевски,male,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12280035,Ешреф Алиу,,,,,,,,Ешреф Алиу,,male,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12280594,Зоран Кръстевски,,,,,,,,Зоран Кръстевски,,male,1960-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12280597,Зоран Шапурич,Зоран Шапуриќ,,,,Zoran Sjapurikj,Zoran Sjapurikj,Зоран Шапуриќ,Зоран Шапурич,Зоран Шапуриќ,male,1958-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12281220,Иван Стоилкович,Иван Стоилковиќ,,Ivan Stoiljkovik,,Ivan Stoilkovikj,Ivan Stoilkovikj,Иван Стоилковиќ,Иван Стоилкович,Иван Стоилковиќ,male,1962-02-15,Иван Стоилковиќ,,,Ivan Stoiljkovik,,,,,,,,,,,,,Ivan,,,Иван Стоилковић,Иван Стоилковић,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Иван_Стоилковиќ.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12281658,Илия Филиповски,,,,,,,,Илия Филиповски,,male,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12281671,Илияз Сабриу,Илјас Сабриу,,,,,,Илјас Сабриу,Илияз Сабриу,Илјас Сабриу,male,1951-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12282111,Йорго Шундовски,,,,,,,,Йорго Шундовски,,male,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12283099,Киро Дойчиновски,Киро Дојчиновски,,,,Kiro Dojtsjinovski,Kiro Dojtsjinovski,Киро Дојчиновски,Киро Дойчиновски,Киро Дојчиновски,male,1937-08-19,,,,,,,,,,,,,,,,2014-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12283100,Киро Поповски,Киро Поповски,,,,Kiro Popovski,Kiro Popovski,Киро Поповски,Киро Поповски,Киро Поповски,male,1942-04-13,,,,,,,,,,,,,,,,1995-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12283938,Коце Траяновски,Коце Трајановски,,Koce Trajanovski,,Kotse Trajanovski,Kotse Trajanovski,Коце Трајановски,Коце Траяновски,Коце Трајановски,male,1956,,,Koce Trajanovski,Koce Trajanovski,Коце Траяновскі,,,,Koce Trajanovski,,,Коце Траяновскі,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f5/Koce_Trajanovski_cropp.jpg,,,,,,,,,,,,,,,,,,,Koce Trajanovski,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12285373,Любисав Иванов,Љубисав Иванов - Ѕинго,,Ljubisav Ivanov,,Ljubisav Ivanov,Ljubisav Ivanov,Љубисав Иванов - Ѕинго,Любисав Иванов,Љубисав Иванов - Ѕинго,male,1936-11-08,Љубисав Иванов - Ѕинго,,,Ljubisav Ivanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12285447,Любчо Балкоски,Љупчо Балкоски,,,,,,Љупчо Балкоски,Любчо Балкоски,Љупчо Балкоски,male,1966-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12286035,Мариян Додовски,Марјан Додовски,,,,Marjan Dodovski,Marjan Dodovski,Марјан Додовски,Мариян Додовски,Марјан Додовски,male,1966-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12286278,Марян Гьорчев,,,,,,,,Марян Гьорчев,,male,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12286764,Милован Шиковски,,,,,,,,Милован Шиковски,,male,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12286980,Митко Анастасовски,,,,,,,,Митко Анастасовски,,male,1926,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12287505,Мухамед Халили,Мухамед Халили,,,,Muhamed Halili,Muhamed Halili,Мухамед Халили,Мухамед Халили,Мухамед Халили,male,1951-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12287763,Насер Зибери,Насер Зибери,,,,,,Насер Зибери,Насер Зибери,Насер Зибери,male,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12288019,Невзат Бейта,Невзат Бејта,,Nevzat Bejta,Nevzat Bejta,Nevzat Bejta,Nevzat Bejta,Невзат Бејта,Невзат Бейта,Невзат Бејта,male,1961-10-19,,Nevzat Bejta,,Nevzat Bejta,,,,,,,Nevzat Bejta,,,,,,Nevzat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nevzat Bejta,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12290564,Петър Попарсов,,,,,,,,Петър Попарсов (политик),,male,1969-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12291985,Радмила Киприянова-Радованович,,,,,,,,Радмила Киприянова-Радованович,,female,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12292177,Рафиз Алити,Рафиз Аљити,,,,Rafiz Aljiti,Rafiz Aljiti,Рафиз Аљити,Рафиз Алити,Рафиз Аљити,male,1959-04-29,,,,Rafis Aliti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafis Aliti,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,Rafis Aliti,Rafis Aliti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12292282,Реис Шакири,,,,,,,,Реис Шакири,,male,1922-12-12,,,,,,,,,,,,,,,,2006-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12292416,Ристо Пенов,,,,,,,,Ристо Пенов,,male,1957-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12293965,Славко Петров,,,,,,,,Славко Петров,,male,1937,,,,,,,,,,,,,,,,2009-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12295024,Станко Младеновски,Станко Младеновски,,Stanko Mladenovski,,Stanko Mladenovski,Stanko Mladenovski,Станко Младеновски,Станко Младеновски,Станко Младеновски,male,1937-11-09,,,,,,,,,Stanko Mladenovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12296079,Тахир Хани,,,,,,,,Тахир Хани,,male,1961-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12296706,Томе Тромбев,,,,,,,,Томе Тромбев,,male,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12297671,Фият Цаноски,,,,,,,,Фият Цаноски,,male,1960-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12297872,Хади Незир,Хади Незир,,,,Hadi Nezir,Hadi Nezir,Хади Незир,Хади Незир,Хади Незир,male,1952-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12298088,Хисни Шакири,Хисни Шаќири,,,,Hisni Sjakjiri,Hisni Sjakjiri,Хисни Шаќири,Хисни Шакири,Хисни Шаќири,male,1949-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12298089,Хисен Рамадани,Хисен Рамадани,,,,Hisen Ramadani,Hisen Ramadani,Хисен Рамадани,Хисен Рамадани,Хисен Рамадани,male,1933-01-03,,,,,,,,,,,,,,,,2012-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12904873,,Андреј Петров,,Andrei Petrov,,,,Андреј Петров,,Андреј Петров,male,,Андреј Петров,,,,,,,,,,,,,,,,Andrei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12908548,,Менде Диневски,,Mende Dinevski,,,,Менде Диневски,,Менде Диневски,male,,Менде Диневски,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12908673,,Михаило Џолонга,,Mihailo Dzolonga,,,,Михаило Џолонга,,Михаило Џолонга,male,,Михаило Џолонга,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1363047,Любчо Йордановски,Љупчо Јордановски,Ljupčo Jordanovski,Ljupčo Jordanovski,Ljupčo Jordanovski,Ljuptsjo Jordanovski,Ljuptsjo Jordanovski,Љупчо Јордановски,Любчо Йордановски,Љупчо Јордановски,male,1953-02-13,,,Ljupčo Jordanovski,Ljupčo Jordanovski,Люпчо Йордановський,"Йордановский, Люпчо",,Ljupčo Jordanovski,Ljupčo Jordanovski,"Йордановский, Люпчо",,Люпчо Йордановський,305534910,,,2010-10-07,,,,Љупчо Јордановски,Љупчо Јордановски,,,,,Ljupčo Jordanovski,,/m/02g_1c,Ljupčo Jordanovski,Ljupčo Jordanovski,Ljupco Jordanovski,Lupczo Jordanowski,,,,,,,Ljupco Jordanovski,,Lupczo Jordanowski,,,,,Ljupčo Jordanovski,,,,,,,,,,,politician,,,,,,,ლიუპჩო იორდანოვსკი,ლიუპჩო იორდანოვსკი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ljupčo Jordanovski,,,,,
Q1528947,Георги Оровчанец,Ѓорѓи Оровчанец,,,Gjorgji Orovčanec,,,Ѓорѓи Оровчанец,Георги Оровчанец,Ѓорѓи Оровчанец,male,1951-09-10,,,,Gjorgji Orovčanec,,,,Gjorgji Orovčanec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
