id,name,area,image,email,phone,birth_date,term,source,facebook,twitter
cregeengd,Graham Derek CREGEEN,"Arbory, Castletown and Malew",http://www.tynwald.org.im/SiteCollectionImages/CregeenGD.jpg,graham.cregeen@gov.im,(01624) 651529,,2016,http://www.tynwald.org.im/memoff/member/Pages/CregeenGD.aspx,"",""
edgej,Julie Marie EDGE,Onchan,http://www.tynwald.org.im/SiteCollectionImages/EdgeJ.jpg,julie.edge@gov.im,(01624) 651512,,2016,http://www.tynwald.org.im/memoff/member/Pages/EdgeJM.aspx,"",""
harmerrk,Raymond Karl HARMER,Glenfaba and Peel,http://www.tynwald.org.im/SiteCollectionImages/HarmerRK.jpg,"",01624 685596,,2016,http://www.tynwald.org.im/memoff/member/Pages/HarmerRK.aspx,"",""
hooperl,Lawrie Lee HOOPER,Ramsey,http://www.tynwald.org.im/SiteCollectionImages/HooperL.jpg,lawrie@lhooperiom.com,07624473478,,2016,http://www.tynwald.org.im/memoff/member/Pages/HooperLL.aspx,http://www.facebook.com/lhooperiom,http://www.twitter.com/lawriehooper
malarkeywm,William Mackay MALARKEY,Douglas South,http://www.tynwald.org.im/SiteCollectionImages/MALARKEYWM.jpg,bill.malarkey@gov.im,01624 651524,,2016,http://www.tynwald.org.im/memoff/member/Pages/MalarkeyWM.aspx,"",""
moorhousej,Jason Robert MOORHOUSE,"Arbory, Castletown and Malew",http://www.tynwald.org.im/SiteCollectionImages/MoorhouseJ.jpg,jason.moorhouse@gov.im,651533,,2016,http://www.tynwald.org.im/memoff/member/Pages/MoorhouseJR.aspx,"",""
peakegr,George Ralph PEAKE,Douglas North,http://www.tynwald.org.im/SiteCollectionImages/PeakeGR.jpg,ralph.peake@gov.im,01624 686172,,2016,http://www.tynwald.org.im/memoff/member/Pages/PEAKEGR.aspx,"",""
perkinsm,Martyn John PERKINS,Garff,http://www.tynwald.org.im/SiteCollectionImages/PerkinsM.jpg,martyn.perkins@gov.im,651518,,2016,http://www.tynwald.org.im/memoff/member/Pages/PerkinsMJ.aspx,"",""
quaylerh,Robert Howard QUAYLE,Middle,http://www.tynwald.org.im/SiteCollectionImages/QuayleRH.jpg,howard.quayle@gov.im,01624 651530,,2016,http://www.tynwald.org.im/memoff/member/Pages/QuayleRH.aspx,"",""
robertshawcr,Christopher Roy ROBERTSHAW,Douglas East,http://www.tynwald.org.im/SiteCollectionImages/RobertshawCR.jpg,derson@gov.im,(01624) 651503,,2016,http://www.tynwald.org.im/memoff/member/Pages/RobertshawCR.aspx,"",""
shimminsb,William Catto SHIMMINS,Middle,http://www.tynwald.org.im/SiteCollectionImages/ShimminsB.jpg,bill.shimmins@gov.im,(01624) 651511,,2016,http://www.tynwald.org.im/memoff/member/Pages/ShimminsWC.aspx,https://www.facebook.com/billshimminsmhk/,https://twitter.com/billshimmins
skellyld,"Laurence David SKELLY,",Rushen,http://www.tynwald.org.im/SiteCollectionImages/SkellyLD.jpg,laurence.skelly@gov.im,(01624) 651532,,2016,http://www.tynwald.org.im/memoff/member/Pages/SkellyLD.aspx,"",""
thomascc,Christopher Charles THOMAS,Douglas Central,http://www.tynwald.org.im/SiteCollectionImages/thomasCC.jpg,chris.thomas@parliament.org.im,07624 415820,,2016,http://www.tynwald.org.im/memoff/member/Pages/ThomasCC.aspx,http://www.facebook.com/christhomasiom,https://twitter.com/christhomasiom
wattersonjp,Juan Paul WATTERSON BA FCA CMgr FCMI SHK,Rushen,http://www.tynwald.org.im/SiteCollectionImages/WattersonJP.jpg,juan.watterson@gov.im,01624 685507,,2016,http://www.tynwald.org.im/memoff/member/Pages/WattersonJP.aspx,"",""
