id,name,full_name,birth_date,image,source,term,party,area,start_date,end_date,identifier__parlamento
4,Adérito Campos,Adérito Manuel Soares Campos,1957-08-27,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,4,PSD,Aveiro,1985-11-04,1987-08-12,4
4,Adérito Campos,Adérito Manuel Soares Campos,1957-08-27,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,5,PSD,Aveiro,1987-08-13,1991-11-03,4
4,Adérito Campos,Adérito Manuel Soares Campos,1957-08-27,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,6,PSD,Aveiro,1991-11-04,1995-10-26,4
5,Adriano Pinto,Adriano da Silva Pinto,1939-09-15,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,2,PSD,Porto,1980-11-13,1983-05-30,5
5,Adriano Pinto,Adriano da Silva Pinto,1939-09-15,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,4,PSD,Porto,1985-11-04,1987-08-12,5
5,Adriano Pinto,Adriano da Silva Pinto,1939-09-15,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,5,PSD,Porto,1987-08-13,1991-11-03,5
5,Adriano Pinto,Adriano da Silva Pinto,1939-09-15,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,6,PSD,Porto,1991-11-04,1995-10-26,5
5,Adriano Pinto,Adriano da Silva Pinto,1939-09-15,http://app.parlamento.pt/webutils/getimage.aspx?id=5&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,8,PSD,Porto,1999-10-25,2002-04-04,5
6,Cerqueira de Oliveira,Alberto Cerqueira de Oliveira,1944-01-24,http://app.parlamento.pt/webutils/getimage.aspx?id=6&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=6,5,PSD,Braga,1987-08-13,1991-11-03,6
6,Cerqueira de Oliveira,Alberto Cerqueira de Oliveira,1944-01-24,http://app.parlamento.pt/webutils/getimage.aspx?id=6&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=6,6,PSD,Braga,1991-11-04,1995-10-26,6
7,Alberto Araujo,Alberto Monteiro de Araújo,1951-03-19,http://app.parlamento.pt/webutils/getimage.aspx?id=7&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=7,2,PSD,Porto,1980-11-13,1983-05-30,7
7,Alberto Araujo,Alberto Monteiro de Araújo,1951-03-19,http://app.parlamento.pt/webutils/getimage.aspx?id=7&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=7,4,PSD,Porto,1985-11-04,1987-08-12,7
7,Alberto Araujo,Alberto Monteiro de Araújo,1951-03-19,http://app.parlamento.pt/webutils/getimage.aspx?id=7&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=7,5,PSD,Porto,1987-08-13,1991-11-03,7
7,Alberto Araujo,Alberto Monteiro de Araújo,1951-03-19,http://app.parlamento.pt/webutils/getimage.aspx?id=7&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=7,6,PSD,Porto,1991-11-04,1995-10-26,7
8,Álvaro Viegas,Álvaro Jose Martins Viegas,1963-08-13,http://app.parlamento.pt/webutils/getimage.aspx?id=8&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=8,5,PSD,Faro,1987-08-13,1991-11-03,8
8,Álvaro Viegas,Álvaro Jose Martins Viegas,1963-08-13,http://app.parlamento.pt/webutils/getimage.aspx?id=8&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=8,6,PSD,Faro,1991-11-04,1995-10-26,8
8,Álvaro Viegas,Álvaro Jose Martins Viegas,1963-08-13,http://app.parlamento.pt/webutils/getimage.aspx?id=8&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=8,9,PSD,Faro,2002-04-05,2005-03-09,8
9,Álvaro Barreto,Álvaro Roque de Pinho Bissaia Barreto,1936-01-01,http://app.parlamento.pt/webutils/getimage.aspx?id=9&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=9,2,PSD,Viseu,1980-11-13,1983-05-30,9
9,Álvaro Barreto,Álvaro Roque de Pinho Bissaia Barreto,1936-01-01,http://app.parlamento.pt/webutils/getimage.aspx?id=9&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=9,4,PSD,Beja,1985-11-04,1987-08-12,9
9,Álvaro Barreto,Álvaro Roque de Pinho Bissaia Barreto,1936-01-01,http://app.parlamento.pt/webutils/getimage.aspx?id=9&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=9,5,PSD,Beja,1987-08-13,1991-11-03,9
9,Álvaro Barreto,Álvaro Roque de Pinho Bissaia Barreto,1936-01-01,http://app.parlamento.pt/webutils/getimage.aspx?id=9&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=9,6,PSD,Lisboa,1991-11-04,1995-10-26,9
9,Álvaro Barreto,Álvaro Roque de Pinho Bissaia Barreto,1936-01-01,http://app.parlamento.pt/webutils/getimage.aspx?id=9&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=9,7,PSD,Castelo Branco,1995-10-27,1999-10-24,9
9,Álvaro Barreto,Álvaro Roque de Pinho Bissaia Barreto,1936-01-01,http://app.parlamento.pt/webutils/getimage.aspx?id=9&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=9,8,PSD,Lisboa,1999-10-25,2002-04-04,9
9,Álvaro Barreto,Álvaro Roque de Pinho Bissaia Barreto,1936-01-01,http://app.parlamento.pt/webutils/getimage.aspx?id=9&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=9,9,PSD,Lisboa,2002-04-05,2005-03-09,9
10,Ana Paula Barros,Ana Paula Matos Barros,1965-04-26,http://app.parlamento.pt/webutils/getimage.aspx?id=10&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=10,6,PSD,Viseu,1991-11-04,1995-10-26,10
11,Branco Malveiro,Antonio do Carmo Branco Malveiro,1948-04-17,http://app.parlamento.pt/webutils/getimage.aspx?id=11&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=11,4,PSD,Beja,1985-11-04,1987-08-12,11
11,Branco Malveiro,Antonio do Carmo Branco Malveiro,1948-04-17,http://app.parlamento.pt/webutils/getimage.aspx?id=11&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=11,6,PSD,Beja,1991-11-04,1995-10-26,11
12,António Morgado,António Esteves Morgado,1945-10-18,http://app.parlamento.pt/webutils/getimage.aspx?id=12&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=12,6,PSD,Guarda,1991-11-04,1995-10-26,12
13,António Germano Sá e Abreu,António Germano Fernandes de Sá e Abreu,1952-10-16,http://app.parlamento.pt/webutils/getimage.aspx?id=13&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=13,6,PSD,Braga,1991-11-04,1995-10-26,13
13,António Germano Sá e Abreu,António Germano Fernandes de Sá e Abreu,1952-10-16,http://app.parlamento.pt/webutils/getimage.aspx?id=13&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=13,7,PSD,Braga,1995-10-27,1999-10-24,13
14,António Vairinhos,António Joaquim Correia Vairinhos,1955-06-17,http://app.parlamento.pt/webutils/getimage.aspx?id=14&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=14,5,PSD,Faro,1987-08-13,1991-11-03,14
14,António Vairinhos,António Joaquim Correia Vairinhos,1955-06-17,http://app.parlamento.pt/webutils/getimage.aspx?id=14&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=14,6,PSD,Faro,1991-11-04,1995-10-26,14
14,António Vairinhos,António Joaquim Correia Vairinhos,1955-06-17,http://app.parlamento.pt/webutils/getimage.aspx?id=14&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=14,7,PSD,Faro,1995-10-27,1999-10-24,14
15,António Barradas Leitão,António José Barradas Leitão,1954-04-04,http://app.parlamento.pt/webutils/getimage.aspx?id=15&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=15,6,PSD,Leiria,1991-11-04,1995-10-26,15
15,António Barradas Leitão,António José Barradas Leitão,1954-04-04,http://app.parlamento.pt/webutils/getimage.aspx?id=15&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=15,7,PSD,Leiria,1995-10-27,1999-10-24,15
16,Motta Veiga,Antonio José Caeiro da Motta Veiga,1951-06-08,http://app.parlamento.pt/webutils/getimage.aspx?id=16&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=16,5,PSD,Lisboa,1987-08-13,1991-11-03,16
16,Motta Veiga,Antonio José Caeiro da Motta Veiga,1951-06-08,http://app.parlamento.pt/webutils/getimage.aspx?id=16&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=16,6,PSD,Lisboa,1991-11-04,1995-10-26,16
17,António Alves,António Manuel Fernandes Alves,1932-06-12,http://app.parlamento.pt/webutils/getimage.aspx?id=17&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=17,6,PSD,Setúbal,1991-11-04,1995-10-26,17
18,António Maria Pereira,António Maria Pereira,1924-02-12,http://app.parlamento.pt/webutils/getimage.aspx?id=18&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=18,1,PSD,Fora da Europa,1980-01-03,1980-11-12,18
18,António Maria Pereira,António Maria Pereira,1924-02-12,http://app.parlamento.pt/webutils/getimage.aspx?id=18&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=18,5,PSD,Lisboa,1987-08-13,1991-11-03,18
18,António Maria Pereira,António Maria Pereira,1924-02-12,http://app.parlamento.pt/webutils/getimage.aspx?id=18&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=18,6,PSD,Lisboa,1991-11-04,1995-10-26,18
19,Barbosa de Melo,Antonio Moreira Barbosa de Melo,1932-11-02,http://app.parlamento.pt/webutils/getimage.aspx?id=19&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=19,1,PSD,Coimbra,1976-06-03,1980-01-02,19
19,Barbosa de Melo,Antonio Moreira Barbosa de Melo,1932-11-02,http://app.parlamento.pt/webutils/getimage.aspx?id=19&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=19,6,PSD,Coimbra,1991-11-04,1995-10-26,19
19,Barbosa de Melo,Antonio Moreira Barbosa de Melo,1932-11-02,http://app.parlamento.pt/webutils/getimage.aspx?id=19&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=19,7,PSD,Coimbra,1995-10-27,1999-10-24,19
20,Paulo Pereira Coelho,António Paulo Martins Pereira Coelho,1958-04-27,http://app.parlamento.pt/webutils/getimage.aspx?id=20&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=20,4,PSD,Coimbra,1985-11-04,1987-08-12,20
20,Paulo Pereira Coelho,António Paulo Martins Pereira Coelho,1958-04-27,http://app.parlamento.pt/webutils/getimage.aspx?id=20&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=20,5,PSD,Coimbra,1987-08-13,1991-11-03,20
20,Paulo Pereira Coelho,António Paulo Martins Pereira Coelho,1958-04-27,http://app.parlamento.pt/webutils/getimage.aspx?id=20&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=20,6,PSD,Fora da Europa,1991-11-04,1995-10-26,20
20,Paulo Pereira Coelho,António Paulo Martins Pereira Coelho,1958-04-27,http://app.parlamento.pt/webutils/getimage.aspx?id=20&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=20,7,PSD,Europa,1995-10-27,1999-10-24,20
20,Paulo Pereira Coelho,António Paulo Martins Pereira Coelho,1958-04-27,http://app.parlamento.pt/webutils/getimage.aspx?id=20&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=20,8,PSD,Coimbra,1999-10-25,2002-04-04,20
20,Paulo Pereira Coelho,António Paulo Martins Pereira Coelho,1958-04-27,http://app.parlamento.pt/webutils/getimage.aspx?id=20&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=20,9,PSD,Coimbra,2002-04-05,2005-03-09,20
20,Paulo Pereira Coelho,António Paulo Martins Pereira Coelho,1958-04-27,http://app.parlamento.pt/webutils/getimage.aspx?id=20&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=20,10,PSD,Coimbra,2005-03-10,2009-10-14,20
21,Roleira Marinho,António Roleira Marinho,1942-12-13,http://app.parlamento.pt/webutils/getimage.aspx?id=21&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=21,2,PSD,Viana do Castelo,1980-11-13,1983-05-30,21
21,Roleira Marinho,António Roleira Marinho,1942-12-13,http://app.parlamento.pt/webutils/getimage.aspx?id=21&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=21,3,PSD,Viana do Castelo,1983-05-31,1985-11-03,21
21,Roleira Marinho,António Roleira Marinho,1942-12-13,http://app.parlamento.pt/webutils/getimage.aspx?id=21&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=21,4,PSD,Viana do Castelo,1985-11-04,1987-08-12,21
21,Roleira Marinho,António Roleira Marinho,1942-12-13,http://app.parlamento.pt/webutils/getimage.aspx?id=21&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=21,5,PSD,Viana do Castelo,1987-08-13,1991-11-03,21
21,Roleira Marinho,António Roleira Marinho,1942-12-13,http://app.parlamento.pt/webutils/getimage.aspx?id=21&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=21,6,PSD,Viana do Castelo,1991-11-04,1995-10-26,21
21,Roleira Marinho,António Roleira Marinho,1942-12-13,http://app.parlamento.pt/webutils/getimage.aspx?id=21&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=21,7,PSD,Viana do Castelo,1995-10-27,1999-10-24,21
22,António Bacelar,António da Silva Bacelar,1936-09-25,http://app.parlamento.pt/webutils/getimage.aspx?id=22&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=22,5,PSD,Porto,1987-08-13,1991-11-03,22
22,António Bacelar,António da Silva Bacelar,1936-09-25,http://app.parlamento.pt/webutils/getimage.aspx?id=22&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=22,6,PSD,Porto,1991-11-04,1995-10-26,22
23,Aristides Teixeira,Aristides Alves do Nascimento Teixeira,1945-06-01,http://app.parlamento.pt/webutils/getimage.aspx?id=23&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=23,5,PSD,Porto,1987-08-13,1991-11-03,23
23,Aristides Teixeira,Aristides Alves do Nascimento Teixeira,1945-06-01,http://app.parlamento.pt/webutils/getimage.aspx?id=23&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=23,6,PSD,Porto,1991-11-04,1995-10-26,23
24,Arlindo Moreira,Arlindo da Silva Andre Moreira,1940-11-20,http://app.parlamento.pt/webutils/getimage.aspx?id=24&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=24,4,PSD,Porto,1985-11-04,1987-08-12,24
24,Arlindo Moreira,Arlindo da Silva Andre Moreira,1940-11-20,http://app.parlamento.pt/webutils/getimage.aspx?id=24&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=24,5,PSD,Porto,1987-08-13,1991-11-03,24
24,Arlindo Moreira,Arlindo da Silva Andre Moreira,1940-11-20,http://app.parlamento.pt/webutils/getimage.aspx?id=24&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=24,6,PSD,Porto,1991-11-04,1995-10-26,24
25,Armando Cunha,Armando de Carvalho Guerreiro da Cunha,1921-10-28,http://app.parlamento.pt/webutils/getimage.aspx?id=25&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=25,5,PSD,Évora,1987-08-13,1991-11-03,25
25,Armando Cunha,Armando de Carvalho Guerreiro da Cunha,1921-10-28,http://app.parlamento.pt/webutils/getimage.aspx?id=25&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=25,6,PSD,Évora,1991-11-04,1995-10-26,25
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,1,PSD,Lisboa,1980-01-03,1980-11-12,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,2,PSD,Lisboa,1980-11-13,1983-05-30,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,3,PSD,Lisboa,1983-05-31,1985-11-03,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,4,PSD,Lisboa,1985-11-04,1987-08-12,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,5,PSD,Lisboa,1987-08-13,1991-11-03,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,6,PSD,Lisboa,1991-11-04,1995-10-26,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,7,PSD,Lisboa,1995-10-27,1999-10-24,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,8,PSD,Lisboa,1999-10-25,2002-04-04,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,9,PSD,Lisboa,2002-04-05,2005-03-09,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,10,PSD,Lisboa,2005-03-10,2009-10-14,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,11,PSD,Lisboa,2009-10-15,2011-06-19,26
26,Arménio Santos,Arménio dos Santos,1945-11-22,http://app.parlamento.pt/webutils/getimage.aspx?id=26&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,12,PSD,Viseu,2011-06-20,2015-10-22,26
27,Belarmino Correia,Belarmino Henriques Correia,1940-11-17,http://app.parlamento.pt/webutils/getimage.aspx?id=27&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=27,4,PSD,Leiria,1985-11-04,1987-08-12,27
27,Belarmino Correia,Belarmino Henriques Correia,1940-11-17,http://app.parlamento.pt/webutils/getimage.aspx?id=27&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=27,5,PSD,Leiria,1987-08-13,1991-11-03,27
27,Belarmino Correia,Belarmino Henriques Correia,1940-11-17,http://app.parlamento.pt/webutils/getimage.aspx?id=27&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=27,6,PSD,Leiria,1991-11-04,1995-10-26,27
28,Bernardino Gata Silva,Bernardino Gata Silva,1946-01-01,http://app.parlamento.pt/webutils/getimage.aspx?id=28&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=28,6,PSD,Castelo Branco,1991-11-04,1995-10-26,28
29,Carlos Lopes Pereira,Carlos Alberto Lopes Pereira,1953-09-25,http://app.parlamento.pt/webutils/getimage.aspx?id=29&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=29,6,PSD,Braga,1991-11-04,1995-10-26,29
29,Carlos Lopes Pereira,Carlos Alberto Lopes Pereira,1953-09-25,http://app.parlamento.pt/webutils/getimage.aspx?id=29&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=29,7,PSD,Braga,1995-10-27,1999-10-24,29
30,Carlos Almeida Figueiredo,Carlos de Almeida Figueiredo,1962-01-12,http://app.parlamento.pt/webutils/getimage.aspx?id=30&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=30,6,PSD,Coimbra,1991-11-04,1995-10-26,30
31,Carlos Lelis,Carlos Lélis da Câmara Gonçalves,1931-10-31,http://app.parlamento.pt/webutils/getimage.aspx?id=31&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=31,5,PSD,Madeira,1987-08-13,1991-11-03,31
31,Carlos Lelis,Carlos Lélis da Câmara Gonçalves,1931-10-31,http://app.parlamento.pt/webutils/getimage.aspx?id=31&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=31,6,PSD,Madeira,1991-11-04,1995-10-26,31
32,Carlos Duarte,Carlos Manuel Duarte de Oliveira,1957-02-18,http://app.parlamento.pt/webutils/getimage.aspx?id=32&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=32,5,PSD,Porto,1987-08-13,1991-11-03,32
32,Carlos Duarte,Carlos Manuel Duarte de Oliveira,1957-02-18,http://app.parlamento.pt/webutils/getimage.aspx?id=32&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=32,6,PSD,Porto,1991-11-04,1995-10-26,32
32,Carlos Duarte,Carlos Manuel Duarte de Oliveira,1957-02-18,http://app.parlamento.pt/webutils/getimage.aspx?id=32&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=32,7,PSD,Porto,1995-10-27,1999-10-24,32
33,Carlos Marta,Carlos Manuel Marta Gonçalves,1957-04-07,http://app.parlamento.pt/webutils/getimage.aspx?id=33&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=33,6,PSD,Viseu,1991-11-04,1995-10-26,33
33,Carlos Marta,Carlos Manuel Marta Gonçalves,1957-04-07,http://app.parlamento.pt/webutils/getimage.aspx?id=33&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=33,7,PSD,Viseu,1995-10-27,1999-10-24,33
33,Carlos Marta,Carlos Manuel Marta Gonçalves,1957-04-07,http://app.parlamento.pt/webutils/getimage.aspx?id=33&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=33,8,PSD,Viseu,1999-10-25,2002-04-04,33
