id,position,label,description,start_date,constituency,replaces,replaced_by,end_date,ordinal,party,election
Q1189097,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1189097,Q17502533,member of the Ohio House of Representatives,"","",,,,,,,
Q1189328,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1189328,Q18654736,member of the Michigan House of Representatives,elected Representative,"",,,,,,,
Q12069961,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1209631,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1232464,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1232464,Q21363942,member of the State Senate of Minnesota,"","",,,,,,,
Q1236198,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1236198,Q19360415,member of the Oregon House of Representatives,"elected Representative in Oregon, USA","",,,,,,,
Q1239590,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1239590,Q21360107,member of the State Senate of Alaska,"",1971-01-11,,,,1973-03-06,,,
Q1239913,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1240103,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1240121,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1251700,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1251707,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1251707,Q29885524,Member of the NATO Parliamentary Assembly,"","",,,,,,,
Q1251831,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1264861,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1271006,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1277037,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1277037,Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,"",,,,,,,
Q1277177,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1277177,Q18131809,Member of the Missouri House of Representatives,elected Representative,"",,,,,,,
Q1282293,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1282411,Q13217683,United States senator,member of the United States Senate,2013-07-16,Massachusetts,Mo Cowan,,,,,
Q1282411,Q13218630,United States representative,elected representative in the US,1976-11-02,Massachusetts's 7th congressional district,Torbert Macdonald,Mike Capuano,2013-01-03,,,
Q1282411,Q13218630,United States representative,elected representative in the US,2013-01-03,Massachusetts's 5th congressional district,Niki Tsongas,Katherine Clark,2013-07-15,,,
Q1282450,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1282477,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1282477,Q19690441,member of the State Senate of California,"",1982,,John G. Schmitz,Rob Hurtt,1993,,,
Q1289889,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1289901,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1291489,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1291489,Q19362907,member of the State Senate of Indiana,"","",,,,,,,
Q130024,Q13217683,United States senator,member of the United States Senate,2005-01-03,Georgia,Zell Miller,,,,,
Q130024,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q130024,Q17548315,member of the Georgia House of Representatives,"",1977-01-10,,,,1991-01-14,,,
Q130024,Q20065663,member of the State Senate of Georgia,elected representative,1993-01-11,,,,1997-01-06,,,
Q1303518,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1305216,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1305216,Q18190880,member of the Indiana House of Representatives,"","",,,,,,,
Q1311758,Q13218630,United States representative,elected representative in the US,1953-08-01,,Garrett L. Withers,Ron Lewis,1994-03-29,,,
Q1312401,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1312401,Q2855502,chief of police,law enforcement occupation,"",,,,,,,
Q13218822,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q13219122,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q13219122,Q18691526,member of the State Senate of New York,elected Representative,"",,,,,,,
Q13219122,Q20058770,member of the New York State Assembly,elected representative,"",,,,,,,
Q1329618,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1329618,Q20058770,member of the New York State Assembly,elected representative,"",,,,,,,
Q1335684,Q13218630,United States representative,elected representative in the US,1984-11-06,New Jersey's 13th congressional district,Edwin B. Forsythe,Bob Menendez,1993-01-03,,,
Q1335684,Q13218630,United States representative,elected representative in the US,1993-01-03,New Jersey's 3rd congressional district,Frank Pallone,John Adler,2009-01-03,,,
Q1335684,Q18536527,member of the New Jersey General Assembly,"","",,,,,,,
Q1335684,Q19385767,member of the State Senate of New Jersey,"","",,,,,,,
Q1337736,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1337736,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,
Q1344200,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1344689,Q13218630,United States representative,elected representative in the US,1991-01-03,California's 14th congressional district,Norman D. Shumway,Anna Eshoo,1993-01-03,,,
Q1344689,Q13218630,United States representative,elected representative in the US,1993-01-03,California's 4th congressional district,Victor H. Fazio,Tom McClintock,2009-01-03,,,
Q1344689,Q19690441,member of the State Senate of California,"",1984,,Ray E. Johnson,Tim Leslie,1991,1,,
Q1344689,Q7314582,Republican Conference Secretary of the United States House of Representatives,"",2003-01-03,,Barbara Cubin,John Carter,2007-01-03,,,
Q1344707,Q13217683,United States senator,member of the United States Senate,2011-01-03,Arkansas,Blanche Lincoln,,,,,
Q1344707,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1344755,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1350106,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1350106,Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,"",,,,,,,
Q1350106,Q19961062,member of the State Senate of Florida,"","",,,,,,,
Q1351459,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1351459,Q18180908,member of the California State Assembly,"elected Representative in California, USA","",,,,,,,
Q1356373,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1356373,Q18925362,Member of the Oklahoma House of Representatives,"","",,,,,,,
Q1359158,Q13218630,United States representative,elected representative in the US,1973-01-03,Mississippi's 1st congressional district,,,1995-01-03,,,
Q1359158,Q17487661,Member of the Mississippi House of Representatives,"",1931,,,,1932,,,
Q1359158,Q5246680,Dean of the United States House of Representatives,"",1979-01-03,,George H. Mahon,"John Dingell, Jr.",1995-01-03,42,,
Q1363468,Q13217683,United States senator,member of the United States Senate,1995-01-03,Ohio,Howard Metzenbaum,Sherrod Brown,2007-01-03,,,
Q1363468,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1363468,Q1660669,Lieutenant Governor of Ohio,"",1991-01-14,,Paul Leonard,Nancy Hollister,1994-11-12,59,,
Q1363468,Q20065429,member of the State Senate of Ohio,"",1981-01-02,,John Mahoney,Dave Hobson,1982-12-13,,,
Q1363468,Q7080745,Ohio Attorney General,attorney general for the U.S. state of Ohio,2011-01-10,,Richard Cordray,,,50,,
Q1365787,Q13217683,United States senator,member of the United States Senate,2011-01-03,Kansas,Sam Brownback,,,,,
Q1365787,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1365787,Q19617175,member of the State Senate of Kansas,elected Representative,"",,,,,,,
Q1385199,Q13218630,United States representative,elected representative in the US,1985-08-03,Texas's 1st congressional district,Sam B. Hall,Max Sandlin,1997-01-03,,,
Q1386420,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1386836,Q13217683,United States senator,member of the United States Senate,1989-01-03,Vermont,Robert Stafford,Bernie Sanders,2007-01-03,,,
Q1386836,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1386836,Q20065418,member of the State Senate of Vermont,"",1967,,,,1969,,,
Q1386836,Q7921680,Vermont Attorney General,attorney general for the U.S. state of Vermont,1969,,James L. Oakes,Kimberly B. Cheney,1973,,,
Q1387868,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1387868,Q19360415,member of the Oregon House of Representatives,"elected Representative in Oregon, USA","",,,,,,,
Q1387868,Q19689183,member of the State Senate of Oregon,"","",,,,,,,
Q139136,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q139136,Q17502533,member of the Ohio House of Representatives,"","",,,,,,,
Q1397303,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1397303,Q17486298,Member of the Arizona House of Representatives,member of the House of Representatives of the state of Arizona,"",,,,,,,
Q1397359,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1397359,Q19360415,member of the Oregon House of Representatives,"elected Representative in Oregon, USA","",,,,,,,
Q1397359,Q19689183,member of the State Senate of Oregon,"","",,,,,,,
Q1400332,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1404866,Q13218630,United States representative,elected representative in the US,1999-01-03,Kentucky's 4th congressional district,Jim Bunning,Geoff Davis,2005-01-03,,,
Q1406115,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1414790,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1414790,Q17355090,member of the Louisiana House of Representatives,elected representative,"",,,,,,,
Q1415243,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1415243,Q2305968,United States Secretary of Health and Human Services,"",2017-02-10,,,,2017-09-29,,,
Q1416536,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1424689,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1424689,Q18180908,member of the California State Assembly,"elected Representative in California, USA","",,,,,,,
Q1430359,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1442909,Q13218630,United States representative,elected representative in the US,2003-01-03,North Carolina's 1st congressional district,Eva M. Clayton,G. K. Butterfield,2004-06-08,,,
Q1442909,Q18089655,Member of the North Carolina House of Representatives,"","",,,,,,,
Q1442909,Q19727887,member of the State Senate of North Carolina,"Member the  of North Carolina Senate, USA","",,,,,,,
Q1443282,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1444036,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1445681,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1445681,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,
Q1475071,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1482569,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1482569,Q18763331,member of the Connecticut House of Representatives,elected representative in Connecticut,"",,,,,,,
Q1484335,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1484335,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,
Q1494930,Q13217683,United States senator,member of the United States Senate,2015-01-03,Michigan,Carl Levin,,,,,
Q1494930,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1494930,Q18675883,member of the State Senate of Michigan,"","",,,,,,,
Q1501277,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1508429,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1516680,Q13218630,United States representative,elected representative in the US,"",Colorado's 3rd congressional district,Ben Nighthorse Campbell,John Salazar,,,,
Q1516680,Q17485005,member of the Colorado House of Representatives,"","",,,,,,,
Q1517351,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1517351,Q18180908,member of the California State Assembly,"elected Representative in California, USA","",,,,,,,
Q1521384,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q15257,Q13218630,United States representative,elected representative in the US,1997-01-03,Texas's 14th congressional district,Greg Laughlin,Randy Weber,2013-01-03,,,
Q1525924,Q13217683,United States senator,member of the United States Senate,2011-01-03,Missouri,Kit Bond,,,,,
Q1525924,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1527673,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1527673,Q18180908,member of the California State Assembly,"elected Representative in California, USA","",,,,,,,
Q1529885,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1530283,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q15304910,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1531081,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1531081,Q18180908,member of the California State Assembly,"elected Representative in California, USA","",,,,,,,
Q154049,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1544943,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1545023,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1547512,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1556541,Q13218630,United States representative,elected representative in the US,2013,Arizona's 9th congressional district,,,,,,
Q1556541,Q17486298,Member of the Arizona House of Representatives,member of the House of Representatives of the state of Arizona,2005,,,,2011,,,
Q1556541,Q21360913,member of the State Senate of Arizona,a member of the Senate of the state of Arizona,"",,,,,,,
Q1557599,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1557599,Q18675883,member of the State Senate of Michigan,"","",,,,,,,
Q1570026,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1585779,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1585779,Q18536527,member of the New Jersey General Assembly,"","",,,,,,,
Q1585779,Q19385767,member of the State Senate of New Jersey,"","",,,,,,,
Q1586830,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1592480,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1592517,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q160717,Q13218630,United States representative,elected representative in the US,1981-01-03,California's 11th congressional district,William Royer,Richard Pombo,1993-01-03,,,
Q160717,Q13218630,United States representative,elected representative in the US,1993-01-03,California's 12th congressional district,Tom Campbell,Jackie Speier,2008-02-11,,,
Q1610417,Q13218630,United States representative,elected representative in the US,1997-01-03,Iowa's 3rd congressional district,Jim Ross Lightfoot,Tom Latham,2013-01-03,,,
Q1610417,Q18707052,member of the State Senate of Iowa,"","",,,,,,,
Q1617485,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q16189291,Q18341124,member of the Nevada Assembly,"","",,,,,,,
Q16195304,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q16195304,Q21367377,member of the State Senate of Oklahoma,"","",,,,,,,
Q16199304,Q17486298,Member of the Arizona House of Representatives,member of the House of Representatives of the state of Arizona,"",,,,,,,
Q16199304,Q21360913,member of the State Senate of Arizona,a member of the Senate of the state of Arizona,"",,,,,,,
Q16213961,Q18604340,member of the State Senate of Virginia,"","",,,,,,,
Q16215793,Q1294433,Resident Commissioner of Puerto Rico,Wikimedia list article,2017-01-03,,Pedro Pierluisi,,,,,
Q16221257,Q18691526,member of the State Senate of New York,elected Representative,"",,,,,,,
Q16221742,Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,"",,,,,,,
Q16240994,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q162622,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1627254,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1629347,Q13218630,United States representative,elected representative in the US,1979-01-03,Texas's 19th congressional district,,,1985-01-03,,,
Q1629347,Q18565274,member of the State Senate of Texas,"",1975,,,,1979,,,
Q1631743,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1631743,Q18810381,member of the Utah House of Representatives,elected Representative,"",,,,,,,
Q164014,Q13218630,United States representative,elected representative in the US,"",Washington's 5th congressional district,Tom Foley,Cathy McMorris Rodgers,,,,
Q1647301,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1647301,Q17548315,member of the Georgia House of Representatives,"","",,,,,,,
Q1650446,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1650446,Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,"",,,,,,,
Q1656192,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1658089,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1658089,Q18089655,Member of the North Carolina House of Representatives,"","",,,,,,,
Q1658089,Q19727887,member of the State Senate of North Carolina,"Member the  of North Carolina Senate, USA","",,,,,,,
Q166928,Q13218630,United States representative,elected representative in the US,1997-01-03,Utah's 3rd congressional district,,,2009-01-03,,,
Q1671317,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q16728087,Q13218630,United States representative,elected representative in the US,2014-06-25,,,,2017-01-03,,,
Q16731643,Q17548315,member of the Georgia House of Representatives,"","",,,,,,,
Q16733285,Q17598395,member of the Washington House of Representatives,elected Representative,"",,,,,,,
Q1674465,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1674465,Q14616716,member of the Pennsylvania House of Representatives,elected Representative,"",,,,,,,
Q1676274,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1676274,Q18654736,member of the Michigan House of Representatives,elected Representative,"",,,,,,,
Q1680248,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1680319,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1680357,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1680357,Q21360913,member of the State Senate of Arizona,a member of the Senate of the state of Arizona,"",,,,,,,
Q1680494,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1680494,Q19831739,member of the State Senate of Connecticut,"","",,,,,,,
Q1680732,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1680732,Q18089655,Member of the North Carolina House of Representatives,"","",,,,,,,
Q1680732,Q19727887,member of the State Senate of North Carolina,"Member the  of North Carolina Senate, USA","",,,,,,,
Q1680820,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1683881,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1684313,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1684374,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1685558,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1685558,Q17342542,Member of the Massachusetts House of Representatives,"","",,,,,,,
Q168592,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q168592,Q17598395,member of the Washington House of Representatives,elected Representative,"",,,,,,,
Q1686295,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1686295,Q19690441,member of the State Senate of California,"","",,,,,,,
Q1686330,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1687838,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1687846,Q13218630,United States representative,elected representative in the US,1984-04-03,Wisconsin's 4th congressional district,Clement J. Zablocki,Gwen Moore,2005-01-03,,,
Q1687846,Q17602055,member of the State Senate of Wisconsin,"",1975,,Casimir Kendziorski,John Norquist,1984,,,
Q1687846,Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,"",,,,,,,
Q1689035,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1689111,Q13218630,United States representative,elected representative in the US,2009-01-03,Connecticut's 4th congressional district,Chris Shays,,,,,
Q1689145,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1689145,Q18604553,member of the Texas House of Representatives,elected representative,"",,,,,,,
Q1689170,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1689170,Q17602055,member of the State Senate of Wisconsin,"","",,,,,,,
Q1689170,Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,"",,,,,,,
Q1689180,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1689180,Q18694588,Member of the United States House of Representatives from Virginia,"","",,,,,,,
Q1689427,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1689427,Q18538054,member of the Tennessee House of Representatives,"","",,,,,,,
Q1691639,Q13218630,United States representative,elected representative in the US,2011-01-03,Illinois's 8th congressional district,Melissa Bean,Tammy Duckworth,2013-01-03,,,
Q16979824,Q13218630,United States representative,elected representative in the US,2015-01-03,Texas's 36th congressional district,,,,,,
Q16980175,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q16982345,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1699277,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1699486,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1699656,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1699908,Q13217683,United States senator,member of the United States Senate,2003-01-03,New Hampshire,Robert C. Smith,Jeanne Shaheen,2009-01-03,,,
Q1699908,Q13218630,United States representative,elected representative in the US,1997-01-03,New Hampshire's 1st congressional district,,,2003-01-03,,,
Q1700027,Q13218630,United States representative,elected representative in the US,1997-01-03,Massachusetts's 6th congressional district,Peter G. Torkildsen,Seth Moulton,2015-01-03,,,
Q1700842,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1701257,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1701257,Q17342542,Member of the Massachusetts House of Representatives,"","",,,,,,,
Q1701257,Q20058776,state senator of Massachusetts,"",1973-01-03,,,Stan Rosenberg,1991-06-15,,,
Q1701350,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1701577,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1701650,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1701747,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1701882,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1704699,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1704699,Q17505193,member of the Minnesota House of Representatives,elected representative in Minnesota,"",,,,,,,
Q170581,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q170581,Q140686,chairperson,highest officer of an organized group,1985,,,,1986,,,
Q170581,Q2746259,party chair,"",1981,,,,1983,,,
Q170581,Q912994,speaker of the United States House of Representatives,position,2007-01-04,,Dennis Hastert,John Boehner,2011-01-03,,,
Q1707644,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1707784,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1714165,Q13218630,United States representative,elected representative in the US,2011-01-03,Michigan's 3rd congressional district,Vern Ehlers,,,,,
Q1714165,Q18654736,member of the Michigan House of Representatives,elected Representative,"",,,,,,,
Q17160419,Q18694588,Member of the United States House of Representatives from Virginia,"",2014-11-04,,Eric Cantor,,,,,
Q1717753,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1729888,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q1738577,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q17386504,Q13218630,United States representative,elected representative in the US,"",,,,,,,
Q174264,Q13218630,United States representative,elected representative in the US,"",,,,,,,
