id,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__ky,name__eu,name__pl,name__be,name__fr,name__ko,name__uz,name__es,name__ta,name__yo,name__ms,name__lv,name__it,name__et,name__de,name__id,name__ja,name__el,name__vi,name__sh,name__sv,name__ar,name__nl,name__pt,name__eo,name__ru,name__en,name__sr_el,name__sr_ec,name__tr,name__ca,name__fi,name__uk,name__be_tarask,name__cy,name__nn,name__cs,name__bg,name__fa,name__ka,name__az,name__tl,name__da,name__kk_arab,name__kk_cyrl,name__kk_latn,name__kk,name__sr,name__zh,name__hr,name__nb,name__qu,name__tg,name__sco,name,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hr,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ky,wikipedia__lb,wikipedia__lv,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__sco,wikipedia__sh,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__tg,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__uz,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,gender,identifier__VIAF,birth_date,identifier__freebase,name__nan,name__he,name__hu,name__br,name__tg_latn,name__cv,wikipedia__br,wikipedia__cv,wikipedia__enwikiquote,wikipedia__he,wikipedia__hu,wikipedia__simple,wikipedia__zh_min_nan,given_name,death_date,name__hy,name__la,wikipedia__hy,wikipedia__la,identifier__ISNI,identifier__LCAuth,wikipedia__pa,original_wikiname,name__pa,last_seen,wikipedia__xmf,name__xmf,wikipedia__mg,name__mg,name__kana,identifier__GTAA,identifier__bigenc_ru,occupation,wikipedia__fawikiquote,wikipedia__tt,name__tt,identifier__quora,wikipedia__eswikinews,identifier__Britannica,identifier__ne_se,identifier__NNDB,name__ur,wikipedia__ur,name__zh_cn,identifier__GND,wikipedia__ast,name__en_ca,name__en_gb,name__mk,wikipedia__hi,name__ast,name__hi,wikipedia__oc,website,name__oc,family_name,name__pt_br,name__kk_kz,name__de_ch,name__bar,wikipedia__ruwikinews
Q16708639,,,,,"Турсуналиев, Эстебес",,,,,,,,,,,,,,,,,,,,,,,,,"Турсуналиев, Эстебес",Estebes Tursunaliev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estebes Tursunaliev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Эстебес Турсуналиев,,,,,,,,,,"Турсуналиев, Эстебес",,,,,,,,,,,,,,,male,,1931-05-05,,,,,,,,,,,,,,,,2005-10-11,,,,,,,,"Турсуналиев, Эстебес",,,,,,,,,,music pedagogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20629070,,,,,"Сулайманов, Алтынбек Турдубаевич",,,,,,,,,,,,,,,,,,,,,,,,,Алтынбек Турдубаевич Сулайманов,Sulajmanov Altynbek Turdubaevich,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sulajmanov Altynbek Turdubaevich,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сулайманов, Алтынбек Турдубаевич",,,,,,,,,,"Сулайманов, Алтынбек Турдубаевич",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Сулайманов_Алтынбек_Турдубаевич.jpg,male,,1972-09-24,,,,,,,,,,,,,,,,,,,,,,,,"Сулайманов, Алтынбек Турдубаевич",,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2077996,,,,,,,,,,,,,,,,,,Azimbek Beknazarov,,,アジンベク・ベクナザロフ,,,,,,,,,Азимбек Анаркулович Бекназаров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Азимбек Анаркулович Бекназаров,,,,,,,,,,,,,,,,Azimbek Beknazarov,,,,,,,,アジンベク・ベクナザロフ,,,,,,,,,,,,,,"Бекназаров, Азимбек Анаркулович",,,,,,,,,,,,,,,male,,1956,,,,,,,,,,,,,,,,,,,,,,,,"Бекназаров, Азимбек Анаркулович",,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20891936,,,,,"Ачылова, Рахат",,,,Rakhat Atchylova,,,,,,,,,,,,,,,,,,Rakhat Atchylova,,,Ачылова Рахат,Rahat Achylova,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rahat Achylova,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ачылова, Рахат",,,,,,,,,,"Ачылова, Рахат Ачыловна",,,,,,,,,,,,,,,female,,1941-05-30,,,,,,,,,,,,,,,,2015-03-05,,,,,,,,"Ачылова, Рахат Ачыловна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21097018,,,,,Жоробеков Жолборс,,,,,,,,,,,,,,,,,,,,,,,,,"Жоробеков, Жолборс Жоробекович",Zholbors Zhorobekov,,,,,,Жолборс Жоробекович Жоробеков,,,,,,,,,,,,,,,,,,,,,,Zholbors Zhorobekov,,,,,,,,,,,,,,,,,,,,,,,,,,,,Жоробеков Жолборс,,,,,,,,,,"Жоробеков, Жолборс Жоробекович",,,,,,,,,Жолборс Жоробекович Жоробеков,,,,,,male,,1948-10-15,,,,,,,,,,,,,,,,,,,,,,,,"Жоробеков, Жолборс Жоробекович",,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21144397,,,圖爾鬆別科夫,,Чыныбай Турсунбеков,,,,,,,,,,,,,,,,,,,,,,,,,"Турсунбеков, Чыныбай Акунович",Chynybai Tursunbekov,,,Çınıbay Tursunbekov,,,,,,,,,,,,,,,,,,,,,,,,,Chynybai Tursunbekov,,,,,,,Category:Chynybai Tursunbekov,,,,,,,,,,,,,,,,,,,,,Турсунбеков Чыныбай Акунович,,,,,,,,,,"Турсунбеков, Чыныбай Акунович",,,,,,,,Çınıbay Tursunbekov,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/Chynybai_Tursunbekov_in_Bishkek._20.3.2012.JPG,male,48900661,1960-10-15,,,,,,,,,,,,,,,,,,,,,0000 0000 7908 4681,,,"Турсунбеков, Чыныбай Акунович",,,,,,,,,,writer,,,,,,,,,,,圖爾松別科夫,,,,,,,,,,,,,,,,,
Q21534925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сарпашев, Тайырбек Дуйшекеевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сарпашев, Тайырбек Дуйшекеевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сарпашев, Тайырбек Дуйшекеевич",,,,,,,,,,,,,,,male,,1968-08-23,,,,,,,,,,,,,,,,,,,,,,,,"Сарпашев, Тайырбек Дуйшекеевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21663196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Пирматов, Исхак Айтбаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Пирматов, Исхак Айтбаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Пирматов, Исхак Айтбаевич",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/ПИРМАТОВ.jpg,male,,1973-11-16,,,,,,,,,,,,,,,,,,,,,,,,"Пирматов, Исхак Айтбаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21665520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Абдыкеримов, Шаршенбек Шайлообекович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Абдыкеримов, Шаршенбек Шайлообекович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Абдыкеримов, Шаршенбек Шайлообекович",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Шаршенбек_Абдыкеримов.jpeg,male,,1970-05-19,,,,,,,,,,,,,,,,,,,,,,,,"Абдыкеримов, Шаршенбек Шайлообекович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23810819,,,,,Сооронбай Жээнбеков,,Sooronbaj Dżeenbekow,Сааранбай Шарыпавіч Жаэнбекаў,Sooronbay Jeenbekov,소론바이 제옌베코프,Soʻronboy Jeenbekov,Sooronbay Jeenbekov,,,Sooronbay Jeenbekov,,,,Sooronbai Dscheenbekow,Sooronbay Jeenbekov,ソーロンバイ・ジェーンベコフ,Σοορονμπάι Τζεενμπέκοφ,Sooronbay Jeenbekov,,,سورونباي جينبيكوف,Sooronbay Jeenbekov,Sooronbay Jeenbekov,,Сооронбай Шарипович Жээнбеков,Sooronbay Jeenbekov,,,Sooronbay Ceenbekov,,,Сооронбай Жеенбеков,,Sooronbay Jeenbekov,,,Соронбей Женбеков,سورنبای جینبکف,სოორონბაი ჟეენბეკოვი,Sooronbay Jeenbekov,,Sooronbaj Zjeenbekov,,,,Сауранбай Жиенбеков,Соронбај Жеенбеков,索隆拜·熱恩別科夫,,Sooronbaj Jeenbekov,,Сооронбой Жээнбеков,Sooronbay Jeenbekov,Sooronbay Jeenbekov,سورونباي جينبيكوف,Sooronbay Jeenbekov,,Сааранбай Шарыпавіч Жаэнбекаў,Соронбей Женбеков,,Category:Sooronbay Jeenbekov,,Sooronbay Jeenbekov,,Sooronbai Dscheenbekow,Σοορονμπάι Τζεενμπέκοφ,Sooronbay Jeenbekov,,Sooronbay Jeenbekov,,,سورنبای جینبکف,,Sooronbay Jeenbekov,,Sooronbay Jeenbekov,,,სოორონბაი ჟეენბეკოვი,Сауранбай Шәріпұлы Жиенбеков,소론바이 제옌베코프,Сооронбай Жээнбеков,,,Sooronbay Jeenbekov,Sooronbaj Jeenbekov,,Sooronbaj Jeenbekov,Sooronbaj Dżeenbekow,Sooronbay Jeenbekov,,"Жээнбеков, Сооронбай Шарипович",Sooronbay Jeenbekov,,,,,Сооронбой Жээнбеков,,Sooronbay Ceenbekov,Сооронбай Жеенбеков,Soʻronboy Jeenbekov,Sooronbay Jeenbekov,,索隆拜·熱恩別科夫,"https://upload.wikimedia.org/wikipedia/commons/5/53/Sooronbay_Jeenbekov_at_the_Eurasian_Intergovernmental_Council_meeting,_7_March_2017.jpg",male,,1958-11-16,,,סואורונבאי ג'נבקוב,,,,,,,,סואורונבאי ג'נבקוב,,,,,,Սոորոնբայ Ջեենբեկով,Sooronbay Žeenbekov,,Sooronbay Žeenbekov,,,,"Жээнбеков, Сооронбай Шарипович",,,,,,,,,,politician,,Сооронбай Жээнбәков,Сооронбай Жээнбәков,,,,sooronbay-jeenbekov,,سورنبائی جینبیکوف,سورنبائی جینبیکوف,,1163123129,,Sooronbay Jeenbekov,Sooronbay Jeenbekov,Сооронбај Жеенбеков,सूरोनबे जीनबेकोव,,सूरोनबे जीनबेकोव,Sooronbay Jeenbekov,,Sooronbay Jeenbekov,,Sooronbay Jeenbekov,,,,Категория:Сооронбай Жээнбеков
Q24579,,,,,Өмүрбек Бабанов,,Ömürbek Babanow,,Ömürbek Babanov,오무르벡 바바노프,Oʻmurbek Babanov,Omurbek Babanov,,,Ömürbek Babanov,,Ömürbek Babanov,Ömürbek Babanov,Ömürbek Babanow,,オムルベク・ババノフ,Ομουρμπέκ Μπαμπάνοφ,,,,,Omurbek Babanov,,Omurbek Babanov,Омурбек Токтогулович Бабанов,Omurbek Babanov,,,Omurbek Babanov,,,,,,,,,,,,,,,,,Өмірбек Бабанов,,奧穆爾別克·巴巴諾夫,,,,,,Omurbek Babanov,,,,,,,,,,,Ömürbek Babanow,Ομουρμπέκ Μπαμπάνοφ,Ömürbek Babanov,Omurbek Babanov,Omurbek Babanov,Ömürbek Babanov,,,,Ömürbek Babanov,,,Omurbek Babanov,,,Өмірбек Бабанов,오무르벡 바바노프,Өмүрбек Бабанов,,,Ömürbek Babanov,,,,Ömürbek Babanow,,,"Бабанов, Омурбек Токтогулович",,,,,,,,Ömürbek Babanov,,,,,,"https://upload.wikimedia.org/wikipedia/commons/6/66/Omurbek_Babanov,_October_2011.jpeg",male,,1970-05-20,/m/0h7n1wt,,,Omurbek Babanov,,,,,,,,,,,,,,,,,,,,"Бабанов, Омурбек Токтогулович",,,,,,,,,,entrepreneur,,,,,,,,,,,,1163674192,,Ömürbek Babanov,Ömürbek Babanov,,,,,,,,,,,,,
Q24678,,,,,Амангелди Мурсадыкович Муралиев,,Amangeldy Muralijew,,Amangeldi Muraliev,,,Amangeldy Muraliyev,,,,,,,Amangeldy Muralijew,,アマンゲリドゥイ・ムラリエフ,Αμανγκέλντι Μουραλίγιεφ,,,,,Amangeldy Muraliyev,,,Амангельды Мурсадыкович Муралиев,Amangeldy Muraliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amangeldy Muraliyev,,,,,,,,,,,,Αμανγκέλντι Μουραλίγιεφ,Amangeldy Muraliyev,,,,,,,Amangeldi Muraliev,,,,アマンゲリドゥイ・ムラリエフ,,,,Амангелди Муралиев,,,,,,,Amangieldy Muralijew,,,"Муралиев, Амангельды Мурсадыкович",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/51/Muraliev.jpg,male,,1947-08-07,/m/05kl17,,,Amangeldy Muraliyev,,,,,,,,,,,,,,,,,,,,"Муралиев, Амангельды Мурсадыкович",,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24692,,,,,Алмазбек Атамбаев,Almazbek Atanbaiev,Ałmazbek Atambajew,Алмазбек Шаршэнавіч Атамбаеў,Almazbek Atambaev,알마즈베크 아탐바예프,Almazbek Atambayev,Almazbek Atambayev,அல்மாஸ்பெக் அத்தம்பாயெவ்,Almazbek Atambayev,,,Almazbek Atambayev,Almazbek Atambajev,Almasbek Atambajew,Almazbek Atambayev,アルマズベク・アタンバエフ,Αλμάζμπεκ Αταμπάγιεφ,Almazbek Atambayev,Almazbek Atambajev,Almazbek Atambajev,ألمازبيك أتامباييف,Almazbek Atambajev,Almazbek Atambaiev,Almazbek Atambajev,Алмазбек Шаршенович Атамбаев,Almazbek Atambayev,,,Almazbek Atambayev,Almazbek Atambàiev,Almazbek Atambajev,Алмазбек Атамбаєв,Алмазбэк Атамбаеў,,Almazbek Atambajev,Almazbek Atambajev,Алмазбек Атамбаев,آلمازبک آتامبایف,ალმაზბეკ ატამბაევი,Almazbek Atambayev,Almazbek Atambayev,Almazbek Atambajev,,,,Алмазбек Сәрсенұлы Атамбаев,Алмазбек Атамбајев,阿尔马兹别克·阿坦巴耶夫,Almazbek Atambajev,Almazbek Atambajev,,Алмосбек Отамбоев,Almazbek Atambayev,Almazbek Atambayev,ألمازبيك أتامباييف,Almazbek Atambayev,Алмазбэк Атамбаеў,Алмазбек Шаршэнавіч Атамбаеў,Алмазбек Атамбаев,Almazbek Atambàiev,Category:Almazbek Atambayev,Almazbek Atambajev,,Almazbek Atambajev,Almasbek Atambajew,Αλμάζμπεκ Αταμπάγιεφ,Almazbek Atambayev,Almazbek Atambajev,Almazbek Atambáyev,Almazbek Atambajev,Almazbek Atanbaiev,الماس‌بیگ آتامبایف,Almazbek Atambajev,Almazbek Atambaev,Almazbek Atambajev,Almazbek Atambayev,Almazbek Atambayev,アルマズベク・アタンバエフ,ალმაზბეკ ატამბაევი,,알마즈베크 아탐바예프,Алмазбек Атамбаев,,,,Almazbek Atambajev,,Almazbek Atambajev,Ałmazbek Atambajew,Almazbek Atambaiev,,"Атамбаев, Алмазбек Шаршенович",Almazbek Atambayev,Almazbek Atambajev,Алмазбек Атамбајев,Almazbek Atambajev,அல்மாஸ்பெக் அத்தம்பாயெவ்,Алмосбек Отамбоев,Almazbek Atambayev,Almazbek Atambayev,Атамбаєв Алмазбек Шаршенович,Almazbek Atambayev,Almazbek Atambayev,Almazbek Atambayev,阿尔马兹别克·阿坦巴耶夫,https://upload.wikimedia.org/wikipedia/commons/1/14/2012-03-20_Almazbek_Atambayev.jpeg,male,88147266856635482228,1956-09-17,/m/026fsdk,,אלמאזבק אטמבייב,Almazbek Atambajev,,,,,,Almazbek Atambayev,אלמאזבק אטמבייב,Almazbek Atambajev,,,,,Ալմազբեկ Ատամբաև,Almazbek Atambaev,Ալմազբեկ Ատամբաև,Almazbek Atambaev,,,,"Атамбаев, Алмазбек Шаршенович",,,ალმაზბეკ ატამბაევი,ალმაზბეკ ატამბაევი,Almazbek Atambaev,Almazbek Atambaev,,,3922476,politician,الماس‌بیگ آتامبایف,Алмазбәк Атамбаев,Алмазбәк Атамбаев,Almazbek-Atambayev,,,,932/000162446,الماس بیگ آتامبایف,الماس بیگ آتامبایف,,1138640069,,,,,,,,,,,,,Алмазбек Сәрсенұлы Атамбаев,,,
Q25386837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Акаев, Жанарбек Кубанычович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Акаев, Жанарбек Кубанычович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Акаев, Жанарбек Кубанычович",,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,"Акаев, Жанарбек Кубанычович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25597822,,,,,"Абдылдаев, Мыктыбек Юсупович",,,,,,,,,,,,,,,,ミクティベク・アブディルダイェフ,,,,,,,,,"Абдылдаев, Мыктыбек Юсупович",Myktybek Abdyldaev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myktybek Abdyldaev,,,,,,,,,,,,,Myktybek Abdyldayev,,,,,,,,,,,ミクティベク・アブディルダイェフ,,,,Мыктыбек Абдылдаев,,,,,,,,,,"Абдылдаев, Мыктыбек Юсупович",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Мыктыбек_Абдылдаев.jpg,male,,1953-08-17,,,,,,,,,,,,,,,,,,,,,,,,"Абдылдаев, Мыктыбек Юсупович",,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25597824,,,,,Арапбаев Азамат Абдуллажанович,,,,,,,,,,,,,,,,,,,,,,,,,,Azamat Arapbayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azamat Arapbayev,,,,,,,,,,,,,Azamat Arapbayev,,,,,,,,,,,,,,,Азамат Арапбаев,,,,,,,,,,,,,,,,,,,,,,,,,,,1970-10-01,,,,,,,,,,,,,,,,,,,,,,,,Azamat Arapbayev,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
