name,homepage,photo,party,constituency,term,id
AURORA JUNJO CASSULE,http://www.parlamento.ao/web/aurora.cassule,http://www.parlamento.ao/image/user_portrait?screenName=aurora.cassule&companyId=10132,MPLA,Nacional,3,aurora.cassule
BENEDITO DANIEL,http://www.parlamento.ao/web/benedito.daniel,http://www.parlamento.ao/image/user_portrait?screenName=benedito.daniel&companyId=10132,PRS,Nacional,3,benedito.daniel
BENTO JOAQUIM SEBASTIÃO FRANCISCO BENTO,http://www.parlamento.ao/web/bento.bento,http://www.parlamento.ao/image/user_portrait?screenName=bento.bento&companyId=10132,MPLA,Província de Luanda,3,bento.bento
BENTO RAIMUNDO KANDALA,http://www.parlamento.ao/web/bento.kandala,http://www.parlamento.ao/image/user_portrait?screenName=bento.kandala&companyId=10132,MPLA,Nacional,3,bento.kandala
BIBIANA NANDOMBUA,http://www.parlamento.ao/web/bibiana.nandombua,http://www.parlamento.ao/image/user_portrait?screenName=bibiana.nandombua&companyId=10132,MPLA,Huambo,3,bibiana.nandombua
BOAVENTURA DA SILVA CARDOSO,http://www.parlamento.ao/web/boaventura.cardoso,http://www.parlamento.ao/image/user_portrait?screenName=boaventura.cardoso&companyId=10132,MPLA,Malange,3,boaventura.cardoso
CÂNDIDA CELESTE DA SILVA,http://www.parlamento.ao/web/candida.silva,http://www.parlamento.ao/image/user_portrait?screenName=candida.silva&companyId=10132,MPLA,Namibe,3,candida.silva
CARLOS DOMINGUES BENDINHA DE ALMEIDA,http://www.parlamento.ao/web/carlos.almeida,http://www.parlamento.ao/image/user_portrait?screenName=carlos.almeida&companyId=10132,MPLA,Nacional,3,carlos.almeida
CARLOS DA ROCHA CRUZ,http://www.parlamento.ao/web/carlos.cruz,http://www.parlamento.ao/image/user_portrait?screenName=carlos.cruz&companyId=10132,MPLA,Namibe,3,carlos.cruz
CARLOS DE OLIVEIRA FONTOURA,http://www.parlamento.ao/web/carlos.fontoura,http://www.parlamento.ao/image/user_portrait?screenName=carlos.fontoura&companyId=10132,UNITA,Nacional,3,carlos.fontoura
CARLOS TIAGO KANDANDA,http://www.parlamento.ao/web/carlos.kandanda,http://www.parlamento.ao/image/user_portrait?screenName=carlos.kandanda&companyId=10132,CASA-CE,Nacional,3,carlos.kandanda
CARLOS ALBERTO FERREIRA PINTO,http://www.parlamento.ao/web/carlos.pinto,http://www.parlamento.ao/image/user_portrait?screenName=carlos.pinto&companyId=10132,MPLA,Nacional,3,carlos.pinto
CARLOS ALBERTO PEREIRA DOS SANTOS VAN-DÚNEM,http://www.parlamento.ao/web/carlos.van-dunem,http://www.parlamento.ao/image/user_portrait?screenName=carlos.van-dunem&companyId=10132,MPLA,Nacional,3,carlos.van-dunem
CAROLINA CERQUEIRA,http://www.parlamento.ao/web/carolina.cerqueira,http://www.parlamento.ao/image/user_portrait?screenName=carolina.cerqueira&companyId=10132,MPLA,Nacional,3,carolina.cerqueira
CAROLINA CRISTINA ELIAS,http://www.parlamento.ao/web/carolina.elias,http://www.parlamento.ao/image/user_portrait?screenName=carolina.elias&companyId=10132,MPLA,Namibe,3,carolina.elias
CASSONGO JOÃO DA CRUZ,http://www.parlamento.ao/web/cassongo.cruz,http://www.parlamento.ao/image/user_portrait?screenName=cassongo.cruz&companyId=10132,MPLA,Lunda Sul,3,cassongo.cruz
CLARICE MATILDE MUNGA KAPUTU,http://www.parlamento.ao/web/clarice.kaputu,http://www.parlamento.ao/image/user_portrait?screenName=clarice.kaputu&companyId=10132,UNITA,Nacional,3,clarice.kaputu
DANIEL JOSÉ DOMINGOS,http://www.parlamento.ao/web/daniel.domingos,http://www.parlamento.ao/image/user_portrait?screenName=daniel.domingos&companyId=10132,UNITA,Nacional,3,daniel.domingos
DEMÓSTENES AMÓS CHILINGUTILA,http://www.parlamento.ao/web/demostenes.chilingutila,http://www.parlamento.ao/image/user_portrait?screenName=demostenes.chilingutila&companyId=10132,UNITA,Nacional,3,demostenes.chilingutila
DESIDÉRIO DA GRAÇA MPINGUE KALENGA WAPOTA,http://www.parlamento.ao/web/desiderio.wapota,http://www.parlamento.ao/image/user_portrait?screenName=desiderio.wapota&companyId=10132,MPLA,Huíla,3,desiderio.wapota
DIÓGENES DO ESPÍRITO SANTO OLIVEIRA,http://www.parlamento.ao/web/diogenes.oliveira,http://www.parlamento.ao/image/user_portrait?screenName=diogenes.oliveira&companyId=10132,MPLA,Nacional,3,diogenes.oliveira
DOMINGOS PAULINO DEMBELE,http://www.parlamento.ao/web/domingos.dembele,http://www.parlamento.ao/image/user_portrait?screenName=domingos.dembele&companyId=10132,MPLA,Huambo,3,domingos.dembele
DOMINGOS KAJAMA,http://www.parlamento.ao/web/domingos.kajama,http://www.parlamento.ao/image/user_portrait?screenName=domingos.kajama&companyId=10132,MPLA,Lunda Sul,3,domingos.kajama
DOMINGOS MARTINS NGOLA,http://www.parlamento.ao/web/domingos.ngola,http://www.parlamento.ao/image/user_portrait?screenName=domingos.ngola&companyId=10132,MPLA,Nacional,3,domingos.ngola
DOMINGOS JOÃO FERREIRA PINTO,http://www.parlamento.ao/web/domingos.pinto,http://www.parlamento.ao/image/user_portrait?screenName=domingos.pinto&companyId=10132,MPLA,Cuanza Norte,3,domingos.pinto
DULCE GINGA,http://www.parlamento.ao/web/dulce.ginga,http://www.parlamento.ao/image/user_portrait?screenName=dulce.ginga&companyId=10132,MPLA,Nacional,3,dulce.ginga
EDUARDA MARIA NICOLAU SILVESTRE MAGALHÃES,http://www.parlamento.ao/web/eduarda.magalhaes,http://www.parlamento.ao/image/user_portrait?screenName=eduarda.magalhaes&companyId=10132,MPLA,Benguela,3,eduarda.magalhaes
EDUARDO KUANGANA,http://www.parlamento.ao/web/eduardo.kuangana,http://www.parlamento.ao/image/user_portrait?screenName=eduardo.kuangana&companyId=10132,PRS,Nacional,3,eduardo.kuangana
EDUARDO GOMES NELUMBA,http://www.parlamento.ao/web/eduardo.nelumba,http://www.parlamento.ao/image/user_portrait?screenName=eduardo.nelumba&companyId=10132,MPLA,Nacional,3,eduardo.nelumba
ELIAS PIEDOSO CHIMUCO,http://www.parlamento.ao/web/elias.chimuco,http://www.parlamento.ao/image/user_portrait?screenName=elias.chimuco&companyId=10132,MPLA,Cuando Cubango,3,elias.chimuco
ELIOTH WONGIMBA EKOLELO,http://www.parlamento.ao/web/elioth.ekolelo,http://www.parlamento.ao/image/user_portrait?screenName=elioth.ekolelo&companyId=10132,UNITA,Bié,3,elioth.ekolelo
ELISA KATA,http://www.parlamento.ao/web/elisa.kata,http://www.parlamento.ao/image/user_portrait?screenName=elisa.kata&companyId=10132,MPLA,Nacional,3,elisa.kata
ELISEU SEGUNDA,http://www.parlamento.ao/web/eliseu.segunda,http://www.parlamento.ao/image/user_portrait?screenName=eliseu.segunda&companyId=10132,MPLA,Cuanza Sul,3,eliseu.segunda
ELSA MARIA DA CONCEIÇÃO AMBRIZ,http://www.parlamento.ao/web/elsa.ambriz,http://www.parlamento.ao/image/user_portrait?screenName=elsa.ambriz&companyId=10132,MPLA,Nacional,3,elsa.ambriz
ELVIRA PEREGRINA DE JESUS VAN-DÚNEM,http://www.parlamento.ao/web/elvira.van-dunem,http://www.parlamento.ao/image/user_portrait?screenName=elvira.van-dunem&companyId=10132,MPLA,Bengo,3,elvira.van-dunem
EMÍLIA CARLOTA SEBASTIÃO CELESTINO DIAS,http://www.parlamento.ao/web/emilia.dias,http://www.parlamento.ao/image/user_portrait?screenName=emilia.dias&companyId=10132,MPLA,Nacional,3,emilia.dias
EMÍLIO JOSÉ HOMEM GOMES,http://www.parlamento.ao/web/emilio.gomes,http://www.parlamento.ao/image/user_portrait?screenName=emilio.gomes&companyId=10132,MPLA,Nacional,3,emilio.gomes
ERNESTO JOAQUIM MULATO,http://www.parlamento.ao/web/ernesto.mulato,http://www.parlamento.ao/image/user_portrait?screenName=ernesto.mulato&companyId=10132,UNITA,Nacional,3,ernesto.mulato
ESTEVÃO JOSÉ PEDRO KACHIUNGO,http://www.parlamento.ao/web/estevao.kachiungo,http://www.parlamento.ao/image/user_portrait?screenName=estevao.kachiungo&companyId=10132,UNITA,Nacional,3,estevao.kachiungo
EUGÉNIA TAMAR SEMENTE CHIACA NGANDALO,http://www.parlamento.ao/web/eugenia.ngandalo,http://www.parlamento.ao/image/user_portrait?screenName=eugenia.ngandalo&companyId=10132,MPLA,Cuando Cubango,3,eugenia.ngandalo
EUGÊNIO ANTONINO NGOLO MANUVAKOLA,http://www.parlamento.ao/web/eugenio.manuvakola,http://www.parlamento.ao/image/user_portrait?screenName=eugenio.manuvakola&companyId=10132,UNITA,Nacional,3,eugenio.manuvakola
EULÁLIA MARIA ALVES ROCHA SILVA,http://www.parlamento.ao/web/eulalia.silva,http://www.parlamento.ao/image/user_portrait?screenName=eulalia.silva&companyId=10132,MPLA,Luanda,3,eulalia.silva
EVA QUIBUBA CANGUDI,http://www.parlamento.ao/web/eva.cangudi,http://www.parlamento.ao/image/user_portrait?screenName=eva.cangudi&companyId=10132,MPLA,Uíge,3,eva.cangudi
EXALGINA RENEÉ VICENTE OLAVO GAMBÔA,http://www.parlamento.ao/web/exalgina.gamboa,http://www.parlamento.ao/image/user_portrait?screenName=exalgina.gamboa&companyId=10132,MPLA,Nacional,3,exalgina.gamboa
FAUSTINA FERNANDES INGLÊS DE ALMEIDA ALVES,http://www.parlamento.ao/web/faustina.alves,http://www.parlamento.ao/image/user_portrait?screenName=faustina.alves&companyId=10132,MPLA,Nacional,3,faustina.alves
FERNANDO BARTOLOMEU CATIVA,http://www.parlamento.ao/web/fernando.cativa,http://www.parlamento.ao/image/user_portrait?screenName=fernando.cativa&companyId=10132,MPLA,Huíla,3,fernando.cativa
FERNANDO DOMINGOS HEITOR DA COSTA FRANCISCO,http://www.parlamento.ao/web/fernando.francisco,http://www.parlamento.ao/image/user_portrait?screenName=fernando.francisco&companyId=10132,UNITA,Nacional,3,fernando.francisco
FERNANDO DA PIEDADE DIAS DOS SANTOS,http://www.parlamento.ao/web/fernando.santos,http://www.parlamento.ao/image/user_portrait?screenName=fernando.santos&companyId=10132,MPLA,Nacional,3,fernando.santos
FERNANDO JOSÉ DE FRANÇA DIAS VAN-DÚNEM,http://www.parlamento.ao/web/fernando.van-dunem,http://www.parlamento.ao/image/user_portrait?screenName=fernando.van-dunem&companyId=10132,MPLA,Nacional,3,fernando.van-dunem
FILIPE DOMINGOS,http://www.parlamento.ao/web/filipe.domingos,http://www.parlamento.ao/image/user_portrait?screenName=filipe.domingos&companyId=10132,MPLA,Benguela,3,filipe.domingos
FLORENTINO GABRIEL SAMBUNDO,http://www.parlamento.ao/web/florentino.sambundo,http://www.parlamento.ao/image/user_portrait?screenName=florentino.sambundo&companyId=10132,MPLA,Nacional,3,florentino.sambundo
FRANCISCA DE FÁTIMA DO ESPÍRITO SANTO CARVALHO,http://www.parlamento.ao/web/francisca.carvalho,http://www.parlamento.ao/image/user_portrait?screenName=francisca.carvalho&companyId=10132,MPLA,Nacional,3,francisca.carvalho
FRANCISCO BOAVENTURA CANJONGO CHITAPA,http://www.parlamento.ao/web/francisco.chitapa,http://www.parlamento.ao/image/user_portrait?screenName=francisco.chitapa&companyId=10132,MPLA,Nacional,3,francisco.chitapa
FRANCISCO JOSÉ RAMOS DA CRUZ,http://www.parlamento.ao/web/francisco.cruz,http://www.parlamento.ao/image/user_portrait?screenName=francisco.cruz&companyId=10132,MPLA,Nacional,3,francisco.cruz
FRANCISCO DE CASTRO MARIA,http://www.parlamento.ao/web/francisco.maria,http://www.parlamento.ao/image/user_portrait?screenName=francisco.maria&companyId=10132,MPLA,Nacional,3,francisco.maria
FRANCISCO ALBERTO CARLOS MENDES,http://www.parlamento.ao/web/francisco.mendes,http://www.parlamento.ao/image/user_portrait?screenName=francisco.mendes&companyId=10132,FNLA,Nacional,3,francisco.mendes
FRANCISCO MAGALHÃES PAIVA,http://www.parlamento.ao/web/francisco.paiva,http://www.parlamento.ao/image/user_portrait?screenName=francisco.paiva&companyId=10132,MPLA,Nacional,3,francisco.paiva
GABINETE LOCAL DO MOXICO,http://www.parlamento.ao/web/gab.moxico,http://www.parlamento.ao/image/user_portrait?screenName=gab.moxico&companyId=10132,"","",3,gab.moxico
GARCIA VIERIA,http://www.parlamento.ao/web/garcia.vieria,http://www.parlamento.ao/image/user_portrait?screenName=garcia.vieria&companyId=10132,MPLA,Zaire,3,garcia.vieria
GENOVEVA DA CONCEIÇÃO LINO,http://www.parlamento.ao/web/genoveva.lino,http://www.parlamento.ao/image/user_portrait?screenName=genoveva.lino&companyId=10132,MPLA,Nacional,3,genoveva.lino
GERDINA ULIPAMUE DIDALELWA,http://www.parlamento.ao/web/gerdina.didalelwa,http://www.parlamento.ao/image/user_portrait?screenName=gerdina.didalelwa&companyId=10132,MPLA,Cunene,3,gerdina.didalelwa
GILBERTO MANUEL PEREIRA,http://www.parlamento.ao/web/gilberto.pereira,http://www.parlamento.ao/image/user_portrait?screenName=gilberto.pereira&companyId=10132,MPLA,Cuanza Sul,3,gilberto.pereira
GUILHERMINA FUNDANGA MANUEL MAYER ALKAIM,http://www.parlamento.ao/web/guilhermina.alkaim,http://www.parlamento.ao/image/user_portrait?screenName=guilhermina.alkaim&companyId=10132,MPLA,Nacional,3,guilhermina.alkaim
GUILHERMINA CONTREIRAS DA COSTA PRATA,http://www.parlamento.ao/web/guilhermina.prata,http://www.parlamento.ao/image/user_portrait?screenName=guilhermina.prata&companyId=10132,MPLA,Nacional,3,guilhermina.prata
GUSTAVO DIAS VAZ DA CONCEIÇÃO,http://www.parlamento.ao/web/gustavo.conceicao,http://www.parlamento.ao/image/user_portrait?screenName=gustavo.conceicao&companyId=10132,MPLA,Nacional,3,gustavo.conceicao
HELENA BONGUELA ABEL,http://www.parlamento.ao/web/helena.abel,http://www.parlamento.ao/image/user_portrait?screenName=helena.abel&companyId=10132,UNITA,Nacional,3,helena.abel
IRENE ALEXANDRA DA SILVA NETO,http://www.parlamento.ao/web/irene.neto,http://www.parlamento.ao/image/user_portrait?screenName=irene.neto&companyId=10132,MPLA,Nacional,3,irene.neto
ISABEL JOÃO MIGUEL SEBASTIÃO PELIGANGA,http://www.parlamento.ao/web/isabel.peliganga,http://www.parlamento.ao/image/user_portrait?screenName=isabel.peliganga&companyId=10132,MPLA,Nacional,3,isabel.peliganga
JEREMIAS DUMBO,http://www.parlamento.ao/web/jeremias.dumbo,http://www.parlamento.ao/image/user_portrait?screenName=jeremias.dumbo&companyId=10132,MPLA,Nacional,3,jeremias.dumbo
JESUÍNO MANUEL DA SILVA,http://www.parlamento.ao/web/jesuino.silva,http://www.parlamento.ao/image/user_portrait?screenName=jesuino.silva&companyId=10132,MPLA,Luanda,3,jesuino.silva
JOANA LINA RAMOS BAPTISTA,http://www.parlamento.ao/web/joana.baptista,http://www.parlamento.ao/image/user_portrait?screenName=joana.baptista&companyId=10132,"","",3,joana.baptista
JOANA LINA RAMOS BAPTISTA CÂNDIDO,http://www.parlamento.ao/web/joana.candido,http://www.parlamento.ao/image/user_portrait?screenName=joana.candido&companyId=10132,MPLA,Nacional,3,joana.candido
JOANA DE JESUS DA CONCEIÇÃO PEDRO ANDRÉ E PEDRO,http://www.parlamento.ao/web/joana.pedro,http://www.parlamento.ao/image/user_portrait?screenName=joana.pedro&companyId=10132,MPLA,Malange,3,joana.pedro
JOANA META FERNANDES DOS SANTOS,http://www.parlamento.ao/web/joana.santos,http://www.parlamento.ao/image/user_portrait?screenName=joana.santos&companyId=10132,MPLA,Lunda Norte,3,joana.santos
JOÃO MANUEL FRANCISCO,http://www.parlamento.ao/web/joao.francisco,http://www.parlamento.ao/image/user_portrait?screenName=joao.francisco&companyId=10132,MPLA,Nacional,3,joao.francisco
JOÃO DE ALMEIDA AZEVEDO MARTINS,http://www.parlamento.ao/web/joao.martins,http://www.parlamento.ao/image/user_portrait?screenName=joao.martins&companyId=10132,MPLA,Nacional,3,joao.martins
JOÃO MUATONGUELA,http://www.parlamento.ao/web/joao.muatonguela,http://www.parlamento.ao/image/user_portrait?screenName=joao.muatonguela&companyId=10132,MPLA,Namibe,3,joao.muatonguela
JOÃO LUÍS NETO,http://www.parlamento.ao/web/joao.neto,http://www.parlamento.ao/image/user_portrait?screenName=joao.neto&companyId=10132,MPLA,Nacional,3,joao.neto
JOAQUIM DUARTE DA COSTA DAVID,http://www.parlamento.ao/web/joaquim.david,http://www.parlamento.ao/image/user_portrait?screenName=joaquim.david&companyId=10132,MPLA,Nacional,3,joaquim.david
JOAQUIM ANTÓNIO CARLOS REIS JÚNIOR,http://www.parlamento.ao/web/joaquim.junior,http://www.parlamento.ao/image/user_portrait?screenName=joaquim.junior&companyId=10132,MPLA,Nacional,3,joaquim.junior
JOB PEDRO CASTELO CAPAPINHA,http://www.parlamento.ao/web/job.capapinha,http://www.parlamento.ao/image/user_portrait?screenName=job.capapinha&companyId=10132,MPLA,Nacional,3,job.capapinha
JORGE INOCÊNCIO DOMBOLO,http://www.parlamento.ao/web/jorge.dombolo,http://www.parlamento.ao/image/user_portrait?screenName=jorge.dombolo&companyId=10132,MPLA,Nacional,3,jorge.dombolo
JOSÉ SAMUEL CHIWALE,http://www.parlamento.ao/web/jose.chiwale,http://www.parlamento.ao/image/user_portrait?screenName=jose.chiwale&companyId=10132,UNITA,Nacional,3,jose.chiwale
JOSÉ MOISÉS CIPRIANO,http://www.parlamento.ao/web/jose.cipriano,http://www.parlamento.ao/image/user_portrait?screenName=jose.cipriano&companyId=10132,MPLA,Lunda Norte,3,jose.cipriano
JOSÉ MARIA JAMBA,http://www.parlamento.ao/web/jose.jamba,http://www.parlamento.ao/image/user_portrait?screenName=jose.jamba&companyId=10132,MPLA,Namibe,3,jose.jamba
JOSÉ MÁRIO KATITI,http://www.parlamento.ao/web/jose.katiti,http://www.parlamento.ao/image/user_portrait?screenName=jose.katiti&companyId=10132,MPLA,Cunene,3,jose.katiti
JOSÉ MIÚDO,http://www.parlamento.ao/web/jose.miudo,http://www.parlamento.ao/image/user_portrait?screenName=jose.miudo&companyId=10132,MPLA,Lunda-Norte,3,jose.miudo
JOSÉ FRANCISCO TINGÃO PEDRO,http://www.parlamento.ao/web/jose.pedro,http://www.parlamento.ao/image/user_portrait?screenName=jose.pedro&companyId=10132,MPLA,Bengo,3,jose.pedro
JOSÉ MANGOVO TOMÉ,http://www.parlamento.ao/web/jose.tome,http://www.parlamento.ao/image/user_portrait?screenName=jose.tome&companyId=10132,MPLA,Cabinda,3,jose.tome
JOSÉ DA COSTA UAMUHANA,http://www.parlamento.ao/web/jose.uamuhana,http://www.parlamento.ao/image/user_portrait?screenName=jose.uamuhana&companyId=10132,MPLA,Lunda Norte,3,jose.uamuhana
JOSÉ DIOGO VENTURA,http://www.parlamento.ao/web/jose.ventura,http://www.parlamento.ao/image/user_portrait?screenName=jose.ventura&companyId=10132,MPLA,Nacional,3,jose.ventura
JOSEFA JOSÉ,http://www.parlamento.ao/web/josefa.jose,http://www.parlamento.ao/image/user_portrait?screenName=josefa.jose&companyId=10132,MPLA,Bengo,3,josefa.jose
JOSEFINA PANDEINGE HALEINGE,http://www.parlamento.ao/web/josefina.haleinge,http://www.parlamento.ao/image/user_portrait?screenName=josefina.haleinge&companyId=10132,MPLA,Cunene,3,josefina.haleinge
JÚLIA AGOSTINHA CELESTE,http://www.parlamento.ao/web/julia.celeste,http://www.parlamento.ao/image/user_portrait?screenName=julia.celeste&companyId=10132,MPLA,Huíla,3,julia.celeste
JULIÃO MATEUS PAULO,http://www.parlamento.ao/web/juliao.paulo,http://www.parlamento.ao/image/user_portrait?screenName=juliao.paulo&companyId=10132,MPLA,Nacional,3,juliao.paulo
JULIÃO FRANCISCO TEIXEIRA,http://www.parlamento.ao/web/juliao.teixeira,http://www.parlamento.ao/image/user_portrait?screenName=juliao.teixeira&companyId=10132,MPLA,Nacional,3,juliao.teixeira
KILAMBA KIUYIMA SEBASTIÃO VAN-DÚNEM,http://www.parlamento.ao/web/kilamba.van-dunem,http://www.parlamento.ao/image/user_portrait?screenName=kilamba.van-dunem&companyId=10132,MPLA,Nacional,3,kilamba.van-dunem
LARISSA CHIOLA ROSA JOSÉ,http://www.parlamento.ao/web/larissa.jose,http://www.parlamento.ao/image/user_portrait?screenName=larissa.jose&companyId=10132,MPLA,Nacional,3,larissa.jose
