id,position,label,description,start_date,end_date,replaces,replaced_by,of,constituency,election
Q1699509,Q13217683,United States Senator,member of the United States Senate,1947-11-17,1989-01-03,Theodore Gilmore Bilbo,Trent Lott,,,
Q1699509,Q17487661,Member of the Mississippi House of Representatives,"","",,,,,,
Q1699908,Q13217683,United States Senator,member of the United States Senate,2003-01-03,2009-01-03,,,,,
Q1699908,Q13218630,United States representative,elected representative in the US,1997-01-03,2003-01-03,,,,New Hampshire's 1st congressional district,
Q1701454,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1807209,Q13217683,United States Senator,member of the United States Senate,1977-01-03,1995-01-03,,,,,
Q1807209,Q7889282,United States Ambassador to China,"",1996-02-14,1999-07-01,,,,,
Q1811690,Q13217683,United States Senator,member of the United States Senate,1981-01-03,1987-01-03,Herman Talmadge,Wyche Fowler,,Georgia,
Q182642,Q13217683,United States Senator,member of the United States Senate,1974-12-24,1999-01-03,Howard Metzenbaum,George Voinovich,,Ohio,
Q1827902,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1827902,Q19319643,Member of the Hawaii House of Representatives,"","",,,,,,
Q1840588,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1840588,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q187516,Q13217683,United States Senator,member of the United States Senate,2000-07-24,2005-01-03,Paul Coverdell,Johnny Isakson,,Georgia,
Q187516,Q846307,Lieutenant Governor of Georgia,position,1975-01-14,1991-01-14,Lester Maddox,Pierre Howard,,,
Q187516,Q880198,Governor of Georgia,head of the executive branch of Georgia's U.S. state government,1991-01-14,1999-01-11,Joe Frank Harris,Roy Barnes,,,
Q1886056,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1886056,Q17495450,member of the Illinois House of Representatives,"political office in Illinois, USA","",,,,,,
Q1894476,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1894476,Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,"",,,,,,
Q1895804,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1895804,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1895804,Q20064986,member of the Maryland House of Delegates,"","",,,,,,
Q19673,Q11699,Vice President of the United States,public office in the United States,1993-01-20,2001-01-20,Dan Quayle,Dick Cheney,,,
Q19673,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q19673,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1994957,Q13217683,United States Senator,member of the United States Senate,1969-01-03,1993-01-03,Thomas Kuchel,Barbara Boxer,,California,
Q1994957,Q5021015,California State Controller,"",1959,1967,Robert C. Kirkwood,Houston I. Flournoy,,,
Q2023708,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q2023708,Q18763331,member of the Connecticut House of Representatives,elected representative in Connecticut,"",,,,,,
Q2023708,Q19831739,member of the State Senate of Connecticut,"","",,,,,,
Q2036942,Q13217683,United States Senator,member of the United States Senate,2013-01-03,,Kay Bailey Hutchison,,,Texas,
Q2064037,Q13217683,United States Senator,member of the United States Senate,1981-01-03,1999-01-03,Jacob K. Javits,Chuck Schumer,,New York,
Q216174,Q13217683,United States Senator,member of the United States Senate,1978-12-30,1991-01-03,,,,,
Q217314,Q13217683,United States Senator,member of the United States Senate,1999-01-03,2005-01-03,,,,,
Q22201,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q22201,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q22212,Q13217683,United States Senator,member of the United States Senate,2003-01-03,,,,,,
Q22212,Q13218630,United States representative,elected representative in the US,1995-01-03,2003-01-03,,,,,
Q22212,Q19754409,member of the South Carolina House of Representatives,"","",,,,,,
Q22222,Q13217683,United States Senator,member of the United States Senate,2009-01-26,,Hillary Clinton,,,New York,
Q22222,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q22237,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q22250,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q22250,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q22250,Q17598395,member of the Washington House of Representatives,elected Representative,"",,,,,,
Q22260,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q22260,Q18131809,Member of the Missouri House of Representatives,elected Representative,"",,,,,,
Q22279,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q22290,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q22290,Q13218630,United States representative,elected representative in the US,1979-01-03,1995-01-03,,,,,
Q22290,Q18342769,member of the State Senate of Maine,"",1977,1979,,,,,
Q22290,Q18713970,member of the Maine House of Representatives,elected Representative in the State of Maine,1975,1977,,,,,
Q22290,Q3506352,Governor of Maine,"",1989-02-24,1995-01-08,,,,,
Q22316,Q13217683,United States Senator,member of the United States Senate,1985-01-02,2013-02-01,Paul Tsongas,Mo Cowan,,,
Q22316,Q14213,United States Secretary of State,U.S. cabinet member and head of the U.S. State Department,2013-02-01,2017-01-20,Hillary Clinton,,,,
Q22338,Q13217683,United States Senator,member of the United States Senate,1997-01-03,2015-01-03,"J. Bennett Johnston, Jr.",Bill Cassidy,,,
Q22338,Q17355090,member of the Louisiana House of Representatives,elected representative,"",,,,,,
Q22354,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q22360,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q230733,Q13217683,United States Senator,member of the United States Senate,1992-11-04,,John F. Seymour,,,California,
Q230733,Q795295,Mayor of San Francisco,head of the executive branch of the San Francisco city and county government,1978-12-04,1988-01-08,George Moscone,Art Agnos,,,
Q237560,Q13217683,United States Senator,member of the United States Senate,1993-01-03,2017-01-03,Alan Cranston,Kamala Harris,,California,
Q237560,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q237681,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q237681,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q239571,Q13217683,United States Senator,member of the United States Senate,2003-01-03,2009-01-03,Jesse Helms,Kay Hagan,,North Carolina,
Q239571,Q967737,United States Secretary of Transportation,position,1983-02-07,1987-09-30,"Andrew L. Lewis, Jr.",James H. Burnley IV,,,
Q239571,Q967750,United States Secretary of Labor,position,1989-01-25,1990-11-23,Ann McLaughlin Korologos,Lynn Morley Martin,,,
Q239928,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q239928,Q18604553,member of the Texas House of Representatives,elected representative,"",,,,,,
Q239928,Q7708094,Texas State Treasurer,"",1991-01-15,1993-06-14,Ann Richards,Martha Whitehead,,,
Q24053,Q19264592,member of the State Senate of New Hampshire,"","",,,,,,
Q24053,Q5589687,Governor of New Hampshire,"",2013-01-03,2017-01-02,,,,,
Q241092,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q241092,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q241092,Q18654736,member of the Michigan House of Representatives,elected Representative,"",,,,,,
Q241092,Q18675883,member of the State Senate of Michigan,"","",,,,,,
Q251763,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q251763,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q251763,Q18341124,member of the Nevada Assembly,"","",,,,,,
Q25483,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q2580649,Q13217683,United States Senator,member of the United States Senate,2013-01-03,,,,,,
Q258825,Q13217683,United States Senator,member of the United States Senate,1993-01-03,,Brock Adams,,,,
Q258825,Q17598395,member of the Washington House of Representatives,elected Representative,1989-01-09,1993-01-11,,Rosemary McAuliffe,,Washington's 1st Legislative District,
Q258825,Q7891290,United States Senate Democratic Conference Secretary,"",2007-01-03,,Debbie Stabenow,,,,
Q261003,Q13217683,United States Senator,member of the United States Senate,2009-01-03,2015-01-03,Elizabeth Dole,Thom Tillis,,North Carolina,
Q261147,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q261147,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q2613704,Q13217683,United States Senator,member of the United States Senate,1985-01-03,2002-11-30,,,,,
Q2613704,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q2636748,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q2636748,Q18341783,Member of the Wyoming House of Representatives,"","",,,,,,
Q265668,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q2658030,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q270316,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q270316,Q19264592,member of the State Senate of New Hampshire,"","",,,,,,
Q270316,Q5589687,Governor of New Hampshire,"",1997-01-09,2003-01-09,Steve Merrill,Craig Benson,,,
Q276524,Q1140848,President pro tempore of the United States Senate,second-highest-ranking official of the United States Senate,2007-01-03,2010-06-28,Ted Stevens,Daniel Inouye,,,
Q276524,Q13217683,United States Senator,member of the United States Senate,1959-01-03,2010-06-28,W. Chapman Revercomb,Carte Goodwin,,,
Q276524,Q13218630,United States representative,elected representative in the US,1953-01-03,1959-01-03,E. H. Hedrick,"John M. Slack, Jr.",,,
Q276524,Q21368444,member of the State Senate of West Virginia,"","",,,,,,
Q283884,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q283884,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q285102,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q285102,Q20801652,Governor of West Virginia,"","",,,,,,
Q285102,Q7444393,Secretary of State of West Virginia,"Political office in West Virginia, USA",1969-01-13,1973-01-15,"Robert D. Bailey, Jr.",,,,
Q289396,Q13217683,United States Senator,member of the United States Senate,1993-01-03,1999-01-03,,,,,
Q289396,Q7889347,United States Ambassador to New Zealand,"",1999-12-15,2001-03-01,,,,,
Q298016,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q3036410,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q3090307,Q13218630,United States representative,elected representative in the US,2015,,,,,,
Q31112,Q13217683,United States Senator,member of the United States Senate,1995-01-03,2007-01-03,,,,,
Q311141,Q13217683,United States Senator,member of the United States Senate,1995-01-03,2001-01-03,John Danforth,Jean Carnahan,,,
Q311141,Q20801667,Governor of Missouri,"",1985-01-14,1993-01-11,Kit Bond,Mel Carnahan,,,
Q311141,Q636207,United States Attorney General,position,2001-02-02,2005-02-03,Janet Reno,Alberto Gonzales,,,
Q311141,Q7603054,State Auditor of Missouri,"",1973,1974,,George W. Lehr,,,
Q312845,Q1140848,President pro tempore of the United States Senate,second-highest-ranking official of the United States Senate,2010-06-28,2012-12-17,Robert Byrd,Patrick Leahy,,,
Q312845,Q13217683,United States Senator,member of the United States Senate,1963-01-03,2012-12-17,Oren E. Long,Brian Schatz,,,
Q312845,Q13218630,United States representative,elected representative in the US,1959-08-21,1963-01-03,,Thomas Gill,,,
Q314459,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q314459,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q314459,Q16191529,Lieutenant Governor of Nevada,"",1971-01-04,1975-01-05,Edward Fike,Robert E. Rose,,,
Q314459,Q18341124,member of the Nevada Assembly,"","",,,,,,
Q317618,Q13217683,United States Senator,member of the United States Senate,1996-11-07,2011-01-03,Sheila Frahm,Jerry Moran,,Kansas,
Q317618,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q317618,Q5589668,Governor of Kansas,"",2011-01-10,,Mark Parkinson,,,,
Q3176929,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q319079,Q13217683,United States Senator,member of the United States Senate,1969-01-03,1996-06-11,Frank Carlson,Sheila Frahm,,Kansas,
Q319079,Q13218630,United States representative,elected representative in the US,1963-01-03,1969-01-03,,,,Kansas's 1st congressional district,
Q319079,Q17487134,Member of the Kansas House of Representatives,elected Representative,"",,,,,,
Q319084,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q319111,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q319111,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q319129,Q13217683,United States Senator,member of the United States Senate,1969-01-03,1987-01-03,,John McCain,,Arizona,
Q3200900,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q323511,Q13217683,United States Senator,member of the United States Senate,1991-05-09,1995-01-03,,,,,
Q324546,Q13217683,United States Senator,member of the United States Senate,2011-01-03,,George LeMieux,,,Florida,
Q324546,Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,2000-01-25,2008-11-18,,,,,
Q324719,Q1140848,President pro tempore of the United States Senate,second-highest-ranking official of the United States Senate,2001-06-06,2003-01-03,Warren Magnuson,Robert Byrd,,,
Q324719,Q13217683,United States Senator,member of the United States Senate,1956-11-07,2003-01-03,Thomas A. Wofford,Lindsey Graham,,,
Q324719,Q18676729,member of the State Senate of South Carolina,"","",,,,,,
Q324719,Q3773752,Governor of South Carolina,"head of state for the State of South Carolina, USA",1947-01-21,1951-01-16,Ransome Judson Williams,James F. Byrnes,,,
Q326316,Q13217683,United States Senator,member of the United States Senate,1997-01-03,2003-01-03,Bill Bradley,Frank Lautenberg,,,
Q326316,Q13218630,United States representative,elected representative in the US,1983-01-03,1997-01-03,,,,New Jersey's 9th congressional district,
Q3268711,Q13217683,United States Senator,member of the United States Senate,1965-11-12,1983-01-03,Harry F. Byrd,"Paul S. Trible, Jr.",,,
Q3268711,Q18604340,member of the State Senate of Virginia,"","",,,,,,
Q330165,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q330165,Q17502533,member of the Ohio House of Representatives,"","",,,,,,
Q330165,Q20065429,member of the State Senate of Ohio,"","",,,,,,
Q331278,Q13217683,United States Senator,member of the United States Senate,2005-01-03,,John Edwards,,,,
Q331278,Q13218630,United States representative,elected representative in the US,1995-01-03,2005-01-03,Stephen L. Neal,Virginia Foxx,,,
Q331719,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q339046,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q339046,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q342586,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q344930,Q13217683,United States Senator,member of the United States Senate,1999-01-03,2011-01-03,,,,,
Q344930,Q16147601,Governor of Indiana,"",1989-01-09,1997-01-13,,,,,
Q345564,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q355522,Q13217683,United States Senator,member of the United States Senate,1985-01-03,,,,,,
Q355522,Q28530268,Majority Leader of the United States Senate,Group leader of the bigger party in US Senate,2015-01-03,,,,,,
Q355894,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q355894,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q355894,Q17496847,Member of the Montana House of Representatives,"elected representative in Montana, USA","",,,,,,
Q355894,Q21365323,member of the State Senate of Montana,"","",,,,,,
Q356475,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q356475,Q17602055,member of the State Senate of Wisconsin,"","",,,,,,
Q357718,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q357718,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q358437,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q358437,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q358437,Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,"",,,,,,
Q358437,Q5461629,Florida State Treasurer/Insurance Commissioner/Fire Marshal,"",1995-01-03,2001-01-03,Tom Gallagher,Tom Gallagher,,,
Q358443,Q13217683,United States Senator,member of the United States Senate,1997-01-03,2017-02-08,Howell Heflin,,,Alabama,
Q358443,Q4818624,Attorney General of Alabama,attorney general for the U.S. state of Alabama,1995-01-16,1997-01-03,,"William H. Pryor, Jr.",,,
Q358443,Q636207,United States Attorney General,position,2017-02-09,,,,,,
Q359366,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q359366,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q359442,Q13217683,United States Senator,member of the United States Senate,2007-01-03,,Jim Jeffords,,,,
Q359442,Q13218630,United States representative,elected representative in the US,1991-01-03,2007-01-03,Peter Plympton Smith,Peter Welch,,,
Q359442,Q22975465,"Mayor of Burlington, Vermont","",1981-04-06,1989-04-04,,Peter Clavelle,,,
Q359888,Q13217683,United States Senator,member of the United States Senate,2013-01-03,,,,,,
Q359888,Q25349730,Mayor of Richmond,"",1998-07-01,2001-09-10,,,,,
Q359888,Q878942,Governor of Virginia,position,2006-01-14,2010-01-16,,,,,
Q361139,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q361139,Q1532983,Lieutenant Governor of Kentucky,position,1967-12-12,1971-12-07,Harry Lee Waterfield,Julian Carroll,,,
Q361139,Q4151335,Governor of Kentucky,head of the executive branch of government in the Commonwealth of Kentucky,1971-12-07,1974-12-28,Louie B. Nunn,Julian Carroll,,,
Q362480,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q363055,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q363055,Q5283280,District Attorney of Philadelphia,"",1966-01-03,1974-01-07,"James C. Crumlish, Jr.",F. Emmett Fitzpatrick,,,
Q363079,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q364746,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q364746,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q368462,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q368462,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q368462,Q17602055,member of the State Senate of Wisconsin,"","",,,,,,
Q368920,Q1140848,President pro tempore of the United States Senate,second-highest-ranking official of the United States Senate,1987-01-03,1989-01-03,Hubert Humphrey,,,,
Q368920,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q368920,Q16258496,United States Special Envoy for Northern Ireland,"",1995-01-03,2001-01-20,,Richard N. Haass,,,
Q369047,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q369047,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q371025,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q371025,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q371025,Q18655026,member of the State Senate of Idaho,"","",,,,,,
Q371031,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q371031,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q374762,Q13217683,United States Senator,member of the United States Senate,2011-01-03,,,,,North Dakota,
Q374762,Q3773741,Governor of North Dakota,"",2000-12-15,2010-12-07,Ed Schafer,Jack Dalrymple,,,
Q376645,Q13217683,United States Senator,member of the United States Senate,1991-01-07,1992-11-03,Pete Wilson,Dianne Feinstein,,California,
Q376645,Q19690441,member of the State Senate of California,"","",,,,,,
Q380570,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q380570,Q3112728,Governor of New Jersey,head of the executive branch of New Jersey's state government,2006-01-17,2010-01-19,Richard Codey,Chris Christie,,,
Q380900,Q13217683,United States Senator,member of the United States Senate,1999-01-03,,Al D'Amato,,,New York,
Q380900,Q13218630,United States representative,elected representative in the US,1981-01-03,1999-01-03,,,,,
Q380900,Q20058770,member of the New York State Assembly,elected representative,"",,,,,,
Q381157,Q1140848,President pro tempore of the United States Senate,second-highest-ranking official of the United States Senate,2015-01-03,,Patrick Leahy,,,,
Q381157,Q13217683,United States Senator,member of the United States Senate,1977-01-03,,Frank Moss,,,,
Q381670,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q381670,Q735015,United States Secretary of Defense,position,2013-02-27,2015-02-17,Leon Panetta,Ashton Carter,,,
