name,summary,website,website__ru,website__kk,image,id,name__ru,summary__ru,name__kk,summary__kk,term
ZHABAGIEV Kozhahan Kokrekbaevich,Committee on finance and budget,http://www.parlam.kz/ru/blogs/Jabagiev,http://www.parlam.kz/ru/blogs/Jabagiev,http://www.parlam.kz/kk/blogs/Jabagiev,http://www.parlam.kz/en/mazhilis/People/PersonImage/1456?size=big,74979897103105101118,ЖабагиевКожаханКокрекбаевич,Член Комитета по финансам и бюджету Мажилиса Парламента Республики Казахстан,ЖабағиевҚожаханКөкірекбайұлы,Қаржы және бюджет комитетінің мүшесі,6
KESSEBAYEVA Balaim,Committee on Legislation and Judicial and Legal Reform,http://www.parlam.kz/ru/blogs/Kesebaeva,http://www.parlam.kz/ru/blogs/Kesebaeva,http://www.parlam.kz/kk/blogs/Kesebaeva,http://www.parlam.kz/en/mazhilis/People/PersonImage/2788?size=big,75101115101989710111897,КЕСЕБАЕВАБалаимТуганбаевна,Член Комитета по законодательству и судебно-правовой реформе Мажилиса Парламента Республики Казахстан ,КЕСЕБАЕВАБалаимТуғанбайқызы,Заңнама және сот-құқықтық реформа комитетінің мүшесі,6
KHITUOV Taras,Committee for economic reform and regional development,http://www.parlam.kz/ru/blogs/Khituov,http://www.parlam.kz/ru/blogs/Khituov,http://www.parlam.kz/kk/blogs/Khituov,http://www.parlam.kz/en/mazhilis/People/PersonImage/2887?size=big,75104105116117111118,ХИТУОВТарасКикбаевич,Член Комитета по экономической реформе и региональному развитию Мажилиса Парламента Республики Казахстан ,ХИТУОВТарасКиікбайұлы,Экономикалық реформа және өңірлік даму комитетінің мүшесі ,6
KHAKHAZOV Shakir,Committee on finance and budget,http://www.parlam.kz/ru/blogs/Khakhazov,http://www.parlam.kz/ru/blogs/Khakhazov,http://www.parlam.kz/kk/blogs/Khakhazov,http://www.parlam.kz/en/mazhilis/People/PersonImage/2827?size=big,751049710710497122111118,ХАХАЗОВШакирХусаинович,Член Комитета по финансам и бюджету Мажилиса Парламента Республики Казахстан ,ХАХАЗОВШакирХусаинович,Қаржы және бюджет комитетінің мүшесі ,6
KHAMENOVA Bakytgul,Committee on issues of ecology and environmental management,http://www.parlam.kz/ru/blogs/Khamenova,http://www.parlam.kz/ru/blogs/Khamenova,http://www.parlam.kz/kk/blogs/Khamenova,http://www.parlam.kz/en/mazhilis/People/PersonImage/2854?size=big,751049710910111011111897,ХАМЕНОВАБакытгульКайржановна,Член Комитета по вопросам экологии и природопользованию Мажилиса Парламента Республики Казахстан,ХАМЕНОВАБақытгүлҚайржанқызы,Экология мәселелері және табиғат пайдалану комитетінің мүшесі ,6
KIM Roman Uhenovich,Committee on Agrarian issues of Mazhilis of Parliament,http://www.parlam.kz/ru/blogs/Kim,http://www.parlam.kz/ru/blogs/Kim,http://www.parlam.kz/kk/blogs/Kim,http://www.parlam.kz/en/mazhilis/People/PersonImage/1474?size=big,75105109,КимРоманУхенович,Член Комитета по аграрным вопросам Мажилиса Парламента Республики Казахстан,КИМРоманУхенович,Аграрлық мәселелер комитетінің мүшесі,6
KLIMENKO Ivan,Committee on issues of ecology and environmental management,http://www.parlam.kz/ru/blogs/Klimenko,http://www.parlam.kz/ru/blogs/Klimenko,http://www.parlam.kz/kk/blogs/Klimenko,http://www.parlam.kz/en/mazhilis/People/PersonImage/2848?size=big,75108105109101110107111,КЛИМЕНКОИванИванович,Член Комитета по вопросам экологии и природопользованию Мажилиса Парламента Республики Казахстан,КЛИМЕНКОИванИванович,Экология мәселелері және табиғат пайдалану комитетінің мүшесі ,6
KOZHAKHMET ArmanTuleshovich,Committee on Legislation and Judicial and Legal Reform,http://www.parlam.kz/ru/blogs/Kojahmetov,http://www.parlam.kz/ru/blogs/Kojahmetov,http://www.parlam.kz/kk/blogs/Kojahmetov,http://www.parlam.kz/en/mazhilis/People/PersonImage/1489?size=big,7511110697104109101116111118,КожахметовАрманТулешович,Член Комитета по законодательству и судебно-правовой реформе Мажилиса Парламента Республики Казахстан,ҚОЖАХМЕТОВАрманТөлешұлы,Заңнама және сот-құқықтық реформа комитетінің мүшесі,6
KONUROV Aykyn Oyratovich,Committee on Agrarian issues of Mazhilis of Parliament,http://www.parlam.kz/ru/blogs/Konyrov,http://www.parlam.kz/ru/blogs/Konyrov,http://www.parlam.kz/kk/blogs/Konyrov,http://www.parlam.kz/en/mazhilis/People/PersonImage/1492?size=big,75111110121114111118,КонуровАйкынОйратович,Член Комитета по аграрным вопросам Мажилиса Парламента Республики Казахстан,ҚоныровАйқынОйратұлы,Аграрлық мәселелер комитетінің мүшесі,6
KOSAREV Vladislav Borisovich,"Committee on foreign affairs, defense and security",http://www.parlam.kz/ru/blogs/Kosarev,http://www.parlam.kz/ru/blogs/Kosarev,http://www.parlam.kz/kk/blogs/Kosarev,http://www.parlam.kz/en/mazhilis/People/PersonImage/76?size=big,7511111597114101118,КосаревВладиславБорисович,"Член Комитета по международным делам, обороне и безопасности Мажилиса Парламента Республики Казахстан",КОСАРЕВВладиславБорисович,"Халықаралық істер, қорғаныс және қауіпсіздік комитетінің мүшесі",6
KOZLOV Yevgeniy,Committee on Legislation and Judicial and Legal Reform,http://www.parlam.kz/ru/blogs/Kozlov,http://www.parlam.kz/ru/blogs/Kozlov,http://www.parlam.kz/kk/blogs/Kozlov,http://www.parlam.kz/en/mazhilis/People/PersonImage/2791?size=big,75111122108111118,КОЗЛОВЕвгенийАлександрович,Член Комитета по законодательству и судебно-правовой реформе Мажилиса Парламента Республики Казахстан ,КОЗЛОВЕвгенийАлександрович,Заңнама және сот-құқықтық реформа комитетінің мүшесі,6
KURMANOVA Aizada,Committee for economic reform and regional development,http://www.parlam.kz/ru/blogs/Kurmanova,http://www.parlam.kz/ru/blogs/Kurmanova,http://www.parlam.kz/kk/blogs/Kurmanova,http://www.parlam.kz/en/mazhilis/People/PersonImage/2869?size=big,751171141099711011111897,КУРМАНОВААйзадаАмангельдиновна,Член Комитета по экономической реформе и региональному развитию Мажилиса Парламента Республики Казахстан ,ҚҰРМАНОВААйзадаАмангелдіқызы,Экономикалық реформа және өңірлік даму комитетінің мүшесі ,6
KUSSAINOV Serik,Committee on Agrarian issues of Mazhilis of Parliament,http://www.parlam.kz/ru/blogs/KusainovS,http://www.parlam.kz/ru/blogs/KusainovS,http://www.parlam.kz/kk/blogs/KusainovS,http://www.parlam.kz/en/mazhilis/People/PersonImage/2737?size=big,751171159710511011111883,КУСАИНОВСерикДосымханович,Член Комитета по аграрным вопросам Мажилиса Парламента Республики Казахстан ,ҚҰСАЙЫНОВСерікДосымханұлы,Аграрлық мәселелер комитетінің мүшесі ,6
KANYBEKOV Saken,Committee on Agrarian issues of Mazhilis of Parliament,http://www.parlam.kz/ru/blogs/Kanybekov,http://www.parlam.kz/ru/blogs/Kanybekov,http://www.parlam.kz/kk/blogs/Kanybekov,http://www.parlam.kz/en/mazhilis/People/PersonImage/2734?size=big,759711012198101107111118,КАНЫБЕКОВСакенАсембекович,Член Комитета по аграрным вопросам Мажилиса Парламента Республики Казахстан ,ҚАНЫБЕКОВСәкенӘсембекұлы,Аграрлық мәселелер комитетінің мүшесі ,6
KARAGUSOVA Gulzhana Dzhanpeisovna,Committee on finance and budget,http://www.parlam.kz/ru/blogs/Karagusova,http://www.parlam.kz/ru/blogs/Karagusova,http://www.parlam.kz/kk/blogs/Karagusova,http://www.parlam.kz/en/mazhilis/People/PersonImage/1242?size=big,75971149710311711511111897,КарагусоваГульжанаДжанпеисовна,Председатель Комитета по финансам и бюджету Мажилиса Парламента Республики Казахстан,ҚарақұсоваГүлжанЖанпейісқызы,Қаржы және бюджет комитетінің Төрайымы,6
KARAKEN Kuralay Anuarovna,Committee on issues of ecology and environmental management,http://www.parlam.kz/ru/blogs/Karaken,http://www.parlam.kz/ru/blogs/Karaken,http://www.parlam.kz/kk/blogs/Karaken,http://www.parlam.kz/en/mazhilis/People/PersonImage/1486?size=big,759711497107101110,КаракенКуралайАнуаровна,Член Комитета по вопросам экологии и природопользованию Мажилиса Парламента Республики Казахстан ,ҚАРАКЕНҚұралайӘнуарқызы,Экология мәселелері және табиғат пайдалану комитетінің мүшесі ,6
