id,name__nl,name__it,name__fr,name,wikipedia__nl,gender,birth_date,death_date,original_wikiname,name__en,name__de,wikipedia__de,wikipedia__en,image,identifier__VIAF,given_name,identifier__FAST,identifier__GTAA,name__af,name__an,name__ast,name__bar,name__br,name__ca,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__es,name__et,name__eu,name__fi,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__nrm,name__oc,name__pcd,name__pl,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__srn,wikipedia__srn,name__hi,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__ru,name__ja,name__el,name__ar,name__zh,wikipedia__ar,wikipedia__ca,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__fi,wikipedia__fr,wikipedia__hi,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__zh,identifier__GND,identifier__freebase,identifier__LCAuth,identifier__BNF,identifier__NTA,identifier__Britannica,identifier__DBNL,wikipedia__commons,wikipedia__id,name__fy,wikipedia__fy,identifier__ISNI,identifier__SUDOC,identifier__OLID,identifier__BPN,wikipedia__no,wikipedia__sv,family_name,wikipedia__af,wikipedia__da,wikipedia__eu,wikipedia__ro,wikipedia__tr,wikipedia__vi,name__he,name__yo,name__sr_ec,name__lt,name__sr,name__fa,wikipedia__et,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__lt,wikipedia__sr,wikipedia__yo,wikipedia__ast,occupation,identifier__bigenc_ru,name__bg,wikipedia__bg
Q15869350,Adolf Brakke,,Adolf Brakke,Adolf Brakke,Adolf Brakke,male,1901-09-26,1977-02-28,Adolf Brakke,,,,,,,Adolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q15873890,Chris Calor,Chris Calor,Chris Calor,Chris Calor,Chris Calor,male,1924,1975-05-26,Chris Calor,Chris Calor,,,,,,Chris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q15875419,Fred Manichand,Fred Manichand,Fred Manichand,Fred Manichand,Fred Manichand,male,1930-10-10,2000-02-21,Fred Manichand,Fred Manichand,,,,,,Fred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q15876082,Harold Pollack,,Harold Pollack,Harold Pollack,Harold Pollack,male,1947-03-07,2013-07-31,Harold Pollack,Harold Pollack,Harold Pollack,,,,,Harold,,,,,,,,,,,Harold Pollack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q15880465,Pannalal Parmessar,Pannalal Parmessar,Pannalal Parmessar,Pannalal Parmessar,Pannalal Parmessar,male,1936-10-13,2011-07-06,Pannalal Parmessar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q15881507,Rufus Nooitmeer,Rufus Nooitmeer,Rufus Nooitmeer,Rufus Nooitmeer,Rufus Nooitmeer,male,1935-09-21,2000-01-12,Rufus Nooitmeer,Rufus Nooitmeer,,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Rufus_Nooitmeer_(1975)_(kleur).jpg,,Rufus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q15885549,Kries Mahadewsing,,Kries Mahadewsing,Kries Mahadewsing,Kries Mahadewsing,male,1942-12-16,2013-02-19,Kries Mahadewsing,Kries Mahadewsing,,,,,,,,,,,,,,,,,Kries Mahadewsing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1604941,Henck Arron,Henck Arron,Henck Arron,Henck Arron,Henck Arron,male,1936-04-25,2000-12-04,Henck Arron,Henck Arron,Henck A. E. Arron,Henck A. E. Arron,Henck Arron,https://upload.wikimedia.org/wikipedia/commons/c/c3/Henck_Arron_1988.jpg,289081524,,,,,,,,,,,,Henck Arron,Henck Arron,,,,,Henck Arron,Henck Arron,,,,,,,,,,,Henck Arron,,Henck Arron,,,,,,,,,,,,Henck Arron,,,Henck Arron,,,,Henck Arron,,Henck Arron,,,,,,,,,,Henck Arron,,,,,,,,,,,,,,,,,,,,Хенк Аррон,ヘンク・アロン,,هانك آرون,亨克·阿龙,هانك آرون,,,Henck Arron,Henck Arron,,Henck Arron,,,Henck Arron,,,Henck Arron,Henck Arron,"Аррон, Хенк",亨克·阿龙,106539862X,/m/03m85n,,,,,,Category:Henck Arron,Henck Arron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,1831531,,
Q17265199,Johan Sisal,,Johan Sisal,Johan Sisal,Johan Sisal,male,1945-11-08,,Johan Sisal,Johan Sisal,,,,,,Johan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johan Saidi Sisal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johan Saidi Sisal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q17269886,Winston Jessurun,,Winston Jessurun,Winston Jessurun,,male,,,Winston Jessurun,Winston Jessurun,Winston Jessurun,,Winston Jessurun,,,Winston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1817245,Michel van Rey,,Michel van Rey,Michel van Rey,Michel van Rey,male,1946,,Michel van Rey,,,,,,,Michel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1822334,Willem Smit,,,Willem Smit,Willem Smit (politicus),male,1897-02-09,1960-03-14,Willem Smit (politicus),Willem Smit,,,,,,Willem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ويليم سميت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smit,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1823783,Soewarto Moestadja,,,Soewarto Moestadja,Soewarto Moestadja,male,1949-11-30,,Soewarto Moestadja,Soewarto Moestadja,,,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Soewarto_moestadja_and_partner.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soewarto Moestadja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soewarto Moestadja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1825176,Dewanand Balesar,,,Dewanand Balesar,Dewanand Balesar,male,,,Dewanand Balesar,,,,,,,,,,,,,,,,,,,,,,,,,Dewanand Balesar,,,,,,,,,,,Dewanand Balesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dewanand Balesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1828494,Wim Udenhout,,Willem Alfred Udenhout,Wim Udenhout,Wim Udenhout,male,1937-09-29,,Wim Udenhout,Wim Udenhout,Wim Udenhout,,Wim Udenhout,,,Wim,,162778,,,,,,,,,,Wim Udenhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wim Udenhout,,,Wim Udenhout,,,,,,,,,,,,,,,,Wim Udenhout,,,,,,,,,,,,,,,,,,,,,,,,伍頓荷特,,,,,,,Wim Udenhout,,,,,,,,,,,/m/010f6pzp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,
Q1829352,Martinus Sastroredjo,,,Martinus Sastroredjo,Martinus Sastroredjo,male,,,Martinus Sastroredjo,Martinus Sastroredjo,,,,,,Martinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martinus Sastroredjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martinus Sastroredjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,
Q1847659,Harold Rusland,Harold Rusland,Harold Rusland,Harold Rusland,Harold Rusland,male,1938-06-26,,Harold Rusland,Harold Rusland,,,,,,Harold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1850536,Michael Cambridge,Michael Cambridge,Michael Cambridge,Michael Cambridge,Michael Cambridge,male,1930-11-18,,Michael Cambridge,Michael Cambridge,,,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Michael_Cambridge_(1975).jpg,,Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1897036,Raymond Sapoen,,Raymond Sapoen,Raymond Sapoen,Raymond Sapoen,male,1967-10-25,,Raymond Sapoen,Raymond Sapoen,Raymond Sapoen,,,,,Raymond,,229833,,,,,,,,,,Raymond Sapoen,,,,,,,,,,,,,,,,,,,Raymond Sapoen,,,,,,,,,,,,Raymond Sapoen,,,Raymond Sapoen,,,,,,,,,,,,,,,,Raymond Sapoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raymond Sapoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1907761,Frits Mitrasing,Frits Mitrasing,Frits Mitrasing,Frits Mitrasing,Frits Mitrasing,male,1921-03-25,1998-10-12,Frits Mitrasing,Frits Mitrasing,Frits Mitrasing,,,,19690682,Frits,,,,,,,,,,,,Frits Mitrasing,,,,,,Frits Mitrasing,,,,,,,,,,,,,,,,,,,,,,,,,Frits Mitrasing,,,Frits Mitrasing,,,,,,,,,,,,,,,,Frits Mitrasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12022129b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1949087,Jules Ajodhia,,Jules Ajodhia,Jules Ajodhia,Jules Ajodhia,male,1945-01-27,,Jules Ajodhia,Jules Ajodhia,Jules Ajodhia,,Jules Ajodhia,,,Jules,,,,,,,,,,,,,,,,,,Jules Ajodhia,,,,,,,,,,,Jules Ajodhia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,यूल्स रत्नकुमार अयोध्या,,,,,,,,Жюль Айодхья,,,,朱尔斯·拉坦科马·阿佐迪亚,,,,,Jules Ajodhia,,,यूल्स रत्नकुमार अयोध्या,,,,,,,"Айодхья, Жюль",朱尔斯·拉坦科马·阿佐迪亚,,/m/0235b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1955114,Cyrill Ramkisor,,Cyrill Ramkisor,Cyrill Ramkisor,Cyrill Ramkisor,male,1933-11-19,,Cyrill Ramkisor,Cyrill Ramkisor,,,,https://upload.wikimedia.org/wikipedia/commons/9/9e/Cyrill_Ramkisor_(1988).jpg,,Cyrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1956286,Richard Kalloe,,Richard Kalloe,Richard Kalloe,Richard Kalloe,male,1949-10-09,,Richard Kalloe,,,,,,,Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Kalloe,Richard Kalloe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columnist,,,
Q1966968,Hendrik Setrowidjojo,Hendrik Setrowidjojo,Hendrik Setrowidjojo,Hendrik Setrowidjojo,Hendrik Setrowidjojo,male,1956-09-13,,Hendrik Setrowidjojo,Hendrik Setrowidjojo,Hendrik Setrowidjojo,,,,,Hendrik,,,,,,,,,,,,Hendrik Setrowidjojo,,,,,,Hendrik Setrowidjojo,,,,,,,,,,,,,Hendrik Setrowidjojo,,,,,,,,,,,,Hendrik Setrowidjojo,,,Hendrik Setrowidjojo,,,,,,,,,,,,,,,,Hendrik Setrowidjojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hendrik Setrowidjojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1968705,Ronnie Brunswijk,Ronnie Brunswijk,Ronnie Brunswijk,Ronnie Brunswijk,Ronnie Brunswijk,male,1961-03-07,,Ronnie Brunswijk,Ronnie Brunswijk,Ronnie Brunswijk,Ronnie Brunswijk,Ronnie Brunswijk,https://upload.wikimedia.org/wikipedia/commons/8/8f/Ronnie_Brunswijk_2011.jpg,37714201,Ronnie,,,,,,,,,,,,Ronnie Brunswijk,,,,,Ronnie Brunswijk,Ronnie Brunswijk,,,,,,,,,,,Ronnie Brunswijk,,,,,,,,,,,,,,Ronnie Brunswijk,,,Ronnie Brunswijk,,,,,,Ronnie Brunswijk,,,,,,,,,,Ronnie Brunswijk,,,,,,,,,,,,,,,,,,,,Ронни Брюнсвийк,,,روني برانسويجك,,روني برانسويجك,,,Ronnie Brunswijk,Ronnie Brunswijk,,Ronnie Brunswijk,,,Ronnie Brunswijk,,,,Ronnie Brunswijk,"Брюнсвийк, Ронни",,118877305,/m/04kq9d,,12265277c,073317977,,,,,,,0000 0000 1385 9165,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1977783,Erik Tjon Kie Sim,,Erik Tjon Kie Sim,Erik Tjon Kie Sim,Erik Tjon Kie Sim,male,1936-11-18,2009-04-12,Erik Tjon Kie Sim,,,,,,,Erik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,張吉興,,张吉兴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1988257,Cor Pigot,Cor Pigot,Cor Pigot,Cor Pigot,Cor Pigot,male,1947-12-12,,Cor Pigot,,,,,,,Cor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1992304,Harry Kisoensingh,,Harry Kisoensingh,Harry Kisoensingh,Harry Kisoensingh,male,1954-09-22,2008-04-27,Harry Kisoensingh,Harry Kisoensingh,Harry Kisoensingh,,Harry Kisoensingh,,,Harry,,,,,,,,,,,Harry Kisoensingh,Harry Kisoensingh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harry Kisoensingh,,,Harry Kisoensingh,,,,,,,,,,,,,,,,Harry Kisoensingh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1992365,Atta Mungra,Atta Mungra,Atta Mungra,Atta Mungra,Atta Mungra,male,1939-02-19,2002-08-14,Atta Mungra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1993321,Ewald Meyer,Ewald Meyer,Ewald Meyer,Ewald Meyer,Ewald Meyer,male,1930-02-18,1988-09,Ewald Meyer,Ewald Meyer,,,,,,Ewald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meyer,,,,,,,,,,,,,,,,,,,,,politician,,,
Q1995807,Laurens Neede,Laurens Neede,Laurens Neede,Laurens Neede,Laurens Neede,male,1946,,Laurens Neede,,,,,,,Laurens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q2000713,Samuel Pawironadi,,Samuel Pawironadi,Samuel Pawironadi,Samuel Pawironadi,male,1956,,Samuel Pawironadi,Samuel Pawironadi,,,,,,Samuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Pawironadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Pawironadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q2010492,Robby Dragman,,Robby Dragman,Robby Dragman,Robby Dragman,male,1953-02-11,,Robby Dragman,Robby Koesman Dragman,,,,,,Robby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robby Koesman Dragman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robby Koesman Dragman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
