name,wikiname,area,area_id,party,party_id,term,source,last_seen
Musa Qasımlı,Musa Qasımlı,Sumqayıt ikinci seçki dairəsi,42,Independent,IND,4,,2016-07-02
Muxtar Babayev,Muxtar Babayev,Sumqayıt üçüncü seçki dairəsi,43,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Hacı Salayev,Hacı Salayev,Sumqayıt-Abşeron seçki dairəsi,44,Independent,IND,4,,2016-07-02
Arif Alışanov,Arif Alışanov,Abşeron seçki dairəsi,45,Independent,IND,4,,2016-07-02
Azay Quliyev,Azay Quliyev,Şirvan seçki dairəsi,46,Independent,IND,4,,2016-07-02
Aydın Mirzəzadə,Aydın Mirzəzadə,Mingəçevir seçki dairəsi,47,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
İlham Məmmədov,İlham Məmmədov (millət vəkili),Yevlax seçki dairəsi,48,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Əli Hüseynov,Əli Hüseynli,Yevlax-Mingəçevir seçki dairəsi,49,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Zeynəb Xanlarova,Zeynəb Xanlarova,Qobustan-Xızı-Sumqayıt seçki dairəsi,50,Independent,IND,4,,2016-07-02
Azər Badamov,Azər Badamov,Qusar seçki dairəsi,51,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Vahid Əhmədov,Vahid Əhmədov,Quba seçki dairəsi,52,Independent,IND,4,,2016-07-02
Yevda Abramov,Yevda Abramov,Quba-Qusar seçki dairəsi,53,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Tahir Süleymanov,Tahir Süleymanov,Şabran-Siyəzən seçki dairəsi,54,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Arif Əşrəfov,Arif Əşrəfov,Xaçmaz şəhər seçki dairəsi,55,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
İlham Əliyev,İlham Əliyev (millət vəkili),Xaçmaz kənd seçki dairəsi,56,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Fərhad Qəribov,Fərhad Qəribov,Kürdəmir seçki dairəsi,57,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Rafael Hüseynov,Rafael Hüseynov,Hacıqabul-Kürdəmir seçki dairəsi,58,Vətəndaş Həmrəyliyi Partiyası,VHP,4,,2016-07-02
Əliağa Hüseynov,Əliağa Hüseynov,Salyan seçki dairəsi,59,Independent,IND,4,,2016-07-02
Fəzail Ağamalı,Fəzail Ağamalı,Salyan-Neftçala seçki dairəsi,60,Ana Vətən Partiyası,AVP,4,,2016-07-02
Arif Rəhimzadə,Arif Rəhimzadə,Neftçala seçki dairəsi,61,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Cəlal Əliyev,Cəlal Əliyev,Saatlı seçki dairəsi,62,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Ceyhun Osmanlı,Ceyhun Osmanlı,Sabirabad birinci seçki dairəsi,63,Independent,IND,4,,2016-07-02
Rüstəm Xəlilov,Rüstəm Xəlilov,Sabirabad ikinci seçki dairəsi,64,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Əhliman Əmiraslanov,Əhliman Əmiraslanov,Saatlı-Sabirabad-Kürdəmir seçki dairəsi,65,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Xanhüseyn Kazımlı,Xanhüseyn Kazımlı,Biləsuvar seçki dairəsi,66,Azərbaycan Sosial Rifah Partiyası,ASRP,4,,2016-07-02
Malik Həsənov,Malik Həsənov,Cəlilabad şəhər seçki dairəsi,67,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Mirkazım Kazımov,Mirkazım Kazımov,Cəlilabad kənd seçki dairəsi,68,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Fəzail İbrahimli,Fəzail İbrahimli,Cəlilabad-Masallı-Biləsuvar seçki dairəsi,69,Vətəndaş Həmrəyliyi Partiyası,VHP,4,,2016-07-02
Nəriman Əliyev,Nəriman Əliyev (millət vəkili),Masallı şəhər seçki dairəsi,70,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Elmira Axundova,Elmira Axundova,Masallı kənd seçki dairəsi,71,Independent,IND,4,,2016-07-02
Sabir Rüstəmxanlı,Sabir Rüstəmxanlı,Yardımlı-Masallı seçki dairəsi,72,Vətəndaş Həmrəyliyi Partiyası,VHP,4,,2016-07-02
Rüfət Quliyev,Rüfət Quliyev,Lənkəran şəhər seçki dairəsi,73,Independent,IND,4,,2016-07-02
Hadı Rəcəbli,Hadı Rəcəbli,Lənkəran kənd seçki dairəsi,74,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Cavanşir Paşazadə,Cavanşir Paşazadə,Lənkəran-Masallı seçki dairəsi,75,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Ziyafət Əsgərov,Ziyafət Əsgərov,Lənkəran-Astara seçki dairəsi,76,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Aslan Cəfərov,Aslan Cəfərov,Astara seçki dairəsi,77,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
İqbal Məmmədov,İqbal Məmmədov,Lerik seçki dairəsi,78,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Əsabil Qasımov,Əsabil Qasımov,İmişli seçki dairəsi,79,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Çingiz Qənizadə,Çingiz Qənizadə,İmişli-Beyləqan seçki dairəsi,80,Independent,IND,4,,2016-07-02
Ayaz Orucov,Ayaz Orucov,Beyləqan seçki dairəsi,81,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Tahir Rzayev,Tahir Rzayev,Ağcabədi seçki dairəsi,82,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Aqil Abbas,Aqil Abbas,Ağcabədi-Füzuli seçki dairəsi,83,Independent,IND,4,,2016-07-02
Bahar Muradova,Bahar Muradova,Füzuli seçki dairəsi,84,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Elxan Süleymanov,Elxan Süleymanov,Şamaxı seçki dairəsi,85,Independent,IND,4,,2016-07-02
Novruzəli Aslanov,Novruzəli Aslanov,İsmayıllı seçki dairəsi,86,Independent,IND,4,,2016-07-02
Ərəstun Cavadov,Ərəstun Cavadov,Ağsu-İsmayıllı seçki dairəsi,87,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Sabir Hacıyev,Sabir Hacıyev (millət vəkili),Göyçay seçki dairəsi,88,Vətəndaş Birliyi Partiyası,VBP,4,,2016-07-02
Şəmsəddin Hacıyev,Şəmsəddin Hacıyev,Göyçay-Ağdaş seçki dairəsi,89,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Çingiz Əsədullayev,Çingiz Əsədullayev,Ağdaş seçki dairəsi,90,Independent,IND,4,,2016-07-02
Elton Məmmədov,Elton Məmmədov,Ucar seçki dairəsi,91,Independent,IND,4,,2016-07-02
Jalə Əliyeva,Jalə Əliyeva,Zərdab-Ucar seçki dairəsi,92,Independent,IND,4,,2016-07-02
Zahid Oruc,Zahid Oruc,Bərdə şəhər seçki dairəsi,93,Ana Vətən Partiyası,AVP,4,,2016-07-02
Gövhər Baxşəliyeva,Gövhər Baxşəliyeva,Bərdə kənd seçki dairəsi,94,Independent,IND,4,,2016-07-02
Sahib Alıyev,Sahib Alıyev,Tərtər seçki dairəsi,95,Independent,IND,4,,2016-07-02
Mahir Aslanov,Mahir Aslanov,Goranboy-Naftalan seçki dairəsi,96,Independent,IND,4,,2016-07-02
Gülçöhrə Məmmədova,Gülçöhrə Məmmədova,Goranboy-Ağdam-Tərtər seçki dairəsi,97,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Sahibə Qafarova,Sahibə Qafarova,Şəmkir şəhər seçki dairəsi,98,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Məlahət İbrahimqızı,Məlahət İbrahimqızı,Şəmkir kənd seçki dairəsi,99,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Mübariz Qurbanlı,Mübariz Qurbanlı,Şəmkir-Daşkəsən seçki dairəsi,100,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Rövşən Rzayev,Rövşən Rzayev (millət vəkili),Göygöl-Daşkəsən seçki dairəsi,101,Independent,IND,4,,2016-07-02
Valeh Ələsgərov,Valeh Ələsgərov,Samux-Şəmkir seçki dairəsi,102,Independent,IND,4,,2016-07-02
Sevinc Hüseynova,Sevinc Hüseynova,Gədəbəy seçki dairəsi,103,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Rafiq Məmmədhəsənov,Rafiq Məmmədhəsənov,Gədəbəy-Tovuz seçki dairəsi,104,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Qənirə Paşayeva,Qənirə Paşayeva,Tovuz seçki dairəsi,105,Independent,IND,4,,2016-07-02
İlyas İsmayılov,İlyas İsmayılov,Tovuz-Qazax-Ağstafa seçki dairəsi,106,Ədalət Partiyası (Azərbaycan),ƏP,4,,2016-07-02
Əhməd Vəliyev,Əhməd Vəliyev,Qazax seçki dairəsi,107,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Nizami Cəfərov,Nizami Cəfərov,Ağstafa seçki dairəsi,108,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Rəbiyyət Aslanova,Rəbiyyət Aslanova,Balakən seçki dairəsi,109,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Hikmət Atayev,Hikmət Atayev,Zaqatala seçki dairəsi,110,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Kamilə Əliyeva,Kamilə Əliyeva,Zaqatala-Balakən seçki dairəsi,111,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Azər Kərimli,Azər Kərimli,Qax seçki dairəsi,112,Independent,IND,4,,2016-07-02
Yaqub Mahmudov,Yaqub Mahmudov,Şəki şəhər seçki dairəsi,113,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Əli Məsimli,Əli Məsimli,Şəki kənd birinci seçki dairəsi,114,Independent,IND,4,,2016-07-02
Cavanşir Feyziyev,Cavanşir Feyziyev,Şəki kənd ikinci seçki dairəsi,115,Independent,IND,4,,2016-07-02
Fəttah Heydərov,Fəttah Heydərov,Qəbələ seçki dairəsi,116,Independent,IND,4,,2016-07-02
Aqiyə Naxçıvanlı,Aqiyə Naxçıvanlı,Oğuz-Qəbələ seçki dairəsi,117,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Bəxtiyar Əliyev,Bəxtiyar Əliyev,Ağdam şəhər seçki dairəsi,118,Independent,IND,4,,2016-07-02
Bəxtiyar Sadıqov,Bəxtiyar Sadıqov,Ağdam kənd seçki dairəsi,119,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Astan Şahverdiyev,Astan Şahverdiyev,Cəbrayıl-Qubadlı seçki dairəsi,120,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Nazim Fərəcov,Nazim Fərəcov,Laçın seçki dairəsi,121,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Flora Qasımova,Flora Qasımova,Xankəndi seçki dairəsi,122,Independent,IND,4,,2016-07-02
Cavid Qurbanov,Cavid Qurbanov,Kəlbəcər seçki dairəsi,123,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Elman Məmmədov,Elman Məmmədov,Şuşa-Ağdam-Xocalı-Xocavənd seçki dairəsi,124,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
İmamverdi İsmayılov,İmamverdi İsmayılov,Zəngilan-Qubadlı seçki dairəsi,125,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Vasif Talıbov,Vasif Talıbov,Şərur-Sədərək seçki dairəsi,1,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
İsa Həbibbəyli,İsa Həbibbəyli,Şərur seçki dairəsi,2,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Səttar Möhbalıyev,Səttar Möhbalıyev,Babək-Kəngərli-Naxçıvan seçki dairəsi,3,Independent,IND,5,,2016-07-02
Eldar İbrahimov,Eldar İbrahimov,Naxçıvan şəhər seçki dairəsi,4,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Siyavuş Novruzov,Siyavuş Novruzov,Şahbuz-Babək seçki dairəsi,5,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Ülviyyə Həmzəyeva,Ülviyyə Həmzəyeva,Culfa-Babək seçki dairəsi,6,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Qüdrət Həsənquliyev,Qüdrət Həsənquliyev,Ordubad-Culfa seçki dairəsi,7,Bütöv Azərbaycan Xalq Cəbhəsi Partiyası,BAXCP,5,,2016-07-02
Azay Quliyev,Azay Quliyev,Binəqədi birinci seçki dairəsi,8,Independent,IND,5,,2016-07-02
Kamaləddin Qafarov,Kamaləddin Qafarov (səhifə mövcud deyil),Binəqədi ikinci seçki dairəsi,9,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Madər Musayev,Madər Musayev,Binəqədi üçüncü seçki dairəsi,10,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Aydın Hüseynov,Aydın Hüseynov (səhifə mövcud deyil),Qaradağ seçki dairəsi,11,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Mixail Zabelin,Mixail Zabelin,Qaradağ-Binəqədi-Yasamal seçki dairəsi,12,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Rauf Əliyev,Rauf Əliyev (deputat) (səhifə mövcud deyil),Xəzər birinci seçki dairəsi,13,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Mehriban Əliyeva,Mehriban Əliyeva,Xəzər ikinci seçki dairəsi,14,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Ülvi Quliyev,Ülvi Quliyev,Yasamal birinci seçki dairəsi,15,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Aytən Mustafayeva,Aytən Mustafayeva,Yasamal ikinci seçki dairəsi,16,Independent,IND,5,,2016-07-02
Elşad Həsənov,Elşad Həsənov (səhifə mövcud deyil),Yasamal üçüncü seçki dairəsi,17,Independent,IND,5,,2016-07-02
Rasim Musabəyov,Rasim Musabəyov,Nərimanov-Nizami seçki dairəsi,18,Independent,IND,5,,2016-07-02
Hikmət Məmmədov,Hikmət Məmmədov,Nərimanov birinci seçki dairəsi,19,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Adil Əliyev,Adil Əliyev,Nərimanov ikinci seçki dairəsi,20,Independent,IND,5,,2016-07-02
Məlahət İbrahimqızı,Məlahət İbrahimqızı,Nəsimi birinci seçki dairəsi,21,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Asim Mollazadə,Asim Mollazadə,Nəsimi ikinci seçki dairəsi,22,Azərbaycan Demokratik İslahatlar Partiyası,DİP,5,,2016-07-02
Ziyad Səmədzadə,Ziyad Səmədzadə,Nəsimi-Səbail seçki dairəsi,23,Azərbaycan Demokratik İslahatlar Partiyası,DİP,5,,2016-07-02
Rövnəq Abdullayev,Rövnəq Abdullayev,Nizami birinci seçki dairəsi,24,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Sədaqət Vəliyeva,Sədaqət Vəliyeva,Nizami ikinci seçki dairəsi,25,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Fazil Mustafa,Fazil Mustafa,Sabunçu birinci seçki dairəsi,26,Böyük Quruluş Partiyası,BQP,5,,2016-07-02
Dilarə Cəbrayılova,Dilarə Cəbrayılova (səhifə mövcud deyil),Sabunçu ikinci seçki dairəsi,27,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Eldar Quliyev,Eldar Quliyev (millət vəkili),Sabunçu üçüncü seçki dairəsi,28,Independent,IND,5,,2016-07-02
Şəmsəddin Hacıyev,Şəmsəddin Hacıyev,Səbail seçki dairəsi,29,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Sevinc Fətəliyeva,Sevinc Fətəliyeva,Suraxanı birinci seçki dairəsi,30,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Fərəc Quliyev,Fərəc Quliyev,Suraxanı ikinci seçki dairəsi,31,Independent,IND,5,,2016-07-02
Ağacan Əbiyev,Ağacan Əbiyev,Suraxanı üçüncü seçki dairəsi,32,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Hüseynbala Mirələmov,Hüseynbala Mirələmov,Xətai birinci seçki dairəsi,33,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Fuad Muradov,Fuad Muradov,Xətai ikinci seçki dairəsi,34,Independent,IND,5,,2016-07-02
Araz Əlizadə,Araz Əlizadə,Xətai üçüncü seçki dairəsi,35,Azərbaycan Sosial Demokrat Partiyası,ASDP,5,,2016-07-02
Səməd Seyidov,Səməd Seyidov,Xətai dördüncü seçki dairəsi,36,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Pərvin Kərimzadə,Pərvin Kərimzadə (səhifə mövcud deyil),Nizami birinci (Gəncə) seçki dairəsi,37,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Naqif Həmzəyev,Naqif Həmzəyev,Nizami ikinci (Gəncə) seçki dairəsi,38,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Xanlar Fətiyev,Xanlar Fətiyev,Kəpəz birinci (Gəncə) seçki dairəsi,39,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Musa Quliyev,Musa Urud,Kəpəz ikinci (Gəncə) seçki dairəsi,40,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Mirzəcan Xəlilov,Mirzəcan Xəlilov (səhifə mövcud deyil),Sumqayıt birinci seçki dairəsi,41,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Tahir Mirkişili,Tahir Mirkişili,Sumqayıt ikinci seçki dairəsi,42,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Muxtar Babayev,Muxtar Babayev,Sumqayıt üçüncü seçki dairəsi,43,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Hacı Salayev,Hacı Salayev,Sumqayıt-Abşeron seçki dairəsi,44,Independent,IND,5,,2016-07-02
Oqtay Əsədov,Oqtay Əsədov,Abşeron seçki dairəsi,45,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Rafael Cəbrayılov,Rafael Cəbrayılov,Şirvan seçki dairəsi,46,Independent,IND,5,,2016-07-02
Aydın Mirzəzadə,Aydın Mirzəzadə,Mingəçevir seçki dairəsi,47,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
İlham Məmmədov,İlham Məmmədov (millət vəkili),Yevlax seçki dairəsi,48,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Əli Hüseynov,Əli Hüseynli,Yevlax-Mingəçevir seçki dairəsi,49,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Zeynəb Xanlarova,Zeynəb Xanlarova,Qobustan-Xızı-Sumqayıt seçki dairəsi,50,Independent,IND,5,,2016-07-02
Azər Badamov,Azər Badamov,Qusar seçki dairəsi,51,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Vahid Əhmədov,Vahid Əhmədov,Quba seçki dairəsi,52,Independent,IND,5,,2016-07-02
Yevda Abramov,Yevda Abramov,Quba-Qusar seçki dairəsi,53,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Tahir Süleymanov,Tahir Süleymanov,Şabran-Siyəzən seçki dairəsi,54,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Eldəniz Səlimov,Eldəniz Səlimov (səhifə mövcud deyil),Xaçmaz şəhər seçki dairəsi,55,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
İlham Əliyev,İlham Əliyev (millət vəkili),Xaçmaz kənd seçki dairəsi,56,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Müslüm Məmmədov,Müslüm Məmmədov (səhifə mövcud deyil),Kürdəmir seçki dairəsi,57,Independent,IND,5,,2016-07-02
Rafael Hüseynov,Rafael Hüseynov,Hacıqabul-Kürdəmir seçki dairəsi,58,Vətəndaş Həmrəyliyi Partiyası,VHP,5,,2016-07-02
Əliağa Hüseynov,Əliağa Hüseynov,Salyan seçki dairəsi,59,Independent,IND,5,,2016-07-02
Fəzail Ağamalı,Fəzail Ağamalı,Salyan-Neftçala seçki dairəsi,60,Ana Vətən Partiyası,AVP,5,,2016-07-02
Arif Rəhimzadə,Arif Rəhimzadə,Neftçala seçki dairəsi,61,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Əflatun Amaşov,Əflatun Amaşov,Saatlı seçki dairəsi,62,Independent,IND,5,,2016-07-02
Elçin Quliyev,Elçin Quliyev (millət vəkili) (səhifə mövcud deyil),Sabirabad birinci seçki dairəsi,63,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Rüstəm Xəlilov,Rüstəm Xəlilov,Sabirabad ikinci seçki dairəsi,64,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Əhliman Əmiraslanov,Əhliman Əmiraslanov,Saatlı-Sabirabad-Kürdəmir seçki dairəsi,65,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Xanhüseyn Kazımlı,Xanhüseyn Kazımlı,Biləsuvar seçki dairəsi,66,Azərbaycan Sosial Rifah Partiyası,ASRP,5,,2016-07-02
Malik Həsənov,Malik Həsənov,Cəlilabad şəhər seçki dairəsi,67,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Mirkazım Kazımov,Mirkazım Kazımov,Cəlilabad kənd seçki dairəsi,68,Yeni Azərbaycan Partiyası,YAP,5,,2016-07-02
Fəzail İbrahimli,Fəzail İbrahimli,Cəlilabad-Masallı-Biləsuvar seçki dairəsi,69,Vətəndaş Həmrəyliyi Partiyası,VHP,5,,2016-07-02
