id,name__az,name,name__en,gender,birth_date,given_name,identifier__PACE,identifier__VIAF,image,identifier__freebase,website,identifier__LCAuth,death_date,wikipedia__az,wikipedia__en,name__ru,name__hy,name__pl,wikipedia__commons,wikipedia__ru,name__fr,name__it,name__de,name__tr,name__es,name__nl,wikipedia__azwikiquote,wikipedia__tr,name__cs,name__fa,name__id,name__ka,name__ms,name__sv,name__zh,name__be,wikipedia__be,wikipedia__cs,wikipedia__fa,wikipedia__fr,wikipedia__hy,wikipedia__id,wikipedia__it,wikipedia__ka,wikipedia__ms,wikipedia__pl,wikipedia__sv,wikipedia__zh,name__ro,wikipedia__de,wikipedia__ro,name__ca,name__oc,name__en_gb,wikipedia__azwikibooks,wikipedia__es,name__uk,wikipedia__uk,wikipedia__gag,name__gag,original_wikiname,identifier__BNF,identifier__SUDOC,identifier__ISNI,identifier__NUKAT,identifier__LNB,identifier__FAST,name__hu
Q12839554,Flora Qasımova,Flora Qasımova,,female,1947,Flora,,,,,,,,Flora Qasımova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flora Qasımova,,,,,,,
Q12839739,Fərəc Quliyev,Fərəc Quliyev,,,,,,,,,,,,Fərəc Quliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fərəc Quliyev,,,,,,,
Q12839767,Fəzail İbrahimli,Fəzail İbrahimli,,,1951,,,,,,,,,Fəzail İbrahimli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fəzail İbrahimli,,,,,,,
Q12839846,Gövhər Baxşəliyeva,Gövhər Baxşəliyeva,,,,,,,,,,,,Gövhər Baxşəliyeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gövhər Baxşəliyeva,,,,,,,
Q12839980,Gülər Əhmədova,Gülər Əhmədova,Gular Ahmadova,female,1965-08-20,,,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Gular-Ahmedova.jpg,,,,,Gülər Əhmədova,Gular Ahmadova,,,,,,Gular Ahmadova,,,,,Gular Ahmadova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gülər Əhmədova,,,,,,,
Q12840198,Hadı Rəcəbli,Hadı Rəcəbli,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Hadi_Recebli.jpg,,,,,Hadı Rəcəbli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hadı Rəcəbli,,,,,,,
Q12840465,Hüseynbala Mirələmov,Hüseynbala Mirələmov,,,1945-06-25,,,,,,,,,Hüseynbala Mirələmov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hüseynbala Mirələmov,,,,,,,
Q12840703,Jalə Əliyeva,Jalə Əliyeva,,,1966,,,,,,,,,Jalə Əliyeva,,,,,Category:Jalə Əliyeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalə Əliyeva,,,,,,,
Q12841562,Madər Musayev,Madər Musayev,hadji mader,,,,,,,,,,,Madər Musayev,,,,,,,,,hadji mader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madər Musayev,,,,,,,
Q12842011,Mirkazım Kazımov,Mirkazım Kazımov,,,,,,,,,,,,Mirkazım Kazımov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirkazım Kazımov,,,,,,,
Q12842330,Musa Qasımlı,Musa Qasımlı,,male,,,,,,,,,,Musa Qasımlı,,,,,Category:Musa Qasımlı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musa Qasımlı/Biblioqrafiya,,,,,,Musa Qasımlı,,,,,,,
Q12842413,Mübariz Qurbanlı,Mübariz Qurbanlı,,male,1954-01-07,,,,"https://upload.wikimedia.org/wikipedia/commons/e/ed/DQİDK_sədri_Mübariz_Qurbanlının_""Amerikanın_Səsi""nə_müsahibəsi_-_3.2.jpg",,,,,Mübariz Qurbanlı,,Мубариз Гурбанлы,,,,"Гурбанлы, Мубариз",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mübariz Qurbanlı,,,,,,,
Q12843404,Novruzəli Aslanov,Novruzəli Aslanov,,male,,,,,,,,,,Novruzəli Aslanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novruzəli Aslanov,,,,,,,
Q12844605,Qüdrət Həsənquliyev,Qüdrət Həsənquliyev,,,1965-12-09,,,,,,,,,Qüdrət Həsənquliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qüdrət Həsənquliyev,,,,,,,
Q12844831,Rafael Cəbrayılov,Rafael Cəbrayılov,,male,,Rafael,,,,,,,,Rafael Cəbrayılov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Cəbrayılov,,,,,,,
Q12845204,Rüstəm Xəlilov,Rüstəm Xəlilov,Rüstam Xalilov,male,,Rüstam,,,,,,,,Rüstəm Xəlilov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rüstəm Xəlilov,,,,,,,
Q12845295,Rəşad Mahmudov,Rəşad Mahmudov,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ae/R.mahmudov.jpg,,,,,Rəşad Mahmudov,,,,,Category:Rəşad Mahmudov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rəşad Mahmudov,,,,,,,
Q12845656,Sevinc Fətəliyeva,Sevinc Fətəliyeva,,,,,,,,,,,,Sevinc Fətəliyeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sevinc Fətəliyeva,,,,,,,
Q12846308,Səttar Mehbalıyev,Səttar Mehbalıyev,,,1955,,,,,,,,,Səttar Mehbalıyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Səttar Möhbalıyev,,,,,,,
Q12846349,Tahir Süleymanov,Tahir Süleymanov,,,,,,,,,,,,Tahir Süleymanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tahir Süleymanov,,,,,,,
Q12847105,Valeh Ələsgərov,Valeh Ələsgərov,,,,,,,,,,,,Valeh Ələsgərov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valeh Ələsgərov,,,,,,,
Q12847503,Xanhüseyn Kazımlı,Xanhüseyn Kazımlı,,,,,,,,,,,,Xanhüseyn Kazımlı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xanhüseyn Kazımlı,,,,,,,
Q12847511,Xanlar Fətiyev,Xanlar Fətiyev,,,1972-01-15,,,,,,,,,Xanlar Fətiyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xanlar Fətiyev,,,,,,,
Q12848740,Ülvi Quliyev,Ülvi Quliyev,,,,,,,,,,,,Ülvi Quliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ülvi Quliyev,,,,,,,
Q12848996,İmamverdi İsmayılov,İmamverdi İsmayılov,,,,,,,,,,,,İmamverdi İsmayılov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İmamverdi İsmayılov,,,,,,,
Q12849104,İqbal Ağazadə,İqbal Ağazadə,,,,,,,,,,,,İqbal Ağazadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İqbal Ağazadə,,,,,,,
Q12849106,İqbal Məmmədov,İqbal Məmmədov,,male,1965,,,,,,,,,İqbal Məmmədov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İqbal Məmmədov,,,,,,,
Q12849768,Şəmsəddin Hacıyev,Şəmsəddin Hacıyev,,,,,,,,,,,,Şəmsəddin Hacıyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Şəmsəddin Hacıyev,,,,,,,
Q12849884,Əflatun Amaşov,Əflatun Amaşov,,,,,,,,,,,,Əflatun Amaşov,,,,,Category:Əflatun Amaşov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Əflatun Amaşov,,,,,,,
Q12850308,Ərəstun Cavadov,Ərəstun Cavadov,,,,,,,,,,,,Ərəstun Cavadov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ərəstun Cavadov,,,,,,,
Q13553633,Nizami Cəfərov,Nizami Cəfərov,,male,1959-09-21,,,18411288,,,,,,Nizami Cəfərov,,"Джафаров, Низами Гулу оглы",,,,"Джафаров, Низами Гулу оглы",,,,,,,Nizami Cəfərov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nizami Cəfərov,,147593573,,,,,
Q14946401,Gülçöhrə Məmmədova,Gülçöhrə Məmmədova,Gülçöhrə Məmmədova,,1953-04-24,,,,,,,,,Gülçöhrə Məmmədova,,,,,,,,,,Gülçöhre Memmedova,,,,Gülçöhre Memmedova,,,,,,,,,,,,,,,,,,,,,,,,,,Gülçöhrə Məmmədova,,,,,,,Gülçöhrə Məmmədova,,,,,,,
Q16364594,Arif Alışanov,Arif Alışanov,,male,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Arif_Alishanov_comm.jpg,,,,,Arif Alışanov,,,,,Category:Arif Alishanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arif Alışanov,,,,,,,
Q16364619,Arif Rəhimzadə,Arif Rəhimzadə,,male,,,,,,,,,,Arif Rəhimzadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arif Rəhimzadə,,,,,,,
Q16364732,Astan Şahverdiyev,Astan Şahverdiyev,,,1947,,,,,,,,,Astan Şahverdiyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Astan Şahverdiyev,,,,,,,
Q16364940,Aytən Mustafayeva,Aytən Mustafayeva,,,1968,,,,,,,,,Aytən Mustafayeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aytən Mustafayeva,,,,,,,
Q16365430,Bahar Muradova,Bahar Muradova,,,,,,,,,,,,Bahar Muradova,,,,,Category:Bahar Muradova,,,Bahar Muradova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahar Muradova,,,,,,,
Q16365769,Bəxtiyar Sadıqov,Bəxtiyar Sadıqov,,,,,,,,,,,,Bəxtiyar Sadıqov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bəxtiyar Sadıqov,,,,,,,
Q16365787,Bəxtiyar Əliyev,Bəxtiyar Əliyev,,,,,,,,,,,,Bəxtiyar Əliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bəxtiyar Əliyev,,,,,,,
Q16366024,Cavanşir Paşazadə,Cavanşir Paşazadə,,,1953,,,,,,,,,Cavanşir Paşazadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cavanşir Paşazadə,,,,,,,
Q16366053,Cavid Qurbanov,Cavid Qurbanov,,,,,,,,,,,,Cavid Qurbanov,,,,,,,,Cavid Qurbanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cavid Qurbanov,,,,,,,
Q16366652,Eldar Quliyev,Eldar Quliyev,,male,1951,,,,,,,,,Eldar Quliyev (millət vəkili),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eldar Quliyev (millət vəkili),,,,,,,
Q16367846,Fərhad Qəribov,Fərhad Qəribov,,,1952,,,,,,,,,Fərhad Qəribov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fərhad Qəribov,,,,,,,
Q16367961,Fəttah Heydərov,Fəttah Heydərov,,,,,,,,,,,,Fəttah Heydərov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fəttah Heydərov,,,,,,,
Q16368693,Hikmət Atayev,Hikmət Atayev,,,1953-02-04,,,,,,,,2013-03-07,Hikmət Atayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hikmət Atayev,,,,,,,
Q16368696,Hikmət Babaoğlu,Hikmət Babaoğlu,,,1966,,,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Babaoglu.jpg,,,,,Hikmət Babaoğlu,,,,,Category:Hikmət Babaoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hikmət Məmmədov,,,,,,,
Q16370420,Mixail Zabelin,Mixail Zabelin,,,1946,,,,,,,,,Mixail Zabelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixail Zabelin,,,,,,,
Q16370502,Musa Urud,Musa Urud,,male,,,,,,,,,,Musa Urud,,,,,Category:Musa Urud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musa Urud,,,,,,,
Q16371462,Naqif Həmzəyev,Naqif Həmzəyev,,,,,,,,,,,,Naqif Həmzəyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naqif Həmzəyev,,,,,,,
Q16371578,Nazim Fərəcov,Nazim Fərəcov,Nazim Faracov,male,1960,Nazim,,,,,,,,Nazim Fərəcov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nazim Fərəcov,,,,,,,
Q16372072,Nəsib Məhəməliyev,Nəsib Məhəməliyev,,,1961-02-11,,,,,,,,,Nəsib Məhəməliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nəsib Məhəməliyev,,,,,,,
Q16372868,Rafiq Məmmədhəsənov,Rafiq Məmmədhəsənov,,,1945-09-26,,,,,,,,,Rafiq Məmmədhəsənov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafiq Məmmədhəsənov,,,,,,,
Q16373370,Rövşən Rzayev,Rövşən Rzayev,,,1969-10-15,,,,,,,,1999-01-08,Rövşən Rzayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rövşən Rzayev,,,,,,,
Q16373861,Sahib Alıyev,Sahib Alıyev,,,,,,,,,,,,Sahib Alıyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sahib Alıyev,,,,,,,
Q16373886,Sahibə Qafarova,Sahibə Qafarova,,,,,,,,,,,,Sahibə Qafarova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sahibə Qafarova,,,,,,,
Q16374240,Siyavuş Novruzov,Siyavuş Novruzov,,,,,,,,,,,,Siyavuş Novruzov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyavuş Novruzov,,,,,,,
Q16374527,Sədaqət Vəliyeva,Sədaqət Vəliyeva,,,,,,,,,,,,Sədaqət Vəliyeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sədaqət Vəliyeva,,,,,,,
Q16374817,Tahir Kərimli,Tahir Kərimli,,male,,,,,,,,,,Tahir Kərimli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tahir Kərimli,,,,,,,
Q16374822,Tahir Rzayev,Tahir Rzayev,,male,,,,,,,,,,Tahir Rzayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tahir Rzayev,,,,,,,
Q16376573,Zahid Oruc,Zahid Oruc,,male,1972-02-01,,,,https://upload.wikimedia.org/wikipedia/commons/4/45/Zahid_Oruc2.jpg,,,,,Zahid Oruc,,,,,Category:Zahid Oruc,,Zahid Oruc,Zahid Oruc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zahid Oruc,,,,,,,
Q16377052,Çingiz Əsədullayev,Çingiz Əsədullayev,,,1960,,,,,,,,,Çingiz Əsədullayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Çingiz Əsədullayev,,,,,,,
Q16377500,İlyas İsmayılov,İlyas İsmayılov,,,,,,,,,,,,İlyas İsmayılov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İlyas İsmayılov,,,,,,,
Q16377939,Şahin İsmayilov,Şahin İsmayilov,,,,,,,,,,,,Şahin İsmayilov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Şahin İsmayilov,,,,,,,
Q16378622,Əhməd Vəliyev,Əhməd Vəliyev,,male,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4c/Ahmed_veliyev.jpg,,,,,Əhməd Vəliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Əhməd Vəliyev,,,,,,,
Q16378771,Əli Hüseynli,Əli Hüseynli,,male,1968,,,,,,,,,Əli Hüseynli,,,,,Category:Əli Hüseynli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Əli Hüseynli,,,,,,,
Q16416293,Rüfət Quliyev,Rüfət Quliyev,Rüfət Quliyev,male,1963-05-06,,,,https://upload.wikimedia.org/wikipedia/commons/7/7d/Rufet_Quliyev.png,,,,,Rüfət Quliyev,Rufet Quliyev,"Гулиев, Руфат Атакиши оглу",,,Category:Rüfət Quliyev,"Гулиев, Руфат Атакиши оглу",,Rüfət Quliyev,,,,Rüfət Quliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rüfət Quliyev,,,,,,,
Q18427673,Elman Nəsirov,Elman Nəsirov,,male,1968-04-30,,,,,,,,,Elman Nəsirov,,Эльман Насиров,,,,"Насиров, Эльман Худам оглы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elman Nəsirov,,,,,,,
Q18574122,Rafael Hüseynov,Rafael Hüseynov,,male,,Rafael,,,,,,,,Rafael Hüseynov,,Рафаэль Гусейнов,,Rafael Hüseynov,,"Гусейнов, Рафаэль Баба оглу",,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Hüseynov,,,,,,,,,,,,,,,Rafael Hüseynov,,,,,,,
Q19713062,Aqiyə Naxçıvanlı,Aqiyə Naxçıvanlı,,,,,,,,,,,,Aqiyə Naxçıvanlı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aqiyə Naxçıvanlı,,,,,,,
Q19713074,Arif Əşrəfov,Arif Əşrəfov,,male,,,,,,,,,,Arif Əşrəfov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arif Əşrəfov,,,,,,,
Q19713195,Ayaz Orucov,Ayaz Orucov,,,,,,,,,,,,Ayaz Orucov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayaz Orucov,,,,,,,
Q19713275,Azər Badamov,Azər Badamov,,,,,,,,,,,,Azər Badamov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azər Badamov,,,,,,,
Q19713418,Ağalar Vəliyev,Ağalar Vəliyev,,,1957-07-23,,,,,,,,,Ağalar Vəliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ağalar Vəliyev,,,,,,,
Q19713709,Cavanşir Feyziyev,Cavanşir Feyziyev,,,,,,,,,,,,Cavanşir Feyziyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cavanşir Feyziyev,,,,,,,
Q19713943,Elxan Süleymanov,Elxan Süleymanov,,,1940,,,,,,,,,Elxan Süleymanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elxan Süleymanov,,,,,,,
Q19713963,Etibar Hüseynov,Etibar Hüseynov,,,,,,,,,,,,Etibar Hüseynov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etibar Hüseynov,,,,,,,
Q19714448,Kamilə Əliyeva,Kamilə Əliyeva,,,,,,,,,,,,Kamilə Əliyeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamilə Əliyeva,,,,,,,
Q19714647,Leyla Abdullayeva,Leyla Abdullayeva,,,,,,,,,,,,Leyla Abdullayeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leyla Abdullayeva,,,,,,,
Q19714684,Mahir Aslanov,Mahir Aslanov,,,,,,,,,,,,Mahir Aslanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahir Aslanov,,,,,,,
Q19714703,Malik Həsənov,Malik Həsənov,Malik Hasanov,male,,Malik,,,,,,,,Malik Həsənov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malik Həsənov,,,,,,,
Q19715053,Nəriman Əliyev,Nəriman Əliyev,,,,,,,,,,,,Nəriman Əliyev (millət vəkili),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nəriman Əliyev (millət vəkili),,,,,,,
Q19715204,Qalib Salahzadə,Qalib Salahzadə,,,,,,,,,,,,Qalib Salahzadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qalib Salahzadə,,,,,,,
Q19715482,Rauf Əliyev,Rauf Əliyev,,,,,,,,,,,,Rauf Əliyev (millət vəkili),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rauf Əliyev (millət vəkili),,,,,,,
Q19715508,Rövşən Rzayev,Rövşən Rzayev,,,,,,,,,,,,Rövşən Rzayev (millət vəkili),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rövşən Rzayev (millət vəkili),,,,,,,
Q19715525,Sabir Hacıyev,Sabir Hacıyev,,male,,,,,,,,,,Sabir Hacıyev (millət vəkili),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabir Hacıyev (millət vəkili),,,,,,,
Q19715616,Sevinc Hüseynova,Sevinc Hüseynova,,,,,,,,,,,,Sevinc Hüseynova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sevinc Hüseynova,,,,,,,
Q19716272,Çingiz Qənizadə,Çingiz Qənizadə,,male,,,,,,,,,,Çingiz Qənizadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Çingiz Qənizadə,,,,,,,
Q19716382,İlham Məmmədov,İlham Məmmədov,,,,,,,,,,,,İlham Məmmədov (millət vəkili),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İlham Məmmədov (millət vəkili),,,,,,,
Q19716385,İlham Əliyev,İlham Əliyev,,,,,,,,,,,,İlham Əliyev (millət vəkili),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İlham Əliyev (millət vəkili),,,,,,,
Q19716722,Əsabil Qasımov,Əsabil Qasımov,,,,,,,,,,,,Əsabil Qasımov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Əsabil Qasımov,,,,,,,
