id,position,label,description,start_date,end_date,replaced_by,term,replaces
Q21746917,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746919,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746921,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746922,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746924,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746925,Q18390049,member of the Parliament of Moldova,"","",,,,
Q28864943,Q18390049,member of the Parliament of Moldova,"","",,,Legislatura XX,
Q29051936,Q18390049,member of the Parliament of Moldova,"","",,,Legislatura XX,
Q294473,Q18390049,member of the Parliament of Moldova,"","",,,,
Q30045704,Q18390049,member of the Parliament of Moldova,"","",,,Legislatura XX,
Q312340,Q18390049,member of the Parliament of Moldova,"","",,,,
Q312340,Q24576259,Minister of the Economy of Moldova,Economy minister of Moldova,2003-08-05,2005-03-24,Valeriu Lazăr,,
Q4164146,Q24576259,Minister of the Economy of Moldova,Economy minister of Moldova,2006-09-18,2009-09-14,Valeriu Lazăr,,Valeriu Lazăr
Q4164146,Q312271,President of Moldova,position,2016-12-23,,,,Nicolae Timofti
Q4171809,Q18390049,member of the Parliament of Moldova,"",1994,2001,,,
Q4171809,Q18390049,member of the Parliament of Moldova,"",2005,2009,,,
Q4171809,Q18390049,member of the Parliament of Moldova,"",2009-04,2009-09,,,
Q4171809,Q18390049,member of the Parliament of Moldova,"",2010,,,,
Q4214191,Q18390049,member of the Parliament of Moldova,"","",,,,
Q4342644,Q18390049,member of the Parliament of Moldova,"",2009,,,,
Q4344488,Q18390049,member of the Parliament of Moldova,"",2011-01-24,2011-07-15,,,
Q4344488,Q18390049,member of the Parliament of Moldova,"",2014-12-31,,,,
Q4344488,Q6797680,Mayor of Bălți,Wikimedia list article,2001,2011,,,
Q4344488,Q6797680,Mayor of Bălți,Wikimedia list article,2011,2015,,,
Q4364752,Q18390049,member of the Parliament of Moldova,"","",,,,
Q4476013,Q18390049,member of the Parliament of Moldova,"","",,,,
Q4503092,Q18390049,member of the Parliament of Moldova,"","",,,,
Q4506204,Q18390049,member of the Parliament of Moldova,"","",,,,
Q451235,Q18390049,member of the Parliament of Moldova,"","",,,,
Q4527892,Q18390049,member of the Parliament of Moldova,"","",,,,
Q4752069,Q18390049,member of the Parliament of Moldova,"","",,,,
Q4752143,Q18390049,member of the Parliament of Moldova,"","",,,,
Q4755885,Q18390049,member of the Parliament of Moldova,"","",,,,
Q4762065,Q18390049,member of the Parliament of Moldova,"","",,,,
Q5170538,Q18390049,member of the Parliament of Moldova,"","",,,,
Q5609024,Q18390049,member of the Parliament of Moldova,"","",,,,
Q57685,Q1769526,Prime Minister of Moldova,"",2009-09-25,2013-03-25,Iurie Leancă,,Vitalie Pîrlog
Q57685,Q18390049,member of the Parliament of Moldova,"","",,,,
Q58087,Q1769526,Prime Minister of Moldova,"",2013-04-25,2015-02-18,Chiril Gaburici,,Vlad Filat
Q58087,Q18390049,member of the Parliament of Moldova,"",2014-12-29,,,,
Q6062852,Q18390049,member of the Parliament of Moldova,"","",,,,
Q6062932,Q18390049,member of the Parliament of Moldova,"","",,,,
Q6062941,Q18390049,member of the Parliament of Moldova,"","",,,,
Q6095576,Q18390049,member of the Parliament of Moldova,"","",,,Legislatura XX,
Q61299,Q18390049,member of the Parliament of Moldova,"",2009,,,,
Q61299,Q29933624,Minister of Finance of Moldova,finance minister in Moldova,2002-02-26,2005-10-10,,,
Q6756214,Q18390049,member of the Parliament of Moldova,"","",,,,
Q6761098,Q18390049,member of the Parliament of Moldova,"","",,,,
Q6958064,Q18390049,member of the Parliament of Moldova,"","",,,,
Q7029292,Q18390049,member of the Parliament of Moldova,"","",,,Legislatura XX,
Q7179188,Q18390049,member of the Parliament of Moldova,"","",,,,
Q7517857,Q18390049,member of the Parliament of Moldova,"","",,,Legislatura XX,
Q7851277,Q18390049,member of the Parliament of Moldova,"","",,,,
Q7910855,Q18390049,member of the Parliament of Moldova,"","",,,,
Q7910866,Q18390049,member of the Parliament of Moldova,"","",,,,
Q7911403,Q18390049,member of the Parliament of Moldova,"","",,,,
Q7911411,Q18390049,member of the Parliament of Moldova,"","",,,,
Q7911417,Q1769526,Prime Minister of Moldova,"",2015-07-30,2015-10-30,Pavel Filip,,Natalia Gherman
Q7911417,Q18390049,member of the Parliament of Moldova,"",2009-08,2015-07-31,,,
Q7938368,Q18390049,member of the Parliament of Moldova,"",2009-05-05,,,,
Q953047,Q18390049,member of the Parliament of Moldova,"","",,,,
