id,name__en,name__de,name__nl,name__fr,name,wikipedia__en,gender,occupation,original_wikiname,name__it,birth_date,given_name,death_date,name__so,wikipedia__so,name__id,wikipedia__id,name__hr,name__pt,name__sv,name__es,name__hu,name__hy,wikipedia__hy,name__cy,wikipedia__de,identifier__freebase,wikipedia__simple,image,name__tr,name__ru,wikipedia__ru,name__pl,name__ku_arab,name__ku_latn,name__fi,name__et,name__ja,name__el,name__ar,name__ku,name__th,name__zh,wikipedia__ar,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__ku,wikipedia__nl,wikipedia__pl,wikipedia__sv,wikipedia__th,wikipedia__tr,wikipedia__zh,identifier__VIAF,identifier__SUDOC,name__nb,wikipedia__commons,wikipedia__no,wikipedia__pt,facebook,name__zh_hant,name__zh_cn,name__ca,wikipedia__ca,name__be,name__he,name__oc,name__bg,name__fa,name__ka,name__da,name__lt,name__mg,name__ko,name__vi,name__la,wikipedia__arwikinews,wikipedia__be,wikipedia__bg,wikipedia__da,wikipedia__fa,wikipedia__he,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__mg,wikipedia__oc,wikipedia__ruwikinews,wikipedia__vi,name__uk,wikipedia__uk,identifier__BNF,identifier__leonore,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__yo,name__bcl,name__sk,name__cs,name__mwl,name__az,wikipedia__az,wikipedia__bcl,wikipedia__cs,wikipedia__mwl,wikipedia__plwikiquote,wikipedia__sk,wikipedia__srwikinews,wikipedia__yo,name__bn,wikipedia__bn,identifier__LCAuth,identifier__NTA,identifier__Oxforddnb,name__de_at,name__de_ch,name__en_ca,name__en_gb,identifier__GND,name__fo,name__kl,wikipedia__hr,website,identifier__ISNI,name__nn,name__sl,name__uz,wikipedia__uz,twitter,wikipedia__cy,name__sr,identifier__SELIBR,linkedin,family_name,pseudonym,identifier__FAST,identifier__OLID,identifier__Britannica
Q16150670,Ali Abdi Aware,Ali Abdi Aware,Ali Abdi Aware,Ali Abdi Aware,Ali Abdi Aware,Ali Abdi Aware,male,politician,Ali Abdi Aware,,,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16206757,Abdikarin Dahir,Abdikarin Dahir,Abdikarin Dahir,Abdikarin Dahir,Abdikarin Dahir,Abdikarin Dahir,male,politician,Abdikarin Dahir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16225443,Abdulkadir Abdi Hashi,Abdulkadir Abdi Hashi,Abdulkadir Abdi Hashi,Abdulkadir Abdi Hashi,Abdulkadir Abdi Hashi,Abdulkadir Abdi Hashi,male,politician,Abdulkadir Abdi Hashi,,,Abdulkadir,,,,,,,,,,Abdulkadir Abdi Hashi,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a5/Aahashi1.jpg,Abdulkadir Abdi Hashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MinisterHashi,,,,,,,,,
Q1639054,Hussein Kulmiye Afrah,Hussein Kulmiye Afrah,Hussein Kulmiye Afrah,Hussein Kulmiye Afrah,Hussein Kulmiye Afrah,Hussein Kulmiye Afrah,male,politician,Hussein Kulmiye Afrah,,1920,Hussein,2007-04-12,''Xuseen Kulmiye Afrax'',,,,,,,Hussein Kulmiye Afrah,Hussein Kulmiye Afrah,,,,Hussein Kulmiye Afrah,/m/02qwdj1,,https://upload.wikimedia.org/wikipedia/commons/3/33/Hussein.png,,Хусейн Кулмие Афрах,"Афрах, Хусейн Кулмие",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1667194,Mohamed Hassan M. Nur,Mohamed Hassan M. Nur,Mohamed Hassan M. Nur,Mohamed Hassan M. Nur,Mohamed Hassan M. Nur,Mohamed Hassan M. Nur,male,politician,Mohamed Hassan M. Nur,,"",Mohamed,2010-08-24,,,,,,,,,,,,Mohamed Hassan M. Nur,Mohamed Hassan M. Nur,/m/0cz9s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16728395,Daud Abdihakim Omar,Daud Abdihakim Omar,Daud Abdihakim Omar,Daud Abdihakim Omar,Daud Abdihakim Omar,Daud Abdihakim Omar,male,politician,,,,Daud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16728916,Farah Sh. Abdulkadir Mohamed,,Farah Sh. Abdulkadir Mohamed,Farah Sh. Abdulkadir Mohamed,Farah Sh. Abdulkadir Mohamed,Farah Sh. Abdulkadir Mohamed,male,politician,,,,Farah,,,,,,,,,,,,,,,,,,,,,,,,,,ファラー・シェイハ・アブドゥルカディア・モハメド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16729000,Ahmed Moalim Fiqi,Ahmed Moalim Fiqi,Ahmed Moalim Fiqi,Ahmed Moalim Fiqi,Ahmed Moalim Fiqi,Ahmed Moalim Fiqi,male,politician,Ahmed Moalim Fiqi,Ahmed Moalim Fiqi,,Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16729564,Anisa Hajimumin,Anisa Hajimumin,Anisa Hajimumin,Anisa Hajimumin,Anisa Hajimumin,Anisa Hajimumin,female,politician,Anisa Hajimumin,,1978-11-20,,,,,,,,,,,,,,,,,,,,,,,,,Anisa Hajimumin,,,,أنيسة حاجي المؤمن,,,,أنيسة حاجي المؤمن,,,,Anisa Hajimumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16729569,Hussein Abdi Halane,Hussein Abdi Halane,Hussein Abdi Halane,Hussein Abdi Halane,Hussein Abdi Halane,Hussein Abdi Halane,male,politician,Hussein Abdi Halane,Hussein Abdi Halane,,Hussein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16730085,Hussein Arab Isse,Hussein Arab Isse,Hussein Arab Isse,Hussein Arab Isse,Hussein Arab Isse,Hussein Arab Isse,male,politician,Hussein Arab Isse,,,Hussein,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/2012_10_23_AMISOM_Defense_Minister_A_(8134640827).jpg,,,,,,,,,,,,,ฮุสเซน อาหรับ อิสเซ,,,,,,,,,,,,,,ฮุสเซน อาหรับ อิสเซ,,,,,,Category:Hussein Arab Isse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16730151,Bashir Mohamed Jama,Bashir Mohamed Jama,,,Bashir Mohamed Jama,Bashir Mohamed Jama,male,politician,Bashir Mohamed Jama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16730152,Farah Ali Jama,Farah Ali Jama,Farah Ali Jama,Farah Ali Jama,Farah Ali Jama,Farah Ali Jama,male,politician,Farah Ali Jama,,,Farah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16730153,Hibaq Jama,Hibaq Jama,Hibaq Jama,Hibaq Jama,Hibaq Jama,Hibaq Jama,female,politician,Hibaq Jama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,هيباق جاما,,,,هيباق جاما,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16730772,Khadijo Mohamed Diriye,Khadijo Mohamed Diriye,Khadijo Mohamed Diriye,Khadijo Mohamed Diriye,Khadijo Mohamed Diriye,Khadijo Mohamed Diriye,female,politician,,,1949-04-02,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1e/Khadijo_Mohamed_Diriye.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16730781,Khalid Omar Ali,Khalid Omar Ali,Khalid Omar Ali,Khalid Omar Ali,Khalid Omar Ali,Khalid Omar Ali,male,politician,Khalid Omar Ali,,,Khalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732660,Hassan Ali Mire,Hassan Ali Mire,Hassan Ali Mire,Hassan Ali Mire,Hassan Ali Mire,Hassan Ali Mire,male,politician,Hassan Ali Mire,Hassan Ali Mire,,Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732722,Mohamed Ali Haga,Mohamed Ali Haga,Mohamed Ali Haga,Mohamed Ali Haga,Mohamed Ali Haga,Mohamed Ali Haga,male,politician,,Mohamed Ali Haga,,Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732742,Mohamud Moalin Yahya,Mohamud Moalin Yahya,Mohamud Moalin Yahya,Mohamud Moalin Yahya,Mohamud Moalin Yahya,Mohamud Moalin Yahya,male,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16733059,Mustaf Ali Duhulow,Mustaf Ali Duhulow,Mustaf Ali Duhulow,Mustaf Ali Duhulow,Mustaf Ali Duhulow,Mustaf Ali Duhulow,male,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16733109,Nadifo Mohamed Osman,Nadifo Mohamed Osman,Nadifo Mohamed Osman,Nadifo Mohamed Osman,Nadifo Mohamed Osman,Nadifo Mohamed Osman,female,politician,,Nadifo Mohamed Osman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16733891,Ahmed Elmi Osman,Ahmed Elmi Osman,Ahmed Elmi Osman,Ahmed Elmi Osman,Ahmed Elmi Osman,Ahmed Elmi Osman,male,politician,Ahmed Elmi Osman,Ahmed Elmi Osman,,Ahmed,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/54/Karaashhd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16735041,Ali Said Raygal,Ali Said Raygal,Ali Said Raygal,Ali Said Raygal,Ali Said Raygal,Ali Said Raygal,male,politician,Ali Said Raygal,,,Ali,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Alisaidraygal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16735224,Ridwan Hirsi Mohamed,Ridwan Hirsi Mohamed,Ridwan Hirsi Mohamed,Ridwan Hirsi Mohamed,Ridwan Hirsi Mohamed,Ridwan Hirsi Mohamed,male,politician,,,,Ridwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ริดวัน ฮิรซี โมฮัมเหม็ด,,,,,,,,,,,,,,ริดวัน ฮิรซี โมฮัมเหม็ด,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1679810,Jama Ali Jama,Jama Ali Jama,Jama Ali Jama,Jama Ali Jama,Jama Ali Jama,Jama Ali Jama,male,politician,Jama Ali Jama,,"",Jama,,,,,,,,,Jama Ali Jama,Jama Ali Jama,,,,Jama Ali Jama,/m/07vjqc,,,,,,Jama Ali Jama,,,,,ジャマ・アリー・ジャマ,,,,,,,,,,,,,,,,Jama Ali Jama,,,,,,,,,,,,,,Jama Ali Jama,Jama Ali Jama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1684346,Mohamed Nur,Mohamoud Ahmed Nur,Mohamed Nur,Mohamed Nur,Mohamed Nur,Mohamed Nur,male,politician,Mohamed Nur,,1956,Mohamed,,,,,,,,Mohamed Nur,Mohamed Nur,Mohamed Nur,,,,Mohamoud Ahmed Nur,/m/0gtx_3b,,,,"Нур, Мохамед","Нур, Мохамед",,,,Mohamed Nur,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Mohamed Nur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17019048,Said Hassan Shire,Said Hassan Shire,Said Hassan Shire,Said Hassan Shire,Said Hassan Shire,Said Hassan Shire,male,politician,Said Hassan Shire,,,Said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ซาอิด ฮัสซัน ชิเร,,,,,,,,,,,,,,ซาอิด ฮัสซัน ชิเร,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17027996,Deeq Sulaiman Yusuf,Deeq Sulaiman Yusuf,Deeq Sulaiman Yusuf,Deeq Sulaiman Yusuf,Deeq Sulaiman Yusuf,Deeq Sulaiman Yusuf,male,politician,Deeq Sulaiman Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17069995,Said Abdullahi Mohamed,Said Abdullahi Mohamed,Said Abdullahi Mohamed,Said Abdullahi Mohamed,Said Abdullahi Mohamed,Said Abdullahi Mohamed,male,politician,,Said Abdullahi Mohamed,,Said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17070641,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,male,politician,Mohamud Hassan Suleiman,Mohamud Hassan Suleiman,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/91/Aid_coordination_round_table_hosted_by_Justine_Greening_ahead_of_the_main_sessions_at_the_London_Conference_on_Somalia_2013_(8717277214).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17155777,Muse Bihi Abdi,Muse Bihi Abdi,,,Muse Bihi Abdi,Muse Bihi Abdi,male,politician,Muse Bihi Abdi,Muse Bihi Abdi,1948,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/90/Musabehi123.jpg,Musa Bihi Abdi,,,Muse Bihi Abdi,,,,,ムセ・ビヒ・アブディ,,موسى بيهي عبدي,,,繆斯·阿卜迪,موسى بيهي عبدي,,,,,,,,,,Muse Bihi Abdi,,,Musa Bihi Abdi,繆斯·比希·阿卜迪,,,,Category:Muse Bihi Abdi,,,,,,,,,,Muuse Bixi Cabdi,,,,,,,,,,,,,,,,,,,,,Muuse Bixi Cabdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musebiihi,,,,,,,,,
