id,name,party,district,website,email,twitter,party_id
30836,Dennis Bevington,NDP,Northwest Territories,http://www.dennisbevington.ca,dennis.bevington@parl.gc.ca,https://twitter.com/nwtdennis,ndp
30892,Mike Allen,Conservative,Tobique—Mactaquac,http://www.mikeallen.ca,mike.allen@parl.gc.ca,https://twitter.com/mpmikea,conservative
30903,Alex Atamanenko,NDP,British Columbia Southern Interior,http://alexatamanenko.ndp.ca,alex.atamanenko@parl.gc.ca,,ndp
30979,Patrick Brown,Conservative,Barrie,http://www.servingbarrie.com,patrick.brown@parl.gc.ca,https://twitter.com/brownbarrie,
30982,Rod Bruinooge,Conservative,Winnipeg South,http://www.bruinooge.ca,rod.bruinooge@parl.gc.ca,https://twitter.com/rodbruinooge,conservative
31086,Bob Dechert,Conservative,Mississauga—Erindale,http://bobdechertmp.ca,bob.dechert@parl.gc.ca,,conservative
31234,Claude Gravelle,NDP,Nickel Belt,http://claudegravelle.ca,claude.gravelle@parl.gc.ca,https://twitter.com/ClaudeGravelle,ndp
31267,Laurie Hawn,Conservative,Edmonton Centre,http://www.lauriehawn.ca,laurie.hawn@parl.gc.ca,https://twitter.com/MPLaurieHawn,conservative
31289,Carol Hughes,NDP,Algoma—Manitoulin—Kapuskasing,http://carolhughes.ndp.ca,carol.hughes@parl.gc.ca,https://twitter.com/CarolHughesMP,ndp
31295,Bruce Hyer,Green Party,Thunder Bay—Superior North,http://www.brucehyer.ca,bruce.hyer@parl.gc.ca,https://twitter.com/brucehyer,green_party
31508,Maria Mourani,Independent,Ahuntsic,,maria.mourani@parl.gc.ca,,independent
31664,Bev Shipley,Conservative,Lambton—Kent—Middlesex,http://www.bevshipley.ca,bev.shipley@parl.gc.ca,https://twitter.com/BevShipleyMP,conservative
31701,Kennedy Stewart,NDP,Burnaby—Douglas,http://www.kennedystewart.ndp.ca,Kennedy.Stewart@parl.gc.ca,https://twitter.com/kennedystewart,ndp
31715,David Sweet,Conservative,Ancaster—Dundas—Flamborough—Westdale,http://www.davidsweet.ca,david.sweet@parl.gc.ca,https://twitter.com/DavidSweetMP,conservative
31765,Dave Van Kesteren,Conservative,Chatham-Kent—Essex,http://www.davevankesteren.ca,dave.vankesteren@parl.gc.ca,https://twitter.com/DVK_MP,conservative
31791,Mike Wallace,Conservative,Burlington,http://www.mikewallacemp.ca,mike.wallace@parl.gc.ca,https://twitter.com/MikeWallaceMP,conservative
35274,Greg Kerr,Conservative,West Nova,http://www.gregkerrmp.ca,greg.kerr@parl.gc.ca,https://twitter.com/MPGregKerr,conservative
35309,Maxime Bernier,Conservative,Beauce,,maxime.bernier@parl.gc.ca,https://twitter.com/MaximeBernier,conservative
35351,François Choquette,NDP,Drummond,,Francois.Choquette@parl.gc.ca,https://twitter.com/F_Choquette,ndp
35389,Steven Blaney,Conservative,Lévis—Bellechasse,,steven.blaney@parl.gc.ca,https://twitter.com/MinStevenBlaney,conservative
35396,Raymond Côté,NDP,Beauport—Limoilou,,Raymond.Cote@parl.gc.ca,https://twitter.com/RCoteNPD,ndp
35397,Jacques Gourde,Conservative,Lotbinière—Chutes-de-la-Chaudière,,jacques.gourde@parl.gc.ca,https://twitter.com/JacquesGourde,conservative
35399,Denis Blanchette,NDP,Louis-Hébert,,Denis.Blanchette@parl.gc.ca,https://twitter.com/DenisBlanchette,ndp
35422,Christian Paradis,Conservative,Mégantic—L'Érable,,christian.paradis@parl.gc.ca,https://twitter.com/christianparad,conservative
35535,Bal Gosal,Conservative,Bramalea—Gore—Malton,http://www.balgosal.com,Bal.Gosal@parl.gc.ca,https://twitter.com/BalGosal,conservative
35539,Phil McColeman,Conservative,Brant,http://www.philmccolemanmp.ca,phil.mccoleman@parl.gc.ca,https://twitter.com/Phil4Brant,conservative
35555,John Carmichael,Conservative,Don Valley West,http://www.johncarmichael.ca,John.Carmichael@parl.gc.ca,https://twitter.com/JohnBCarmichael,conservative
35580,Pierre Lemieux,Conservative,Glengarry—Prescott—Russell,http://www.pierrelemieux.ca,pierre.lemieux@parl.gc.ca,,conservative
35600,Ben Lobb,Conservative,Huron—Bruce,http://www.benlobb.com,ben.lobb@parl.gc.ca,https://twitter.com/BenLobbMP,conservative
35607,Harold Albrecht,Conservative,Kitchener—Conestoga,http://www.haroldalbrechtmp.ca,harold.albrecht@parl.gc.ca,https://twitter.com/Albrecht4KitCon,conservative
35648,Lois Brown,Conservative,Newmarket—Aurora,http://www.loisbrown.ca,lois.brown@parl.gc.ca,https://twitter.com/MPLoisBrown,conservative
35663,Terence Young,Conservative,Oakville,http://www.terenceyoung.com,terence.young@parl.gc.ca,https://twitter.com/TerenceYoungMP,conservative
35665,Paul Dewar,NDP,Ottawa Centre,http://www.pauldewar.ndp.ca,paul.dewar@parl.gc.ca,https://twitter.com/PaulDewar,ndp
35668,Royal Galipeau,Conservative,Ottawa—Orléans,http://www.royalgalipeau.ca/about,royal.galipeau@parl.gc.ca,https://twitter.com/GalipeauOrleans,conservative
35697,Rick Dykstra,Conservative,St. Catharines,http://www.rickdykstra.ca,rick.dykstra@parl.gc.ca,https://twitter.com/RickDykstra,conservative
35699,Peter Kent,Conservative,Thornhill,http://www.peterkent.ca,peter.kent@parl.gc.ca,https://twitter.com/KentThornhillMP,conservative
35701,Patricia Davidson,Conservative,Sarnia—Lambton,http://www.patdavidson.com,pat.davidson@parl.gc.ca,,conservative
35707,Roxanne James,Conservative,Scarborough Centre,http://www.roxannejames.ca,Roxanne.James@parl.gc.ca,,conservative
35724,Bruce Stanton,Conservative,Simcoe North,http://www.brucestanton.ca,bruce.stanton@parl.gc.ca,https://twitter.com/bruce_stanton,conservative
35767,Parm Gill,Conservative,Brampton—Springdale,http://www.parmgill.ca,Parm.Gill@parl.gc.ca,https://twitter.com/ParmGill,conservative
35857,Mike Lake,Conservative,Edmonton—Mill Woods—Beaumont,http://www.mikelake.ca,mike.lake@parl.gc.ca,https://twitter.com/MikeLakeMP,conservative
35873,Linda Duncan,NDP,Edmonton—Strathcona,http://www.lindaduncanmp.ca,linda.duncan@parl.gc.ca,https://twitter.com/LindaDuncanMP,ndp
35886,Chris Warkentin,Conservative,Peace River,http://www.chriswarkentin.com,chris.warkentin@parl.gc.ca,https://twitter.com/chriswarkentin,conservative
35896,Brian Storseth,Conservative,Westlock—St. Paul,http://www.brianstorseth.ca,brian.storseth@parl.gc.ca,https://twitter.com/BrianStorseth,conservative
35897,Blaine Calkins,Conservative,Wetaskiwin,http://www.blainecalkinsmp.ca,blaine.calkins@parl.gc.ca,https://twitter.com/blainecalkinsmp,conservative
35904,Ed Fast,Conservative,Abbotsford,http://www.edfast.ca,ed.fast@parl.gc.ca,https://twitter.com/HonEdFast,conservative
35933,Ron Cannan,Conservative,Kelowna—Lake Country,http://www.cannan.ca,ron.cannan@parl.gc.ca,https://twitter.com/RonCannan,conservative
35950,Joyce Murray,Liberal,Vancouver Quadra,http://www.joycemurray.ca,joyce.murray@parl.gc.ca,https://twitter.com/joycemurray,liberal
35952,Colin Mayes,Conservative,Okanagan—Shuswap,http://colinmayes.ca,colin.mayes@parl.gc.ca,,conservative
35998,John Weston,Conservative,West Vancouver—Sunshine Coast—Sea to Sky Country,http://www.johnweston.ca,john.weston@parl.gc.ca,https://twitter.com/JohnWestonMP,conservative
36037,Niki Ashton,NDP,Churchill,http://www.nikiashton.ndp.ca,niki.ashton@parl.gc.ca,https://twitter.com/nikiashton,ndp
38633,Denis Lebel,Conservative,Roberval—Lac-Saint-Jean,,denis.lebel@parl.gc.ca,https://twitter.com/DenisLebelPCC,conservative
40463,Bernard Valcourt,Conservative,Madawaska—Restigouche,http://www.bernardvalcourtmp.ca,Bernard.Valcourt@parl.gc.ca,https://twitter.com/Min_BValcourt,conservative
46003,Leona Aglukkaq,Conservative,Nunavut,http://www.leonaaglukkaq.ca,leona.aglukkaq@parl.gc.ca,https://twitter.com/leonaaglukkaq,conservative
48292,Jim Eglinski,Conservative,Yellowhead,http://jimeglinski.ca,Jim.Eglinski@parl.gc.ca,,conservative
54325,Lisa Raitt,Conservative,Halton,http://lisaraittmp.ca,lisa.raitt@parl.gc.ca,https://twitter.com/lraitt,conservative
54434,Adam Vaughan,Liberal,Trinity—Spadina,http://www.adamvaughanmp.ca,Adam.Vaughan@parl.gc.ca,https://twitter.com/TOAdamVaughan,liberal
55139,Rob Clarke,Conservative,Desnethé—Missinippi—Churchill River,http://www.robclarkemp.ca,rob.clarke@parl.gc.ca,https://twitter.com/RobClarkeMP,conservative
58519,Judy Foote,Liberal,Random—Burin—St. George's,http://www.judyfoote.ca,judy.foote@parl.gc.ca,https://twitter.com/JudyFooteMP,liberal
58528,Ryan Cleary,NDP,St. John's South—Mount Pearl,http://ryancleary.ndp.ca,Ryan.Cleary@parl.gc.ca,https://twitter.com/ClearyNDP,ndp
58537,Gail Shea,Conservative,Egmont,http://gailshea.ca,gail.shea@parl.gc.ca,https://twitter.com/CPCGailShea,conservative
58550,Megan Leslie,NDP,Halifax,http://www.meganleslie.ca,megan.leslie@parl.gc.ca,https://twitter.com/MeganLeslieMP,ndp
58573,Keith Ashfield,Conservative,Fredericton,,keith.ashfield@parl.gc.ca,https://twitter.com/KeithAshfield11,conservative
58581,Tilly O'Neill Gordon,Conservative,Miramichi,http://www.tillygordon.ca,tilly.oneillgordon@parl.gc.ca,,conservative
58620,Hoang Mai,NDP,Brossard—La Prairie,,Hoang.Mai@parl.gc.ca,https://twitter.com/hoangmai_npd,ndp
58626,Anne-Marie Day,NDP,Charlesbourg—Haute-Saint-Charles,,Anne-Marie.Day@parl.gc.ca,https://twitter.com/AnneMarieDay,ndp
58628,Jonathan Tremblay,NDP,Montmorency—Charlevoix—Haute-Côte-Nord,,Jonathan.Tremblay@parl.gc.ca,https://twitter.com/JTremblayNPD,ndp
58637,Jean Rousseau,NDP,Compton—Stanstead,,Jean.Rousseau@parl.gc.ca,https://twitter.com/JeanRousseauNPD,ndp
58661,Francine Raynault,NDP,Joliette,,Francine.Raynault@parl.gc.ca,,ndp
58697,Lise St-Denis,Liberal,Saint-Maurice—Champlain,,Lise.St-Denis@parl.gc.ca,,liberal
58705,Alexandrine Latendresse,NDP,Louis-Saint-Laurent,,Alexandrine.Latendresse@parl.gc.ca,https://twitter.com/ALatendresseNPD,ndp
58733,Justin Trudeau,Liberal,Papineau,,justin.trudeau@parl.gc.ca,https://twitter.com/JustinTrudeau,liberal
58775,Alexandre Boulerice,NDP,Rosemont—La Petite-Patrie,,Alexandre.Boulerice@parl.gc.ca,https://twitter.com/alexboulerice,ndp
58833,Stella Ambler,Conservative,Mississauga South,http://www.stellaambler.com,Stella.Ambler@parl.gc.ca,https://twitter.com/StellaAmblerMP,conservative
58841,Kyle Seeback,Conservative,Brampton West,http://www.kyleseeback.com,Kyle.Seeback@parl.gc.ca,https://twitter.com/KyleSeeback,conservative
58866,Joe Oliver,Conservative,Eglinton—Lawrence,http://www.joeoliver.ca,Joe.Oliver@parl.gc.ca,https://twitter.com/MinJoeOliver,conservative
