id,name__lb,name__en,name__de,name__fr,name__nds,name__nl,name,wikipedia__lb,gender,birth_date,given_name,original_wikiname,name__it,wikipedia__nl,name__nb,name__da,name__nn,name__sv,wikipedia__de,image,identifier__VIAF,identifier__BNF,name__es,name__hu,identifier__GND,family_name,wikipedia__en,wikipedia__fr,identifier__SUDOC,name__pl,name__ca,name__zh,wikipedia__ca,wikipedia__es,wikipedia__pl,wikipedia__zh,identifier__freebase,name__az,wikipedia__az,wikipedia__commons,wikipedia__it,name__cs,wikipedia__cs,name__ru,name__uk,wikipedia__ru,wikipedia__uk,name__af,name__an,name__ast,name__bar,name__br,name__co,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pcd,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__PACE,wikipedia__no,website,name__zh_cn,name__he,name__el,name__la,name__tr,name__ko,name__ja,name__fa,name__ar,wikipedia__ar,wikipedia__ast,wikipedia__el,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__he,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__sv,wikipedia__tr,wikipedia__vi,identifier__parlement,twitter,identifier__LCAuth,identifier__EuroparlMEP,name__be,name__yo,name__sr,name__be_tarask,name__sah,name__mr,name__bg,name__ka,name__lt,name__lmo,name__pam,name__lv,name__ta,name__mk,wikipedia__af,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bgwikiquote,wikipedia__br,wikipedia__cswikiquote,wikipedia__da,wikipedia__dewikinews,wikipedia__dewikiquote,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eu,wikipedia__frwikinews,wikipedia__frwikiquote,wikipedia__gl,wikipedia__ie,wikipedia__itwikiquote,wikipedia__ka,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__ms,wikipedia__nds,wikipedia__nn,wikipedia__oc,wikipedia__pam,wikipedia__sah,wikipedia__sco,wikipedia__simple,wikipedia__sk,wikipedia__sl,wikipedia__sr,wikipedia__ta,wikipedia__ukwikiquote,wikipedia__vec,wikipedia__yo,identifier__ISNI,identifier__NTA,identifier__Munzinger,identifier__GNC,identifier__FAST,identifier__Britannica,identifier__GTAA,wikipedia__hsb,name__hsb,wikipedia__eswikiquote,wikipedia__fawikiquote,wikipedia__hr,occupation,wikipedia__rowikinews,identifier__IMDB,wikipedia__ga,wikipedia__fiwikiquote,identifier__quora,wikipedia__ruwikinews,identifier__ne_se,name__hy,wikipedia__hy,identifier__ioc_athlete
Q13103872,Léon Gloden,Léon Gloden,Léon Gloden,Léon Gloden,,Léon Gloden,Léon Gloden,Léon Gloden,male,1972-12-09,Léon,Léon Gloden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q13104062,Martine Mergen,Martine Mergen,,Martine Mergen,,Martine Mergen,Martine Mergen,Martine Mergen,female,1956-08-30,Martine,Martine Mergen,Martine Mergen,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/4/4c/Journée_de_la_commémoration_nationale_2016,_Martine_Mergen-101.jpg",,,,,,,,,,,,,,,,,,,,Category:Martine Mergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q13104099,Max Hahn,Max Hahn,Max Hahn,Max Hahn,Max Hahn,Max Hahn,Max Hahn,Max Hahn,male,1981-04-30,Max,Max Hahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q13104358,Nicolas Schmit,Nicolas Schmit,Nicolas Schmit,Nicolas Schmit,,Nicolas Schmit,Nicolas Schmit,Nicolas Schmit,male,1953-12-10,Nicolas,Nicolas Schmit,,,,,,,Nicolas Schmit,"https://upload.wikimedia.org/wikipedia/commons/5/55/Informal_meeting_of_ministers_for_employment,_social_affairs,_family_and_gender_equality_(iEPSCO)._Handshake_and_welcome_Jevgeni_Ossinovski,_Nicolas_Schmit_and_Kaia_Iva_(35979354896)_-_CROP_SCHMIT.jpg",190887539,,,,,,Nicolas Schmit,Nicolas Schmit,147761220,Nicolas Schmit,,,,,Nicolas Schmit,,,,,Category:Nicolas Schmit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q13104862,Roger Negri,Roger Negri,,Roger Negri,,Roger Negri,Roger Negri,Roger Negri,male,1954-02-07,Roger,Roger Negri,,Roger Negri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q13105016,Serge Urbany,Serge Urbany,,Serge Urbany,,Serge Urbany,Serge Urbany,Serge Urbany,male,1952-02-13,Serge,Serge Urbany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q13105042,Simone Beissel,Simone Beissel-Merten,Simone Beissel,Simone Beissel,,Simone Beissel-Merten,Simone Beissel,Simone Beissel,female,1953-04-27,Simone,Simone Beissel,,,,,,,Simone Beissel,"https://upload.wikimedia.org/wikipedia/commons/7/71/Journée_de_la_commémoration_nationale_2016,_Simone_Beissel-101.jpg",90821137,,Simone Beissel-Merten,Simone Beissel-Merten,138539030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q13105385,Viviane Loschetter,Viviane Loschetter,Viviane Loschetter,Viviane Loschetter,,Viviane Loschetter,Viviane Loschetter,Viviane Loschetter,female,1959-04-10,Viviane,Viviane Loschetter,,,,,,,Viviane Loschetter,https://upload.wikimedia.org/wikipedia/commons/5/58/Viviane-Loschetter--w.jpg,,,Viviane Loschetter,Viviane Loschetter,,,,Viviane Loschetter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q13105458,Yves Cruchten,Yves Cruchten,,Yves Cruchten,,Yves Cruchten,Yves Cruchten,Yves Cruchten,male,1975-05-01,Yves,Yves Cruchten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q13680517,Claude Haagen,Claude Haagen,Claude Haagen,Claude Haagen,,Claude Haagen,Claude Haagen,Claude Haagen,male,1962-05-18,Claude,Claude Haagen,,,,,,,Claude Haagen,"https://upload.wikimedia.org/wikipedia/commons/9/90/Claude_Haagen,_Bridges_not_Walls.jpg",,,,Claude Haagen,,,,,,Claude Haagen,,,,,Claude Haagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q1383541,Roy Reding,Roy Reding,Roy Reding,Roy Reding,,Roy Reding,Roy Reding,Roy Reding,male,1965-07-17,Roy,Roy Reding,,,Roy Reding,Roy Reding,Roy Reding,Roy Reding,Roy Reding,"https://upload.wikimedia.org/wikipedia/commons/c/c7/Journée_de_la_commémoration_nationale_2016,_Roy_Reding-101.jpg",,,,,,,Roy Reding,,,,,,,,,,/m/0118y2cv,,,Category:Roy Reding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q1384206,Michel Wolter,Michel Wolter,Michel Wolter,Michel Wolter,,Michel Wolter,Michel Wolter,Michel Wolter,male,1962-09-13,Michel,Michel Wolter,,Michel Wolter,Michel Wolter,Michel Wolter,Michel Wolter,Michel Wolter,Michel Wolter,https://upload.wikimedia.org/wikipedia/commons/1/15/Woltermich.jpg,,,Michel Wolter,Michel Wolter,,,Michel Wolter,Michel Wolter,,Michel Wolter,Michel Wolter,,Michel Wolter,,Michel Wolter,,/m/075nt7,,,Category:Michel Wolter,,,,"Вольтер, Мишель",Мішель Вольтер,"Вольтер, Мишель",Мішель Вольтер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q14525629,Etienne Schneider,Etienne Schneider,Etienne Schneider,Etienne Schneider,,Etienne Schneider,Etienne Schneider,Etienne Schneider,male,1971-01-29,Etienne,Etienne Schneider,Etienne Schneider,,,,,Étienne Schneider,Etienne Schneider,https://upload.wikimedia.org/wikipedia/commons/8/82/Informal_meeting_of_justice_and_home_affairs_Handshake_(Justice)_Urmas_Reinsalu_and_Etienne_Schneider_(34915138884)_-_crop_Schneider.jpg,198813506,,Etienne Schneider,Etienne Schneider,,Schneider,Etienne Schneider,Etienne Schneider,095248021,Etienne Schneider,Etienne Schneider,埃蒂安·施耐德,Etienne Schneider,,Etienne Schneider,,,,,Category:Etienne Schneider,,Etienne Schneider,,,Етьєн Шнайдер,,Етьєн Шнайдер,,,,,,,,,Etienne Schneider,Etienne Schneider,Etienne Schneider,,,,,,,,,,,Etienne Schneider,,,,,,,,,,,,,,,,,,,,,,,,,Etienne Schneider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EtienneSchneide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q1495571,Gaston Gibéryen,Gaston Gibéryen,Gaston Gibéryen,Gaston Gibéryen,,Gaston Gibéryen,Gaston Gibéryen,Gaston Gibéryen,male,1950-06-29,Gaston,Gast Gibéryen,,,Gaston Gibéryen,Gaston Gibéryen,Gaston Gibéryen,Gaston Gibéryen,Gaston Gibéryen,,,,Gaston Gibéryen,Gaston Gibéryen,,,Gaston Gibéryen,,,Gaston Gibéryen,,,,,Gaston Gibéryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q15275462,Félix Braz,Félix Braz,Félix Braz,Félix Braz,,Félix Braz,Félix Braz,Félix Braz,male,1966-03-16,Félix,Félix Braz,Félix Braz,,,,,Félix Braz,Félix Braz,https://upload.wikimedia.org/wikipedia/commons/5/5c/Félix-Braz--w.jpg,,,Félix Braz,Félix Braz,,,,Félix Braz,,Félix Braz,,,,,Félix Braz,,,,,,,,,,,,,,,,,,,,,Félix Braz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q15621632,Maggy Nagel,Maggy Nagel,Maggy Nagel,Maggy Nagel,,Maggy Nagel,Maggy Nagel,Maggy Nagel,female,1957-08-25,Maggy,Maggy Nagel,,,,,,,Maggy Nagel,"https://upload.wikimedia.org/wikipedia/commons/8/86/Maggy_Nagel,_Oktober_2015-102.jpg",,,,,,,Maggy Nagel,Maggy Nagel,,,,,,,,,,,,Category:Maggy Nagel,,,,,,,,,,,,,,,,Maggy Nagel,Maggy Nagel,Maggy Nagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q15629005,Corinne Cahen,Corinne Cahen,Corinne Cahen,Corinne Cahen,,Corinne Cahen,Corinne Cahen,Corinne Cahen,female,1973-05-16,Corinne,Corinne Cahen,,,,,,,Corinne Cahen,"https://upload.wikimedia.org/wikipedia/commons/2/25/Corinne_Cahen,_Vernissage_Judenrein_Differdange.jpg",,,,,,,Corinne Cahen,Corinne Cahen,,Corinne Cahen,,,,,Corinne Cahen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q15951419,Marc Angel,Marc Angel,,Marc Angel,,Marc Angel,Marc Angel,Marc Angel (Politiker),male,1963-03-12,Marc,Marc Angel (Politiker),,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/7/7e/Marc_Angel,_Bridges_not_Walls-101.jpg",,,,,,,,,,Marc Angel,,,,,Marc Angel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q16438796,Claude Adam,Claude Adam,Claude Adam,Claude Adam,,Claude Adam,Claude Adam,Claude Adam,male,1958-08-21,Claude,Claude Adam,Claude Adam,,,,,,Claude Adam,https://upload.wikimedia.org/wikipedia/commons/a/af/Claude-Adam--w.jpg,,,,,,,,Claude Adam (homme politique),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
Q16438812,Sylvie Andrich-Duval,Sylvie Andrich-Duval,Sylvie Andrich-Duval,Sylvie Andrich-Duval,,Sylvie Andrich-Duval,Sylvie Andrich-Duval,Sylvie Andrich-Duval,female,1958-08-22,Sylvie,Sylvie Andrich-Duval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,
