id,name__es,name__en,name__de,name__fr,name__cy,name__nl,name,wikipedia__en,wikipedia__es,gender,birth_date,death_date,given_name,original_wikiname,name__hu,image,identifier__VIAF,name__pt,name__ja,wikipedia__nl,wikipedia__pt,identifier__freebase,name__nb,name__da,name__nn,name__sv,name__ar,wikipedia__ar,wikipedia__de,identifier__britishmuseum,identifier__FAST,name__eu,name__hr,name__it,name__pl,name__ru,name__sl,name__war,name__bn,name__qu,name__ga,name__zh,name__ca,name__uk,wikipedia__bn,wikipedia__ca,wikipedia__commons,wikipedia__eswikiquote,wikipedia__eu,wikipedia__fr,wikipedia__ga,wikipedia__hr,wikipedia__it,wikipedia__pl,wikipedia__qu,wikipedia__ru,wikipedia__sl,wikipedia__uk,wikipedia__war,wikipedia__zh,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__OLID,family_name,identifier__BNE,identifier__GNC,second_surname,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__gl,name__id,name__io,name__mr,name__an,name__hy,wikipedia__an,wikipedia__cy,wikipedia__da,wikipedia__gl,wikipedia__hy,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__mr,wikipedia__no,wikipedia__plwikiquote,wikipedia__simple,wikipedia__sv,identifier__NTA,identifier__CANTIC,identifier__Britannica,name__fi,wikipedia__fi,facebook,name__et,name__ast,name__mg,name__eo,name__oc,name__tr,wikipedia__ast,wikipedia__eo,wikipedia__et,wikipedia__mg,wikipedia__oc,wikipedia__tr,twitter,website,identifier__catholic_hierarchy,identifier__MusicBrainz,name__nds,name__en_ca,name__en_gb,name__la,wikipedia__la,name__yo,wikipedia__yo,name__lb,name__he,name__el,name__pap,name__sr_el,name__sr_ec,name__bg,name__ka,name__ksh,name__pt_br,name__sr,name__be,name__fa,wikipedia__be,wikipedia__bg,wikipedia__el,wikipedia__fa,wikipedia__he,wikipedia__ka,wikipedia__ksh,wikipedia__lb,wikipedia__pap,wikipedia__sr,identifier__NNDB,identifier__CSPAN,identifier__NLI,name__ms,name__cs,wikipedia__cs,wikipedia__ms,name__mk,wikipedia__mk,identifier__Munzinger,identifier__N6I,identifier__BVMC,identifier__bigenc_ru,name__az,wikipedia__az,name__bs,name__br,name__vi,name__sk,name__ro,name__fy,name__lt,name__de_ch,name__ml,name__sh,wikipedia__br,wikipedia__bs,wikipedia__cswikiquote,wikipedia__fy,wikipedia__hu,wikipedia__lt,wikipedia__ml,wikipedia__ro,wikipedia__sh,wikipedia__sk,wikipedia__vi,identifier__NDL,identifier__IMDB,name__af,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__min,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__eswikisource,occupation,identifier__google_knowledge,identifier__snac,wikipedia__eswikinews,identifier__quora,identifier__GTAA,wikipedia__sco,identifier__wikitree,wikipedia__mwl
Q16298005,Peggy Cabral,Peggy Cabral,Peggy Cabral,Peggy Cabral,,Peggy Cabral,Peggy Cabral,Peggy Cabral,Peggy Cabral,female,1947-06-26,,Peggy,Peggy Cabral,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Peggy_Cabral_(cropped).jpg,,,,,,/m/011l3jmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peggycabraltv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,
Q16302139,Noel Octavio Suberví Nín,Noel Octavio Suberví Nín,,,,Noel Octavio Suberví Nín,Noel Octavio Suberví Nín,,Noel Octavio Suberví Nín,male,1969-08-06,,Noel,Noel Octavio Suberví Nín,Noel Octavio Suberví Nín,https://upload.wikimedia.org/wikipedia/commons/2/2b/Tavito_Suberví.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,
Q16303353,Gaspar Polanco,,,,,,Gaspar Polanco,,Gaspar Polanco,male,1816,1867,Gaspar,Gaspar Polanco,Gaspar Polanco,https://upload.wikimedia.org/wikipedia/commons/6/69/Gaspar_Polanco.jpg,41786356,,ガスパル・ポランコ,,,,,,,,,,,,500752,,,Gaspar Polanco,,,,,,,,,,,,,Category:Gaspar Polanco,,,,,,,,,,,,,,,,nr2003033117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,
Q16493468,Jesús Fabián Ayala y García,,,,,,Jesús Fabián Ayala y García,,Jesús Fabián Ayala y García,male,1789-12-27,1879-08-22,Jesús,Jesús Fabián Ayala y García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16493983,Luis Manuel Betances Coen,,,,,Luis Manuel Betances Coen,Luis Manuel Betances Coen,,Luis Manuel Betances Coen,male,1877,1926,Luis,Luis Manuel Betances Coen,,,,,,,,,,,,,,,,,,,,Luis Manuel Betances Coen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biologist,,,,,,,,
Q16561727,Emilio Morel Peguero,,,,,,Emilio Morel Peguero,,Emilio Morel Peguero,male,1854,1903,Emilio,Emilio Morel Peguero,,,,,,,,,,,,,,,,,,,,Emilio Morel Peguero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,
Q16565209,Euclides Gutiérrez Felix,,,,,,Euclides Gutiérrez Felix,,Euclides Gutiérrez Félix,male,1936-05-21,,,Euclides Gutiérrez Félix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16576566,Hugo Tolentino Dipp,Hugo Tolentino Dipp,Hugo Tolentino Dipp,Hugo Tolentino Dipp,,,Hugo Tolentino Dipp,Hugo Tolentino Dipp,Hugo Tolentino Dipp,male,1930-08-28,,Hugo,Hugo Tolentino Dipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,
Q16605089,Max Puig,Max Puig,Max Puig,,,,Max Puig,Max Puig,Max Puig,male,,,Max,Max Puig,Max Puig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Max Puig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,
Q16638013,Taína Gautreau,,,,,,Taína Gautreau,,Taína Gautreau,female,1957-05-12,,,Taína Gautreau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,
Q1702424,Johnny Ventura,Johnny Ventura,Johnny Ventura,Johnny Ventura,,Johnny Ventura,Johnny Ventura,Johnny Ventura,Johnny Ventura,male,1940-03-08,,Johnny,Johnny Ventura,,https://upload.wikimedia.org/wikipedia/commons/4/45/Johnny_Ventura_El_Caballo_cropped.jpeg,61734697,,ジョニー・ベントゥーラ,,,,,,,,,,Johnny Ventura,,308034,,,,,,,,,,,,,,,,Category:Johnny Ventura,,,,,,,,,,,,,,0000 0001 1027 9947,142107123,n92080188,13932765r,157417352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5459db1c-a96f-4749-9cbe-4a572825455c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musician,,,,,,,,
Q17364289,Eduardo Jorge Prats,,,,,,Eduardo Jorge Prats,,Eduardo Jorge Prats,male,1964-02-14,,Eduardo,Eduardo Jorge Prats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,
Q17518389,José Paliza,José Ignacio Paliza,José Ignacio Paliza,José Ignacio Paliza,,,José Ignacio Paliza,José Ignacio Paliza,José Ignacio Paliza,male,1981-09-01,,José,José Ignacio Paliza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JosePaliza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,
Q17591796,José Rafael Abinader,José Rafael Abinader,José Rafael Abinader,José Rafael Abinader,,José Rafael Abinader,José Rafael Abinader,José Rafael Abinader,José Rafael Abinader,male,1929-03-02,,José,José Rafael Abinader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abinader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,
Q17995649,Antonio Delfín Madrigal,,,,,,Antonio Delfín Madrigal,,Antonio Delfín Madrigal,male,1824,1889,Antonio,Antonio Delfín Madrigal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18117835,Andrés Navarro García,Andrés Navarro García,Andrés Navarro,,,,Andrés Navarro García,Andrés Navarro,Andrés Navarro García,male,1964-02-04,,Andrés,Andrés Navarro García,Andrés Navarro García,https://upload.wikimedia.org/wikipedia/commons/b/bf/REUNIÓN_CUARTETO_DE_LA_CELAC_(16285990394).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrés Navarro García,,,,Category:Andrés Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrés Navarro García,,,,,,,,,,,,,,,,,,,,,,,,,AndresNavarroPLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,architect,,,,,,,,
Q18203162,Hamlet Amado Sánchez Melo,,,,,,Hamlet Amado Sánchez Melo,,Hamlet Amado Sánchez Melo,male,1974-06-23,,,Hamlet Amado Sánchez Melo,,https://upload.wikimedia.org/wikipedia/commons/5/54/Hamlet_Amado_Sánchez_Melo..jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18418898,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,male,1954-12-16,,Jorge,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,,,Jorge Radhamés Zorrilla Ozuna,,,,,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,,,,,,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,,,,,,Jorge Radhamés Zorrilla Ozuna,,Jorge Radhamés Zorrilla Ozuna,,,,Category:Jorge Radhamés Zorrilla Ozuna,,,,,,,,,,,,,,,,,,,,Zorrilla,,,Ozuna,,,,,,,,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,,Jorge Radhamés Zorrilla Ozuna,,,,,,,,,,,,,,,,,,,Jorge Radhamés Zorrilla Ozuna,,,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,,,,,,,,,,,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,,,,,Jorge Radhamés Zorrilla Ozuna,,,Jorge Radhamés Zorrilla Ozuna,,,,,,Jorge Radhamés Zorrilla Ozuna,,,,,,,,,,,,,,,,,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,,,,,,,,,,,,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,,,,,,,,,,,,,,,,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,Jorge Radhamés Zorrilla Ozuna,,,,,,,,,,
Q18640584,Mario Fermín Cabral y Báez,Mario Fermín Cabral y Báez,,,,,Mario Fermín Cabral y Báez,Mario Fermín Cabral y Báez,Mario Fermín Cabral y Báez,male,1877,1961,Mario,Mario Fermín Cabral y Báez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18646029,José María Cabral y Báez,José María Cabral y Báez,,José María Cabral y Báez,,,José María Cabral y Báez,José María Cabral y Báez,José María Cabral y Báez,male,1864,1937,José,José María Cabral y Báez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,
Q188122,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,male,1813-01-26,1876-07-15,Juan Pablo,Juan Pablo Duarte,,https://upload.wikimedia.org/wikipedia/commons/a/a7/Juan_pablo_duarte_diez.jpg,75095386,Juan Pablo Duarte,フアン・パブロ・ドゥアルテ,Juan Pablo Duarte,Juan Pablo Duarte,/m/04qk9b,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,,,Juan Pablo Duarte,155641,10824,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,"Дуарте, Хуан Пабло",Juan Pablo Duarte,Juan Pablo Duarte,জুয়ান পাবলো দুয়ার্তে,Juan Pablo Duarte,Juan Pablo Duarte,胡安·巴勃罗·杜瓦特,Juan Pablo Duarte,Хуан Пабло Дуарте,জুয়ান পাবলো দুয়ার্তে,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,Juan Pablo Duarte,"Дуарте, Хуан Пабло",Juan Pablo Duarte,Хуан Пабло Дуарте,Juan Pablo Duarte,胡安·巴勃罗·杜瓦特,0000 0000 5956 7862,105472864X,n50032278,121298352,029739004,OL500946A,Duarte,XX911147,0023033,Diez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poet,,,,,,,,
Q19760904,Milton Morrison,Milton Morrison,Milton Morrison,Milton Morrison,,Milton Morrison,Milton Morrison,,Milton Morrison,male,1975-08-14,,Milton,Milton Morrison,Milton Morrison,https://upload.wikimedia.org/wikipedia/commons/1/14/MMorrison.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,
Q19838039,Henry Molina,Henry Molina,,Henry Molina,,Henry Molina,Henry Molina,,Henry Molina,male,1967-08-24,,Henry,Henry Molina,Henry Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,
Q19847277,Elías Wessin Chávez,Elías Wessin Chávez,,,,Elías Wessin Chávez,Elías Wessin Chávez,,Elías Wessin Chávez,male,1960-10-19,,,Elías Wessin Chávez,Elías Wessin Chávez,,,,,,,,,,,,,,,,,,,,,,,,,,,埃利亞斯・韋辛·查韋斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,
Q20015196,Mario Nelson Galán Durán,,,,,Mario Nelson Galán Durán,Mario Nelson Galán Durán,,Mario Nelson Galán Durán,male,1946-09-21,1973-03-22,Mario,Mario Nelson Galán Durán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20962723,Juan Cohen,Juan Cohen,,Juan Cohen,,Juan Cohen,Juan Cohen,Juan Cohen,Juan Cohen,male,1960-06-14,,Juan,Juan Cohen,Juan Cohen,https://upload.wikimedia.org/wikipedia/commons/4/4a/Juan_Cohen_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Juan Alberto Cohen Sander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,
Q20994991,Rolfi Rojas,,,,,Rolfi Rojas,Rolfi Rojas,,Rolfi Rojas,male,1963-02-13,,,Rolfi Rojas,,https://upload.wikimedia.org/wikipedia/commons/3/34/Rolfi_Rojas.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21011367,Alexandra Izquierdo,Alexandra Izquierdo,,Alexandra Izquierdo,,Alexandra Izquierdo,Alexandra Izquierdo,,Alexandra Izquierdo,female,1951-11-16,,Alexandra,Alexandra Izquierdo,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Alexandra_Izquierdo.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,
Q21106469,Leoncio Amé Demes,,,,,Leoncio Amé Demes,Leoncio Amé Demes,,Leoncio Amé Demes,male,1960-12-15,,,Leoncio Amé Demes,,https://upload.wikimedia.org/wikipedia/commons/0/0c/Leoncio_Amé_Demes.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,
