id,name__uk,name,wikipedia__uk,gender,birth_date,original_wikiname,wikipedia__ukwikiquote,name__sk,name__pl,name__ru,name__en,name__hu,name__es,name__nl,name__fr,name__de,name__be,wikipedia__be,wikipedia__commons,wikipedia__en,wikipedia__hu,wikipedia__pl,wikipedia__ru,wikipedia__sk,image,identifier__freebase,given_name,name__ja,name__ca,name__lv,name__it,name__cs,wikipedia__ca,wikipedia__cs,wikipedia__de,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__lv,name__eo,name__fi,name__be_tarask,name__et,name__lt,name__nb,name__ar,wikipedia__ar,wikipedia__be_x_old,wikipedia__eo,wikipedia__et,wikipedia__fi,wikipedia__lt,wikipedia__nl,wikipedia__no,wikipedia__ruwikiquote,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__FAST,website,name__hy,name__vi,name__oc,name__sv,wikipedia__oc,wikipedia__sv,wikipedia__vi,twitter,name__nov,name__pih,name__sco,name__hr,name__ro,name__az,name__sh,wikipedia__az,wikipedia__es,wikipedia__hr,wikipedia__ro,wikipedia__ruwikinews,wikipedia__sh,identifier__IMDB,name__zh,wikipedia__zh,identifier__MusicBrainz,name__da,name__id,wikipedia__da,wikipedia__id,death_date,wikipedia__sco,facebook,name__he,wikipedia__he,name__el,identifier__BNF,identifier__NTA,identifier__ISNI,name__tr,name__crh_latn,name__de_ch,name__en_ca,name__en_gb,name__tt,wikipedia__crh,wikipedia__tr,wikipedia__trwikiquote,wikipedia__tt,wikipedia__plwikiquote,wikipedia__el,name__nn,family_name,name__ie,wikipedia__ie,name__fa,wikipedia__fa,name__cy,wikipedia__hy,wikipedia__hywikiquote,wikipedia__itwikiquote,name__gl,wikipedia__gl,name__ky,name__sr,name__bg,name__kk,name__lb,name__ko,name__pt,name__pt_br,wikipedia__bg,wikipedia__cy,wikipedia__kk,wikipedia__ko,wikipedia__ky,wikipedia__lb,wikipedia__nn,wikipedia__pt,wikipedia__sr,name__sgs,name__bn,wikipedia__bat_smg,wikipedia__bn,wikipedia__cswikiquote,wikipedia__ukwikinews,identifier__Munzinger,name__jv,name__eu,name__bs,name__vo,name__ta,name__ms,name__ckb,name__mk,name__io,name__vec,name__yo,name__scn,name__mn,name__fy,name__th,name__la,name__mr,name__ka,name__hi,name__sah,name__fo,name__ml,name__ne,name__af,wikipedia__af,wikipedia__bgwikiquote,wikipedia__bs,wikipedia__ckb,wikipedia__enwikinews,wikipedia__eu,wikipedia__fo,wikipedia__frwikinews,wikipedia__fy,wikipedia__hi,wikipedia__io,wikipedia__jv,wikipedia__ka,wikipedia__la,wikipedia__mk,wikipedia__ml,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__sah,wikipedia__scn,wikipedia__simple,wikipedia__svwikiquote,wikipedia__ta,wikipedia__th,wikipedia__vec,wikipedia__vo,wikipedia__yo,identifier__NKC,name__is,name__mg,wikipedia__is,wikipedia__mg,name__uz,name__zh_hans,name__zh_hant,name__zh_hk,wikipedia__uz,identifier__NUKAT,last_seen,name__lad,wikipedia__xmf,name__xmf,name__zh_cn,name__crh,identifier__PACE,identifier__Britannica,instagram,occupation,identifier__livejournal,identifier__vkontakte,wikipedia__ukwikisource,identifier__flickr,wikipedia__dewikinews,wikipedia__elwikinews,wikipedia__eswikinews,wikipedia__srwikinews,identifier__quora,wikipedia__trwikinews,identifier__verkhovna_rada,name__an,name__ast,name__ext,identifier__youtube,identifier__google_plus,identifier__google_knowledge,wikipedia__fawikiquote,identifier__NNDB,wikipedia__bewikiquote
Q12075448,Іщенко Валерій Олександрович,Іщенко Валерій Олександрович,Іщенко Валерій Олександрович,male,1973-11-11,Іщенко Валерій Олександрович,,,,,,,,,,,,,Category:Valerii Ishchenko,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Valeriy_Ishchenko_-_ukrainian_mp.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,15685,,,,,,,,,
Q12076576,Агафонова Наталія Володимирівна,Агафонова Наталія Володимирівна,Агафонова Наталія Володимирівна,female,1977-09-19,Агафонова Наталія Володимирівна,,,,"Агафонова, Наталья Владимировна",,,,,,,,,,,,,"Агафонова, Наталья Владимировна",,https://upload.wikimedia.org/wikipedia/commons/c/c1/Nataliya_Ahafonova.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,15669,,,,,,,,,
Q12079666,Атрошенко Владислав Анатолійович,Атрошенко Владислав Анатолійович,Атрошенко Владислав Анатолійович,male,1968-12-05,Атрошенко Владислав Анатолійович,,,Władysław Atroszenko,"Атрошенко, Владислав Анатольевич",,,,,,,,,,,,Władysław Atroszenko,"Атрошенко, Владислав Анатольевич",,https://upload.wikimedia.org/wikipedia/commons/b/b9/Атрошенко_Владислав_Анатолійович.JPG,,Vladislav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vladîslav Atroșenko,,,,,,,,,,,,,,,,,,,AtroshenkoVladislav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q12080634,Балицький Євген Віталійович,Балицький Євген Віталійович,Балицький Євген Віталійович,male,1969-12-10,Балицький Євген Віталійович,,,,"Балицкий, Евгений Витальевич",Evgenij Balitchi,,,Evgenij Balitchi,Evgenij Balitchi,,,,Category:Yevhen Balytskyi,Evgenij Balitchi,,,"Балицкий, Евгений Витальевич",,https://upload.wikimedia.org/wikipedia/commons/c/c7/Евгений_Балицкий.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aviator,,,,,,,,,,,,,,,,,,,,
Q12080676,Балога Павло Іванович,Балога Павло Іванович,Балога Павло Іванович,male,1977-05-27,Балога Павло Іванович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q12080808,Бандуров Володимир Володимирович,Бандуров Володимир Володимирович,Бандуров Володимир Володимирович,male,1973-05-06,Бандуров Володимир Володимирович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q12081184,Батенко Тарас Іванович,Батенко Тарас Іванович,Батенко Тарас Іванович,male,1974-06-20,Батенко Тарас Іванович,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/01/Батенко_Т.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q12082121,Березкін Станіслав Семенович,Березкін Станіслав Семенович,Березкін Станіслав Семенович,male,1959-05-12,Березкін Станіслав Семенович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q12084923,Бриченко Ігор Віталійович,Бриченко Ігор Віталійович,Бриченко Ігор Віталійович,male,1970-07-07,Бриченко Ігор Віталійович,,,,,,,,,,,,,Category:Ihor Brychenko,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Бриченко_Ігор_Віталійович.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Автор:Ігор Бриченко,,,,,,,,,,,,,,,,,
Q12085135,Бублик Юрій Васильович,Бублик Юрій Васильович,Бублик Юрій Васильович,male,1973-12-01,Бублик Юрій Васильович,,,,,,,,,,,,,Category:Yuriy Bublyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,15802,,,,,,,,,
Q12085696,Бурбак Максим Юрійович,Бурбак Максим Юрійович,Бурбак Максим Юрійович,male,1976-01-13,Бурбак Максим Юрійович,,,Maksym Burbak,"Бурбак, Максим Юрьевич",Maksym Burbak,,,Maksym Burbak,Maksym Burbak,Maksym Burbak,,,Category:Maksym Burbak,Maksym Burbak,,Maksym Burbak,"Бурбак, Максим Юрьевич",,https://upload.wikimedia.org/wikipedia/commons/e/e9/Maksym_Burbak.jpg,,Maksym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maksym Burbak,,Maksym Burbak,,,,,,,,,,,,,,,,,馬克西姆·布爾巴克,馬克西姆·布爾巴克,,,,,,,,maksym.burbak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,15655,,,,,,,,,
Q12086588,Білецький Андрій Євгенович,Білецький Андрій Євгенович,Білецький Андрій Євгенійович,male,1979-08-05,Білецький Андрій Євгенійович,Білецький Андрій Євгенійович,,Andrij Biłecki,"Билецкий, Андрей Евгеньевич",Andriy Biletsky,,,Andriy Biletsky,Andrij Bilezkyj,Andrij Bilezkyj,,,Category:Andriy Biletsky,Andriy Biletsky (politician),,Andrij Biłecki (polityk),"Билецкий, Андрей Евгеньевич",,https://upload.wikimedia.org/wikipedia/commons/0/0e/Andriy_Biletsky.jpg,,Andriy,,,,,,,,Andrij Bilezkyj,,,,,,,,Andri Biletskõi,,,,,,,Andri Biletskõi,,,,,,,,,,,,,,,Andrij Biletski,,Andrij Biletski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,Андрэй Білецкі
Q12086678,Біловол Олександр Миколайович,Біловол Олександр Миколайович,Біловол Олександр Миколайович,male,1962-01-11,Біловол Олександр Миколайович,,,Ołeksandr Biłowoł,,,,,,,,,,,,,Ołeksandr Biłowoł,,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Біловол_Олександр_Миколайович_Вадим_Чуприна_©.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q12088028,Васюник Ігор Васильович,Васюник Ігор Васильович,Васюник Ігор Васильович,male,1969-08-01,Васюник Ігор Васильович,,,,,,,,,,,,,Category:Ihor Vasyunyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q12090192,Вознюк Юрій Володимирович,Вознюк Юрій Володимирович,Вознюк Юрій Володимирович,male,1980-01-31,Вознюк Юрій Володимирович,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/10/ВОЗНЮК_ЮРІЙ_ВОЛОДИМИРОВИЧ_VADIM_CHUPRINA_©_10.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q12090715,Воропаєв Юрій Миколайович,Воропаєв Юрій Миколайович,Воропаєв Юрій Миколайович,male,1955-01-10,Воропаєв Юрій Миколайович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
